"",,,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone 5
1,LLORIS,,"96'59""","4,286 1,372 1,772",,1,14.18,94%,6%,
2,PAVARD,,"96'59""","9,354 2,991 3,957",26% 16% 1%,31,31.28,73%,21% 4% 1%,1%
4,VARANE,,"96'59""","8,816 2,733 3,783",16% 9% 3%,17,28.58,70%,26% 3% 1%,
5,UMTITI,,"96'59""","8,503 2,471 3,817",17% 5% 1%,19,28.58,75%,21% 3% 1%,
6,POGBA,,"96'59""","9,237 2,878 4,099",35% 15% 4%,24,30.38,73%,21% 5% 1%,
7,GRIEZMANN,,"84'56""","8,952 3,117 3,947",57% 28% 7%,35,32.40,70%,23% 4% 2%,1%
9,GIROUD,,"96'59""","9,130 2,940 3,857",63% 30% 9%,34,27.00,73%,20% 4% 2%,1%
10,MBAPPE,,"90'16""","7,632 2,719 2,912",54% 29% 6%,26,32.40,81%,14% 3% 1%,1%
13,KANTE,,"96'59""","9,725 2,871  4,780",28% 11% 1%,28,30.60,66%,27% 6% 1%,
14,MATUIDI,,"76'47""","8,035 2,430 3,733",41% 19% 5%,36,29.23,67%,24% 6% 2%,1%
21,HERNANDEZ,,"96'59""","8,985 2,566 4,127",26% 14%,30,29.23,74%,21% 4% 1%,
12,TOLISSO,,"20'12""","2,372 616 1,216",29% 6%,10,26.64,62%,28% 7% 3%,
18,FEKIR,,"12'03""","1,472 329 691",43% 14%,10,23.94,59%,31% 7% 3%,
20,THAUVIN,,"6'43""",772 99 350,49% 3%,5,21.60,65%,24% 8% 3%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
