"",,,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,AKINFEEV,,"128'24""","3,834 833 1,877",,1,13.21,98%,2%,
2,MARIO FERNANDES,,"128'24""","13,264 2,899 7,738",23% 12% 1%,42,28.80,69%,25% 4% 2%,
3,KUTEPOV,,"128'24""","12,332 2,365 7,553",12% 4% 2%,20,25.02,70%,26% 3% 1%,
4,IGNASHEVICH,,"128'24""","12,305 2,293 7,615",11% 5% 1%,17,28.12,69%,27% 3% 1%,
7,KUZIAEV,,"103'04""","13,101 2,415 8,462",31% 13%,31,31.72,57%,32% 9% 2%,
11,ZOBNIN,,"128'24""","14,793 3,045 9,125",31% 14% 2%,43,28.58,61%,32% 5% 2%,
13,KUDRIASHOV,,"128'24""","12,617 2,412 8,019",19% 5%,16,25.20,68%,27% 4% 1%,
17,GOLOVIN,,"128'24""","15,957 3,288  10,048",35% 18% 3%,60,33.30,55%,35% 7% 2%,1%
18,ZHIRKOV,,"47'07""","5,204 1,158 2,945",37% 17% 1%,9,22.68,65%,29% 5% 1%,
19,SAMEDOV,,"62'34""","7,490 1,746 4,464",40% 23% 2%,13,28.80,58%,34% 7% 1%,
22,DZYUBA,,"66'32""","7,586 1,728 4,297",55% 35% 12%,18,27.90,61%,33% 5% 1%,
6,CHERYSHEV,,"65'50""","8,533 1,612 5,276",34% 16% 2%,43,29.70,59%,28% 9% 3%,1%
10,SMOLOV,,"61'52""","7,228 1,538 4,329",39% 20% 3%,30,29.23,62%,28% 7% 2%,1%
14,GRANAT,,"81'17""","8,292 1,342 5,577",11% 4% 1%,12,28.80,65%,30% 4% 1%,
21,EROKHIN,,"25'20""","3,250 588 2,122",39% 21% 8%,17,28.80,57%,31% 8% 3%,1%
