"",,,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
23,SUBASIC,,"127'40""","4,577 1,641 1,424",,,9.36,98%,2%,
2,VRSALJKO,,"127'40""","13,194 5,030 5,343",32% 12% 1%,47,30.60,68%,25% 4% 2%,1%
3,STRINIC,,"82'24""","8,169 3,152 3,175",31% 10%,21,26.64,69%,25% 5% 1%,
4,PERISIC,,"101'42""","10,738 4,107 3,855",64% 31% 7%,45,29.48,70%,23% 4% 2%,1%
6,LOVREN,,"127'40""","11,773 4,344 4,747",18% 7% 4%,30,31.50,73%,22% 4% 1%,
7,RAKITIC,,"127'40""","13,081 5,028 5,495",43% 18% 2%,35,27.43,68%,26% 5% 1%,
10,MODRIC,,"127'40""","12,096 4,638 4,784",52% 16% 2%,32,26.82,74%,21% 4% 1%,
11,BROZOVIC,,"72'58""","9,088 3,569 3,701",29% 10% 4%,22,29.23,57%,33% 8% 2%,
17,MANDZUKIC,,"114'22""","10,891 4,141 4,319",70% 41% 13%,49,27.00,73%,20% 5% 2%,
18,REBIC,,"127'40""","11,884 4,876 4,070",70% 34% 10%,52,33.98,76%,18% 3% 2%,1%
21,VIDA,,"127'40""","10,860 3,989 4,496",18% 5% 3%,20,27.00,75%,21% 3% 1%,
8,KOVACIC,,"54'42""","6,002 2,599 2,326",51% 24% 2%,25,31.03,65%,24% 9% 2%,
9,KRAMARIC,,"25'58""","3,027 1,380 1,059",69% 45% 10%,15,25.38,60%,32% 6% 2%,
19,BADELJ,,"13'18""","1,486 614 621",51% 26% 9%,,19.94,62%,32% 6%,
22,PIVARIC,,"45'16""","5,113 2,053 1,847",39% 22%,19,27.68,63%,27% 7% 2%,1%
