"",,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,
"",,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,SCHMEICHEL,"127'40""","4,816 1,669 1,720",,,17.35,95%,4% 1%,
4,KJAER,"127'40""","11,382 3,977 4,762",14% 9% 4%,17,29.92,77%,19% 3% 1%,
5,KNUDSEN,"127'40""","12,562 4,261 5,292",25% 11% 1%,38,29.23,70%,24% 5% 1%,
6,CHRISTENSEN,"47'10""","4,794 1,545 2,226",27% 10% 3%,10,26.82,66%,28% 5% 1%,
8,DELANEY,"103'11""","11,234 4,185 4,551",42% 17% 7%,35,30.60,66%,27% 6% 1%,
10,ERIKSEN,"127'40""","15,409  5,934  6,350",60% 27% 4%,46,31.28,60%,31% 7% 2%,
11,BRAITHWAITE,"111'31""","12,248 4,375 4,836",57% 27% 4%,47,29.70,65%,28% 5% 1%,1%
13,M. JORGENSEN,"127'40""","10,291 3,497 4,383",13% 7% 5%,19,29.23,79%,17% 3% 1%,
14,DALSGAARD,"127'40""","11,908 4,104 5,025",26% 4% 1%,32,28.80,71%,24% 4% 1%,
20,POULSEN,"127'40""","13,555 4,658 5,835",57% 27% 9%,56,27.43,68%,24% 6% 2%,
21,CORNELIUS,"67'59""","7,584 2,860 2,902",77% 37% 8%,24,32.18,64%,30% 3% 2%,1%
2,KROHN-DEHLI,"24'29""","2,803 984 1,350",33% 8%,5,22.68,64%,26% 9% 1%,
9,N. JORGENSEN,"59'41""","6,393 2,506 2,621",69% 40% 17%,27,29.92,65%,27% 5% 2%,1%
19,SCHONE,"80'30""","8,152 2,982 3,619",34% 10%,11,21.17,67%,28% 4% 1%,
23,SISTO,"16'09""","1,774 901 639",54% 22% 2%,10,27.43,65%,24% 7% 3%,1%
