"",,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,
"",,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,COURTOIS,"96'18""","3,816 1,462 1,322",,3,29.92,95%,5%,
2,ALDERWEIRELD,"96'18""","10,030 4,009 3,795",26% 9% 5%,23,27.00,68%,27% 4% 1%,
4,KOMPANY,"96'18""","9,599 3,880 3,613",21% 8% 4%,14,28.12,69%,26% 4% 1%,
5,VERTONGHEN,"96'18""","9,465 3,687 3,604",33% 15% 5%,21,28.37,74%,20% 5% 1%,
6,WITSEL,"96'18""","11,015 4,677 4,309",43% 20% 2%,17,22.86,60%,32% 7% 1%,
7,DE BRUYNE,"96'18""","11,742  5,062 4,278",48% 19% 1%,38,31.97,63%,28% 7% 2%,
9,R. LUKAKU,"96'18""","8,240 3,733 2,861",84% 46% 19%,31,28.58,79%,17% 2% 1%,1%
10,E. HAZARD,"96'18""","10,471 4,999 3,418",70% 37% 7%,39,29.48,69%,24% 4% 2%,1%
11,CARRASCO,"65'35""","7,667 3,172 2,962",57% 30% 8%,24,30.17,61%,30% 7% 2%,
14,MERTENS,"65'24""","6,947 2,816 2,859",71% 40% 7%,28,28.58,68%,23% 6% 2%,1%
15,MEUNIER,"96'18""","11,916 5,029 4,246",45% 19% 3%,65,32.18,62%,28% 6% 3%,1%
8,FELLAINI,"30'54""","3,612 1,598 1,114",57% 35% 19%,18,27.00,64%,25% 8% 3%,
22,CHADLI,"30'43""","3,316 1,404 1,010",58% 34% 14%,12,31.50,70%,22% 4% 2%,2%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
