"",,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,
"",,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,KAWASHIMA,"96'18""","3,783 1,181 1,620",,1,21.78,95%,5%,
3,SHOJI,"96'18""","8,891 2,829 4,262",9% 2% 1%,24,31.72,77%,18% 3% 1%,1%
5,NAGATOMO,"96'18""","11,504 3,996 4,921",27% 8% 1%,56,28.80,60%,30% 6% 3%,1%
7,SHIBASAKI,"81'44""","9,901 3,389 4,849",35% 11% 1%,27,27.68,58%,32% 8% 2%,
8,HARAGUCHI,"81'57""","9,302 3,238 4,229",47% 21% 4%,43,31.97,65%,26% 6% 2%,1%
10,KAGAWA,"96'18""","12,047 4,119  5,518",57% 25% 4%,28,27.00,56%,34% 8% 2%,
14,INUI,"96'18""","10,417 3,434 4,696",51% 22% 2%,59,29.02,70%,20% 6% 3%,1%
15,OSAKO,"96'18""","10,197 3,596 4,218",69% 33% 8%,31,28.58,66%,28% 5% 1%,
17,HASEBE,"96'18""","10,666 3,354 5,087",29% 5%,28,28.12,67%,26% 6% 1%,
19,H.SAKAI,"96'18""","10,374 3,340 4,847",26% 9% 2%,45,32.40,67%,24% 6% 2%,1%
22,YOSHIDA,"96'18""","8,765 2,767 4,158",10% 4% 2%,24,29.48,76%,19% 4% 1%,
4,HONDA,"14'21""","1,580 489 644",59% 29% 5%,7,24.30,63%,27% 6% 3%,1%
16,YAMAGUCHI,"14'34""","1,462 397 693",42% 5%,7,27.68,70%,22% 5% 2%,1%
