"",,,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,SOMMER,,"97'31""","4,824 2,157 1,323",,2,22.32,93%,6% 1%,
5,AKANJI,,"97'31""","8,851 4,099 2,696",28% 13% 7%,18,26.64,72%,23% 4% 1%,
6,LANG,,"94'26""","10,796 4,951 3,266",42% 22% 6%,36,29.92,64%,26% 7% 2%,1%
10,XHAKA,,"97'31""","10,522  5,375 2,958",47% 18%,14,28.12,66%,26% 7% 1%,
11,BEHRAMI,,"97'31""","9,830 4,480 3,214",40% 11% 1%,26,27.90,69%,24% 6% 1%,
13,R. RODRIGUEZ,,"97'31""","9,223 4,279 2,837",45% 25% 1%,36,30.17,72%,21% 5% 2%,
14,ZUBER,,"73'48""","8,146 3,908 2,254",65% 36% 9%,21,26.46,64%,28% 7% 1%,
15,DZEMAILI,,"74'03""","8,060 3,989 2,291",67% 37% 6%,34,27.68,68%,24% 5% 2%,1%
19,DRMIC,,"97'31""","10,022 4,828 2,791",82% 50% 17%,41,29.48,70%,23% 4% 2%,1%
20,DJOUROU,,"97'31""","8,988 4,103 2,729",24% 10% 6%,19,27.00,73%,22% 4% 1%,
23,SHAQIRI,,"97'31""","9,096 4,577 2,267",64% 33% 3%,31,28.58,73%,21% 4% 1%,1%
7,EMBOLO,,"23'43""","1,917 998 385",80% 55% 23%,3,25.02,80%,16% 3% 1%,
9,SEFEROVIC,,"23'28""","2,456 1,227 485",79% 59% 21%,7,23.94,70%,24% 5% 1%,
