"",,,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,OLSEN,,"97'31""","4,846 1,240 1,862",,1,18.76,94%,6%,
2,LUSTIG,,"82'54""","8,460 2,249 4,099",27% 12% 2%,27,28.58,69%,24% 6% 1%,
3,LINDELOF,,"97'31""","8,538 2,152 4,352",14% 2%,15,29.02,73%,23% 3% 1%,
4,GRANQVIST,,"97'31""","8,469 2,033 4,356",17% 8% 3%,13,26.46,73%,24% 2% 1%,
6,AUGUSTINSSON,,"97'31""","10,327 2,655 5,140",27% 10% 1%,35,28.80,67%,26% 5% 1%,1%
8,EKDAL,,"97'31""","10,955 2,866 5,666",33% 13% 3%,34,28.37,62%,30% 6% 2%,
9,BERG,,"91'17""","9,393 2,686 4,561",62% 31% 9%,30,29.23,69%,24% 5% 2%,
10,FORSBERG,,"82'24""","8,852 2,367 4,369",50% 26% 2%,25,28.80,67%,27% 5% 1%,
13,SVENSSON,,"97'31""","10,511 2,301  5,842",33% 6%,30,27.22,63%,31% 5% 1%,
17,CLAESSON,,"97'31""","10,459 2,888 5,093",49% 25% 3%,33,27.00,67%,25% 6% 2%,
20,TOIVONEN,,"97'31""","10,463 2,855 5,116",59% 31% 7%,28,26.28,66%,27% 5% 2%,
5,OLSSON,,"15'07""","1,666 448 748",46% 22% 1%,7,29.48,64%,26% 6% 2%,2%
16,KRAFTH,,"14'37""","1,332 310 650",26%,5,24.48,73%,21% 4% 1%,1%
22,THELIN,,"6'14""",788 194 302,70% 43% 10%,3,20.84,60%,26% 11% 3%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
