"",,,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,OSPINA,,"133'30""","4,434 1,160 1,329",1%,2,21.60,96%,3% 1%,
4,ARIAS,,"127'41""","11,330 3,539 4,663",27% 9% 1%,41,33.59,77%,18% 3% 1%,1%
5,BARRIOS,,"133'30""","13,486 4,390 5,547",20% 2%,35,27.90,64%,30% 5% 1%,
6,C. SANCHEZ,,"83'02""","7,895 2,428 3,585",28% 4%,16,25.56,70%,24% 5% 1%,
9,FALCAO,,"133'30""","13,870 5,009 4,944",71% 35% 6%,52,31.72,66%,26% 6% 2%,
11,Ju. CUADRADO,,"133'30""","13,030 4,658 4,895",53% 17% 1%,44,33.08,71%,23% 4% 1%,1%
13,MINA,,"133'30""","12,268 3,747 5,107",14% 3% 1%,34,29.92,70%,25% 4% 1%,
16,LERMA,,"65'52""","7,268 2,523 3,286",34% 7%,27,32.18,63%,29% 5% 2%,1%
17,MOJICA,,"133'30""","13,036 4,251 5,256",35% 12% 1%,62,32.40,74%,19% 4% 2%,1%
20,QUINTERO,,"92'39""","8,970 3,152 3,458",51% 14%,21,28.37,71%,25% 3% 1%,
23,D. SANCHEZ,,"133'30""","12,730 4,034 5,135",11% 3% 1%,26,31.72,69%,26% 4% 1%,
2,C. ZAPATA,,"5'49""",565 179 216,17%,,16.96,69%,25% 5% 1%,
7,BACCA,,"67'38""","7,183 2,354 2,411",64% 34% 9%,29,29.02,68%,25% 4% 2%,1%
14,MURIEL,,"40'51""","4,083 1,392 1,381",61% 30% 8%,16,30.38,69%,25% 4% 1%,1%
15,URIBE,,"50'28""","5,727 2,044 2,044",41% 15% 6%,18,26.10,64%,27% 7% 2%,
