"",,,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,LLORIS,,"97'10""","3,905 1,553 1,253",,,12.10,95%,5%,
2,PAVARD,,"97'10""","9,571 4,018 3,179",32% 16% 2%,35,31.03,70%,24% 4% 2%,
4,VARANE,,"97'10""","8,762 3,234 2,977",22% 10% 3%,18,29.70,72%,23% 4% 1%,
5,UMTITI,,"97'10""","8,407 3,106 2,950",22% 10% 7%,8,29.23,75%,22% 3%,
6,POGBA,,"97'10""","9,605 3,939 3,153",44% 19% 8%,27,28.58,71%,24% 4% 1%,
7,GRIEZMANN,,"94'31""","10,270  4,392 3,318",58% 29% 2%,29,29.70,69%,23% 6% 2%,
9,GIROUD,,"97'10""","9,054 3,665 2,672",70% 42% 9%,33,31.03,74%,20% 5% 1%,
10,MBAPPE,,"89'25""","8,058 3,606 2,135",68% 37% 6%,31,31.18,78%,17% 3% 1%,1%
12,TOLISSO,,"81'31""","8,656 3,612 2,821",51% 26% 6%,31,26.46,65%,27% 6% 2%,
13,KANTE,,"97'10""","10,470 4,105 3,906",35% 9%,42,27.90,65%,26% 7% 2%,
21,HERNANDEZ,,"97'10""","9,417 3,639 3,238",35% 16% 1%,29,26.46,72%,22% 5% 1%,
11,DEMBELE,,"7'45""",926 212 367,52% 37% 11%,4,26.28,61%,29% 7% 2%,1%
15,NZONZI,,"15'39""","1,887 719 685",30% 6%,4,20.27,57%,35% 7% 1%,
18,FEKIR,,"2'39""",383 107 210,42% 12%,3,20.56,49%,32% 14% 5%,
