"",,,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,MUSLERA,,"97'10""","3,257 962 1,037",,1,20.09,96%,3% 1%,
2,GIMENEZ,,"97'10""","9,140 2,803 3,702",24% 13% 5%,24,25.92,71%,23% 5% 1%,
3,GODIN,,"97'10""","9,145 2,710 3,855",18% 8% 3%,16,25.74,72%,24% 3% 1%,
6,BENTANCUR,,"60'56""","6,799 1,968 3,087",48% 21% 1%,23,31.50,65%,27% 5% 2%,1%
8,NANDEZ,,"74'50""","8,349 2,512 3,590",40% 15% 1%,44,27.90,67%,25% 5% 2%,1%
9,SUAREZ,,"97'10""","8,610 2,793 3,418",74% 43% 12%,34,28.58,78%,17% 3% 2%,
11,STUANI,,"60'34""","7,009 2,255 3,043",60% 31% 8%,21,24.30,59%,31% 8% 2%,
14,TORREIRA,,"97'10""","10,474 3,098  5,005",35% 9%,23,27.90,63%,30% 6% 1%,
15,VECINO,,"97'10""","11,215 3,542 4,838",42% 17% 5%,25,23.58,61%,30% 8% 1%,
17,LAXALT,,"97'10""","9,832 3,059 4,309",25% 5%,31,33.30,70%,23% 5% 1%,1%
22,CACERES,,"97'10""","9,469 3,183 3,665",30% 14% 3%,27,28.80,69%,25% 5% 1%,
7,C. RODRIGUEZ,,"36'14""","3,557 1,238 1,368",57% 33% 6%,15,29.48,75%,19% 3% 2%,1%
18,GOMEZ,,"36'36""","4,037 1,342 1,640",73% 42% 16%,8,23.76,63%,30% 6% 1%,
20,URRETAVISCAYA,,"22'20""","2,525 943 994",66% 30% 1%,8,27.90,61%,28% 8% 3%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
