"",,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,
"",,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,COURTOIS,"96'12""","4,149 1,520 1,665",1% 1%,4,19.94,95%,4% 1%,
2,ALDERWEIRELD,"96'12""","9,594 3,330 4,233",10% 9% 6%,17,28.37,68%,27% 4% 1%,
4,KOMPANY,"96'12""","9,388 3,312 4,287",10% 9% 5%,20,26.64,68%,28% 3% 1%,
5,VERTONGHEN,"96'12""","9,500 3,274 4,316",18% 6% 4%,18,26.10,71%,23% 5% 1%,
6,WITSEL,"96'12""","11,039 3,972 5,149",29% 9% 5%,22,28.12,59%,32% 8% 1%,
7,DE BRUYNE,"96'12""","11,816 4,450 4,997",49% 19% 1%,47,29.70,63%,27% 7% 2%,1%
8,FELLAINI,"96'12""","11,086 3,837 5,167",33% 12% 4%,33,28.37,62%,29% 7% 2%,
9,R. LUKAKU,"87'37""","6,351 2,704 2,136",64% 25% 8%,20,32.83,83%,12% 3% 1%,1%
10,E. HAZARD,"96'12""","8,918 3,667 3,188",49% 20% 2%,35,30.17,75%,19% 3% 2%,1%
15,MEUNIER,"96'12""","11,673 3,996  5,209",26% 7%,59,31.97,60%,31% 6% 2%,1%
22,CHADLI,"83'14""","9,355 3,129 4,395",31% 12% 1%,35,29.70,64%,27% 6% 2%,1%
3,VERMAELEN,"12'58""","1,228 359 529",14%,3,24.30,75%,19% 5% 1%,
17,TIELEMANS,"8'35""","1,097 261 563",47% 16%,5,27.68,57%,30% 10% 2%,1%
