"",,,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,ALISSON,,"96'12""","4,691 1,799 1,735",,3,27.00,94%,5% 1%,
2,THIAGO SILVA,,"96'12""","8,102 3,014 3,386",27% 8% 4%,21,28.58,78%,17% 4% 1%,
3,MIRANDA,,"96'12""","8,470 3,145 3,633",29% 6% 4%,24,31.28,74%,20% 4% 1%,1%
9,GABRIEL JESUS,,"58'23""","6,489 2,514 2,822",80% 54% 22%,25,26.82,61%,30% 6% 2%,1%
10,NEYMAR,,"96'12""","9,561 4,458 3,110",75% 46% 10%,36,29.70,68%,26% 5% 1%,
11,PHILIPPE COUTINHO,,"96'12""","10,722  4,689 3,916",59% 32% 4%,41,26.82,62%,29% 7% 2%,
12,MARCELO,,"96'12""","9,690 4,066 3,644",49% 26% 2%,36,27.90,70%,22% 6% 2%,
15,PAULINHO,,"73'13""","8,483 3,453 3,646",55% 29% 10%,30,27.43,62%,28% 8% 2%,
17,FERNANDINHO,,"96'12""","9,923 3,849 4,209",42% 12% 1%,37,27.68,67%,25% 5% 2%,1%
19,WILLIAN,,"46'08""","4,829 1,878 2,214",67% 37% 3%,20,32.18,67%,25% 5% 2%,1%
22,FAGNER,,"96'12""","9,016 3,522 3,696",34% 5%,41,29.23,75%,19% 3% 2%,1%
7,DOUGLAS COSTA,,"37'49""","4,365 1,985 1,218",66% 39% 5%,22,29.48,66%,24% 7% 2%,1%
8,RENATO AUGUSTO,,"22'59""","2,869 1,284 763",55% 33% 17%,13,28.58,62%,24% 9% 4%,1%
20,ROBERTO FIRMINO,,"50'04""","6,299 2,786 2,137",75% 48% 17%,36,29.70,55%,33% 8% 3%,1%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
