"",,,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
23,SUBASIC,,"131'00""","5,299 2,160 1,254",,1,18.90,96%,3% 1%,
2,VRSALJKO,,"103'31""","11,073 5,234 3,335",38% 19% 1%,51,30.17,67%,25% 5% 2%,1%
3,STRINIC,,"75'38""","7,727 3,562 2,477",37% 12%,24,27.00,68%,26% 5% 1%,
4,PERISIC,,"64'29""","7,471 3,591 2,032",70% 37% 10%,34,26.46,64%,27% 6% 2%,1%
6,LOVREN,,"131'00""","12,376 5,278 3,893",21% 6% 2%,35,31.50,72%,23% 4% 1%,
7,RAKITIC,,"131'00""","13,300 5,835 4,157",42% 17% 1%,28,25.74,69%,26% 4% 1%,
9,KRAMARIC,,"89'49""","10,813 5,454 2,855",70% 37% 8%,36,27.68,61%,29% 8% 2%,
10,MODRIC,,"131'00""","12,616 5,873 3,550",44% 15% 2%,37,31.28,73%,21% 4% 1%,1%
17,MANDZUKIC,,"131'00""","12,407 5,658 3,646",67% 38% 11%,38,28.80,73%,21% 4% 2%,
18,REBIC,,"131'00""","12,951  6,017 3,478",70% 36% 9%,58,31.03,73%,20% 4% 2%,1%
21,VIDA,,"131'00""","11,979 5,113 3,931",20% 5% 2%,32,26.28,70%,25% 4% 1%,
5,CORLUKA,,"27'29""","2,606 962 817",15% 6% 2%,8,22.14,72%,22% 5% 1%,
8,KOVACIC,,"41'11""","4,726 1,913 1,338",47% 23% 5%,28,28.80,64%,25% 7% 3%,1%
11,BROZOVIC,,"66'31""","7,598 3,413 2,404",35% 11%,21,28.12,61%,29% 8% 2%,
22,PIVARIC,,"55'22""","6,155 2,388 1,854",31% 12% 1%,31,27.43,64%,25% 7% 3%,1%
