"",,,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,OLSEN,,"96'21""","5,014 1,651 1,935",,1,23.22,93%,6% 1%,
3,LINDELOF,,"96'21""","8,824 2,835 4,060",11% 3% 1%,22,27.90,73%,22% 4% 1%,
4,GRANQVIST,,"96'21""","8,737 2,766 4,096",18% 6% 2%,22,29.02,72%,24% 3% 1%,
6,AUGUSTINSSON,,"96'21""","10,111 3,382 4,512",21% 6%,27,27.43,66%,29% 4% 1%,
7,LARSSON,,"96'21""","11,062 3,405  5,353",39% 12% 1%,31,29.02,63%,29% 7% 1%,
8,EKDAL,,"96'21""","11,222 3,587 5,272",31% 10% 2%,24,25.38,60%,32% 7% 1%,
9,BERG,,"96'21""","10,117 3,460 4,378",69% 35% 8%,39,26.28,68%,25% 5% 2%,
10,FORSBERG,,"65'46""","7,296 2,222 3,474",48% 20% 1%,18,23.94,66%,27% 6% 1%,
16,KRAFTH,,"85'40""","8,842 2,907 4,224",18% 3%,29,28.80,67%,26% 4% 2%,1%
17,CLAESSON,,"96'21""","10,963 3,515 4,945",54% 23% 3%,38,26.64,65%,26% 7% 2%,
20,TOIVONEN,,"65'35""","7,174 2,241 3,344",66% 30% 7%,23,27.22,66%,26% 6% 2%,
5,OLSSON,,"30'35""","3,286 1,193 1,270",54% 28% 1%,17,26.64,65%,26% 6% 2%,1%
11,GUIDETTI,,"30'46""","3,059 1,084 1,097",67% 41% 10%,10,29.02,71%,22% 5% 1%,1%
18,JANSSON,,"10'41""",994 371 271,58% 36% 11%,4,24.84,74%,18% 5% 2%,1%
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
