"",,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,
"",,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,COURTOIS,"97'16""","3,343 1,299 1,220",,1,20.99,96%,4%,
2,ALDERWEIRELD,"97'16""","9,962 4,350 3,485",31% 9% 3%,25,26.28,68%,26% 5% 1%,
4,KOMPANY,"97'16""","9,084 3,789 3,343",24% 4% 3%,24,25.20,73%,21% 5% 1%,
5,VERTONGHEN,"97'16""","8,521 3,586 3,128",30% 11% 4%,30,27.54,78%,17% 4% 1%,
6,WITSEL,"97'16""","10,752 4,771 3,923",51% 13% 1%,25,28.37,62%,30% 6% 2%,
7,DE BRUYNE,"97'16""","10,658  5,019 3,553",63% 33% 1%,33,29.23,69%,24% 5% 2%,
8,FELLAINI,"80'42""","9,862 4,738 3,342",61% 36% 10%,31,28.37,56%,35% 7% 2%,
9,R. LUKAKU,"97'16""","7,774 3,799 2,272",79% 51% 14%,15,27.68,80%,16% 3% 1%,
10,E. HAZARD,"97'16""","9,910 4,853 3,032",62% 35% 4%,30,31.72,72%,22% 4% 1%,1%
19,DEMBELE,"60'37""","6,373 2,549 2,780",44% 9%,30,29.48,66%,28% 3% 2%,1%
22,CHADLI,"91'45""","9,890 4,171 3,424",52% 31% 3%,36,30.17,66%,26% 5% 2%,1%
11,CARRASCO,"16'34""","1,822 703 605",65% 41% 5%,9,28.80,65%,24% 7% 3%,1%
14,MERTENS,"36'39""","3,676 1,632 1,052",74% 49% 4%,12,25.20,71%,20% 7% 2%,
21,BATSHUAYI,"5'31""",488 197 192,41% 18% 3%,,17.60,71%,22% 7%,
