"",,,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,LLORIS,,"97'16""","3,994 1,311 1,639",,,15.08,96%,4%,
2,PAVARD,,"97'16""","9,653 3,066 4,614",25% 7% 1%,37,27.68,72%,22% 3% 2%,1%
4,VARANE,,"97'16""","8,473 2,619 3,949",17% 7% 4%,7,29.48,76%,21% 3%,
5,UMTITI,,"97'16""","8,309 2,454 3,890",13% 8% 4%,9,21.60,76%,22% 2%,
6,POGBA,,"97'16""","10,115 3,122 4,724",34% 15% 4%,24,27.18,68%,26% 5% 1%,
7,GRIEZMANN,,"97'16""","10,925 3,620 5,294",51% 27% 4%,44,28.12,67%,24% 6% 2%,1%
9,GIROUD,,"85'13""","8,745 2,866 4,093",54% 31% 10%,35,28.12,68%,25% 5% 2%,
10,MBAPPE,,"97'16""","8,975 3,266 3,679",53% 28% 7%,38,30.60,76%,18% 4% 1%,1%
13,KANTE,,"97'16""","11,124 3,414  5,800",30% 9%,21,29.48,60%,31% 8% 1%,
14,MATUIDI,,"86'48""","9,623 2,954 4,841",39% 20% 3%,43,30.17,65%,27% 5% 2%,1%
21,HERNANDEZ,,"97'16""","9,480 2,970 4,513",27% 8%,32,28.37,70%,25% 4% 1%,
12,TOLISSO,,"10'28""",922 361 413,59% 24% 3%,2,30.60,69%,22% 7% 1%,1%
15,NZONZI,,"12'03""","1,271 399 535",46% 5%,4,23.94,68%,21% 9% 2%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
