"",,,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",,Name,,,,,,,,
"",,,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
23,SUBASIC,,"132'19""","5,331 1,795 1,459",,1,19.80,97%,3%,
2,VRSALJKO,,"132'19""","13,773 5,304 4,742",31% 12% 1%,54,28.12,68%,26% 4% 1%,1%
3,STRINIC,,"98'33""","9,940 3,913 3,436",31% 12%,36,25.56,68%,25% 5% 2%,
4,PERISIC,,"132'19""","14,531 5,603 4,882",61% 35% 12%,78,30.17,67%,24% 5% 3%,1%
6,LOVREN,,"132'19""","12,568 4,551 4,554",22% 9% 4%,35,31.50,72%,23% 4% 1%,
7,RAKITIC,,"132'19""","14,541 5,347 5,694",51% 23% 2%,44,28.58,64%,27% 7% 2%,
10,MODRIC,,"126'00""","12,226 4,774 4,281",50% 20% 1%,40,30.82,72%,21% 5% 2%,
11,BROZOVIC,,"132'19""","16,339  6,553 5,904",34% 11%,52,27.43,58%,31% 9% 2%,
17,MANDZUKIC,,"122'47""","12,344 4,749 4,352",72% 43% 15%,54,29.70,72%,21% 4% 2%,1%
18,REBIC,,"105'11""","10,826 4,430 3,314",65% 33% 8%,58,31.97,72%,21% 4% 2%,1%
21,VIDA,,"132'19""","12,005 4,295 4,446",17% 7% 5%,31,29.92,71%,24% 4% 1%,
5,CORLUKA,,"9'32""",926 186 506,11%,2,21.46,67%,28% 4% 1%,
9,KRAMARIC,,"27'08""","3,201 1,298 1,018",53% 35% 12%,19,29.23,63%,26% 7% 3%,1%
19,BADELJ,,"6'19""",891 183 540,48% 12%,7,22.68,52%,33% 9% 6%,
22,PIVARIC,,"33'46""","3,844 1,400 1,305",33% 10% 1%,19,27.43,65%,25% 6% 3%,1%
