"",,Time,Distance covered (metres),Time spent,SP,T.S.,,Activity time spent,
"#",Name,,,,,,,,
"",,,Total In Poss Not in Poss,O.H. A.3rd P.A.,,,Zone 1,Zone 2 Zone 3 Zone 4,Zone
1,COURTOIS,"95'09""","3,913 1,639 1,685",,3,20.27,95%,4% 1%,
2,ALDERWEIRELD,"95'09""","9,877 4,072 4,433",14% 4% 2%,22,24.30,66%,29% 4% 1%,
4,KOMPANY,"95'09""","9,655 3,958 4,545",9% 4% 2%,16,28.80,67%,28% 4% 1%,
5,VERTONGHEN,"95'09""","9,877 3,777 4,772",28% 10% 4%,34,28.37,70%,23% 6% 1%,
6,WITSEL,"95'09""","11,228 4,383  5,584",32% 9% 2%,19,27.00,57%,34% 8% 1%,
7,DE BRUYNE,"95'09""","11,396 4,814 5,063",48% 20% 3%,44,31.28,66%,26% 5% 2%,1%
9,R. LUKAKU,"61'57""","5,700 2,523 2,496",68% 36% 9%,21,27.00,76%,18% 4% 1%,1%
10,E. HAZARD,"95'09""","10,242 4,559 4,245",51% 25% 3%,44,30.17,70%,22% 5% 2%,1%
15,MEUNIER,"95'09""","11,619 4,660 5,312",36% 16% 3%,48,31.72,61%,29% 7% 2%,1%
17,TIELEMANS,"79'46""","9,171 3,501 4,579",35% 8% 9%,24,27.90,59%,34% 5% 2%,
22,CHADLI,"38'39""","4,243 1,681 2,081",40% 21% 2%,16,32.18,66%,27% 4% 2%,1%
3,VERMAELEN,"56'30""","5,700 2,129 2,742",14% 2%,15,31.28,71%,22% 5% 1%,1%
14,MERTENS,"33'12""","3,536 1,458 1,447",53% 22% 4%,13,29.70,69%,22% 6% 2%,1%
19,DEMBELE,"15'23""","1,686 710 690",29%,3,18.14,60%,35% 4% 1%,
In Poss:,Team in possession,O.H:,In opposite half,Zone 1: 0-7 km/h,Bold values: top performing in the match
Not In Poss:,Opposite team in possession,A.3rd:,In attacking third,Zone 2: 7-15 km/h,
