Country,Spielername,MatchesPlayed,MinutesPlayed,Goals,Offsides,SolosIntoArea,LostBalls,DeliveriesInPenaltyArea,Tackles,TacklesSuffered
COL,James RODRIGUEZ,5,399,6,0,2,41,17,9,8
GER,Thomas MUELLER,7,682,5,8,9,72,12,8,23
ARG,Lionel MESSI,7,693,4,3,8,71,26,7,26
BRA,Neymar,5,457,4,3,4,62,16,6,35
NED,Robin VAN PERSIE,6,548,4,12,2,39,1,1,7
NED,Arjen ROBBEN,7,690,3,5,19,49,19,2,31
FRA,Karim Benzema,5,450,3,3,5,37,15,1,9
GER,Andre SCHUERRLE,6,244,3,2,2,32,4,4,6
SUI,Xherdan SHAQIRI,4,387,3,1,2,43,12,5,22
ECU,Enner Valencia,3,270,3,3,1,24,1,3,12
GER,Mario GOETZE,6,258,2,0,7,30,1,4,8
CIV,Gervinho,3,263,2,4,7,21,2,1,8
CHI,Alexis SANCHEZ,4,390,2,2,6,44,11,3,34
BRA,Oscar,7,640,2,2,5,67,12,30,24
CRO,Ivan Perišic,3,258,2,0,5,23,2,4,7
NGA,Ahmed MUSA,4,335,2,1,4,30,2,5,9
ALG,Abdelmoumene DJABOU,3,170,2,2,3,17,3,3,9
GHA,Asamoah Gyan,3,270,2,5,3,32,2,0,4
USA,Clint Dempsey,4,387,2,2,2,35,1,2,14
NED,Memphis Depay,4,173,2,2,2,17,3,1,12
ALG,Islam SLIMANI,4,324,2,2,2,38,0,3,8
CRO,Mario MANDZUKIC,2,180,2,3,1,12,0,2,2
GER,Miroslav KLOSE,5,280,2,1,1,34,0,6,9
GER,Toni KROOS,7,690,2,0,1,58,15,5,15
GHA,André Ayew,3,261,2,0,1,17,0,3,2
URU,Luis SUAREZ,2,178,2,3,0,17,4,5,3
BRA,DAVID LUIZ,7,660,2,0,0,55,5,15,4
AUS,Tim CAHILL,2,159,2,2,0,11,2,2,1
CRC,Bryan RUIZ,5,494,2,0,0,38,4,3,9
CIV,Wilfried BONY,3,167,2,1,0,12,0,2,2
COL,Jackson MARTINEZ,3,194,2,1,0,22,0,2,4
GER,Mats HUMMELS,6,509,2,0,0,36,0,14,0
GER,Mesut OEZIL,7,655,1,3,8,66,14,3,19
BEL,Dries MERTENS,5,269,1,2,7,26,7,3,4
ARG,Angel DI MARIA,5,423,1,0,7,63,18,5,17
CRC,Marcos URENA,4,102,1,0,4,15,1,1,1
GRE,Georgios SAMARAS,4,390,1,2,4,34,2,12,23
BEL,Divock ORIGI,5,245,1,4,4,23,2,1,7
SUI,Admir MEHMEDI,4,337,1,1,3,40,5,3,22
BEL,Romelu LUKAKU,4,175,1,2,3,11,1,2,1
CRC,Joel CAMPBELL,5,415,1,7,3,44,7,6,15
POR,Nani,3,270,1,0,3,45,9,5,6
NED,Wesley SNEIJDER,6,585,1,0,3,56,10,5,10
ESP,Fernando Torres,3,144,1,4,2,11,2,0,2
ENG,Wayne Rooney,3,194,1,0,2,11,3,1,10
COL,Pablo ARMERO,5,416,1,2,2,37,7,3,5
URU,Edinson CAVANI,4,360,1,5,2,26,2,5,5
HON,Carlo COSTLY,3,220,1,1,2,22,0,2,4
ARG,Gonzalo HIGUAIN,7,571,1,4,2,40,4,4,10
FRA,Mathieu Valbuena,4,335,1,2,2,39,17,6,11
KOR,KOO Jacheol,3,270,1,2,2,22,3,8,7
BEL,Marouane FELLAINI,5,415,1,7,2,34,1,8,4
ALG,Sofiane FEGHOULI,4,390,1,0,2,43,1,6,10
NED,Daley Blind,7,670,1,0,1,39,4,15,5
NED,Georginio Wijnaldum,7,550,1,1,1,28,2,5,5
ARG,Marcos ROJO,6,615,1,0,1,69,7,12,8
KOR,SON Heungmin,3,247,1,0,1,28,4,0,9
ITA,Mario BALOTELLI,3,209,1,5,1,20,0,2,7
COL,Juan CUADRADO,5,387,1,0,1,40,5,16,17
COL,Teofilo GUTIERREZ,4,304,1,2,1,28,2,2,3
BIH,Edin DZEKO,3,264,1,3,1,26,1,0,11
ENG,Daniel Sturridge,3,260,1,2,1,22,2,1,5
BIH,Avdija VRSAJEVIC,1,90,1,0,1,10,2,1,4
IRN,Reza Ghoochannejhad,3,270,1,3,1,33,1,3,7
GRE,Andreas SAMARIS,2,136,1,0,1,10,1,5,4
FRA,Paul Pogba,5,354,1,0,1,34,5,4,3
USA,Julian GREEN,1,13,1,0,1,0,0,0,2
FRA,Blaise Matuidi,5,427,1,0,1,30,8,10,6
FRA,Olivier Giroud,5,165,1,0,1,23,0,2,6
BEL,Jan VERTONGHEN,5,449,1,0,1,43,5,8,2
CHI,Eduardo VARGAS,4,311,1,1,1,23,1,0,6
MEX,Giovani DOS SANTOS,4,297,1,2,1,16,2,1,6
URU,Diego GODIN,4,360,1,1,1,18,2,10,1
ESP,David Villa,1,56,1,3,1,9,4,1,2
JPN,Keisuke HONDA,3,270,1,0,1,25,5,2,13
POR,Cristiano Ronaldo,3,270,1,3,1,33,2,1,10
USA,Jermaine JONES,4,390,1,0,1,51,3,9,14
CRO,Ivica Olic,3,228,1,0,1,34,1,10,5
MEX,Oribe PERALTA,4,302,1,4,1,24,0,7,10
ESP,Xabi Alonso,3,191,1,1,1,16,0,4,4
CHI,Jorge VALDIVIA,3,93,1,1,0,6,2,5,0
CHI,Jean Beausejour,2,66,1,0,0,8,0,0,1
NGA,Peter ODEMWINGIE,4,281,1,0,0,29,3,9,7
MEX,Javier HERNANDEZ,4,75,1,1,0,16,0,0,4
SUI,Blerim DZEMAILI,3,54,1,0,0,10,0,2,1
NED,Klaas Jan HUNTELAAR,3,52,1,1,0,4,0,1,0
MEX,Rafael MARQUEZ,4,360,1,0,0,27,2,8,1
GER,Sami KHEDIRA,5,376,1,0,0,24,5,2,3
RUS,Aleksandr Kerzhakov,3,101,1,2,0,5,0,2,1
AUS,Mile JEDINAK,3,270,1,0,0,18,0,4,1
BRA,FERNANDINHO,5,296,1,0,0,20,3,17,2
BRA,FRED,6,471,1,5,0,33,3,0,8
MEX,Andres GUARDADO,4,333,1,0,0,24,5,3,10
POR,VARELA,2,50,1,0,0,6,2,0,0
KOR,LEE Keunho,3,104,1,0,0,12,1,1,0
ESP,Juan Mata,1,34,1,0,0,0,0,1,0
JPN,Shinji OKAZAKI,3,249,1,0,0,20,0,3,5
BRA,Thiago Silva,6,570,1,0,0,39,1,9,2
ITA,Claudio MARCHISIO,3,218,1,2,0,23,4,5,2
ALG,Rafik HALLICHE,4,367,1,0,0,30,1,5,0
GRE,Sokratis PAPASTATHOPOULOS,4,390,1,0,0,26,1,5,3
BIH,Miralem PJANIC,3,270,1,1,0,20,9,2,6
RUS,Aleksandr Kokorin,3,270,1,1,0,21,1,3,5
BEL,Kevin DE BRUYNE,4,390,1,2,0,44,9,5,3
COL,Juan Quintero,3,93,1,0,0,9,2,0,2
ALG,Yacine BRAHIMI,3,190,1,0,0,28,6,7,15
USA,John Brooks,1,44,1,0,0,3,0,0,0
CRC,Óscar Duarte,4,336,1,0,0,18,0,8,1
NED,Stefan DE VRIJ,7,677,1,1,0,49,3,17,3
SUI,Haris SEFEROVIC,4,139,1,0,0,13,0,1,6
SUI,Granit XHAKA,4,323,1,1,0,36,1,7,4
BIH,Vedad IBISEVIC,3,144,1,0,0,7,0,1,1
CMR,Joel Matip,2,180,1,0,0,12,1,2,0
NED,Leroy FER,1,15,1,0,0,1,0,1,0
FRA,Moussa Sissoko,4,214,1,1,0,19,3,2,2
CHI,Charles ARANGUIZ,4,364,1,1,0,22,1,9,8
