Country,Spielername,MatchesPlayed,MinutesPlayed,Tackles,TacklesWon,AttemptedClearances,ClearanceRate,Saves,Blocks,RecoveredBalls
BEL,Daniel VAN BUYTEN,5,480,3,1,17,100%,0,8,41
BRA,Thiago Silva,6,570,9,2,23,66%,0,7,37
SUI,Johan DJOUROU,4,390,5,2,21,58%,0,7,26
CRO,Vedran Corluka,3,270,3,1,9,100%,0,7,9
USA,Geoff CAMERON,3,300,3,1,6,67%,0,7,21
ARG,Javier MASCHERANO,7,720,22,10,8,100%,0,6,49
CRC,Giancarlo GONZALEZ,5,510,8,3,17,77%,0,6,37
ALG,Esseid BELKALEM,3,211,1,0,12,75%,0,6,15
GER,Mats HUMMELS,6,509,14,5,10,80%,0,5,47
GER,Philipp LAHM,7,690,13,4,7,86%,0,5,39
NED,Ron VLAAR,7,690,11,5,29,87%,0,5,42
ECU,Christian NOBOA,3,269,9,5,4,100%,0,5,15
FRA,Raphaël VARANE,5,389,2,2,8,88%,0,5,23
NED,Stefan DE VRIJ,7,677,16,5,12,92%,0,4,58
BRA,DAVID LUIZ,7,660,15,4,18,84%,0,4,44
ARG,Federico FERNANDEZ,4,390,11,3,9,78%,0,4,27
CHI,Mauricio ISLA,4,390,9,3,6,84%,0,4,22
BEL,Jan VERTONGHEN,5,449,8,2,7,100%,0,4,25
COL,Mario YEPES,4,360,8,3,13,85%,0,4,22
AUS,Jason DAVIDSON,3,270,5,0,1,100%,0,4,16
CMR,Nicolas N'Koulou,3,270,5,2,11,73%,0,4,16
RUS,Sergey IGNASHEVICH,3,270,4,1,4,75%,0,4,20
COL,Cristian ZAPATA,4,360,2,1,7,72%,0,4,24
GER,Benedikt HOEWEDES,7,690,18,5,16,88%,0,3,44
SUI,Ricardo RODRIGUEZ,4,390,15,5,14,72%,0,3,33
GER,Jerome BOATENG,7,646,11,3,18,95%,0,3,51
ARG,Ezequiel GARAY,7,720,8,1,21,86%,0,3,52
USA,Matt BESLER,4,346,8,2,12,50%,0,3,26
USA,Omar Gonzalez,3,211,6,0,12,92%,0,3,9
NGA,Kenneth OMERUO,4,360,7,3,14,100%,0,3,29
GRE,Konstantinos MANOLAS,4,390,5,1,11,82%,0,3,18
URU,José María Giménez,3,270,5,1,7,86%,0,3,15
FRA,Mamadou SAKHO,4,289,5,1,7,72%,0,3,20
BIH,Emir SPAHIC,3,270,8,5,8,88%,0,3,30
MEX,Hector MORENO,4,316,6,3,8,88%,0,3,22
URU,Diego GODIN,4,360,5,2,12,67%,0,3,26
POR,BRUNO ALVES,3,270,5,2,6,50%,0,3,16
SUI,Stephan LICHTSTEINER,4,390,5,2,4,50%,0,3,17
ECU,Oswaldo MINDA,2,173,5,2,1,100%,0,3,16
KOR,KIM Younggwon,3,270,3,0,10,100%,0,3,21
POR,Ricardo Costa,2,134,3,1,2, - ,0,3,8
