Country,Spielername,MatchesPlayed,MinutesPlayed,DistanceCovered,DistanceCoveredInPossession,DistanceCoveredNotInPossession,TopSpeed
GER,Thomas MUELLER,7,682,84.0km,34.5km,26.4km,30.5km/h
GER,Toni KROOS,7,690,82.6km,34.3km,28.0km,29.8km/h
ARG,Javier MASCHERANO,7,720,81.2km,29.5km,30.7km,30.3km/h
GER,Philipp LAHM,7,690,81.0km,34.6km,27.2km,28.7km/h
GER,Benedikt HOEWEDES,7,690,80.4km,32.1km,27.2km,30.5km/h
NED,Arjen ROBBEN,7,690,79.3km,31.0km,25.8km,32.2km/h
ARG,Pablo ZABALETA,7,720,79.1km,30.2km,28.3km,29.6km/h
ARG,Ezequiel GARAY,7,720,76.1km,26.2km,27.6km,31.4km/h
NED,Daley Blind,7,670,75.7km,27.5km,28.2km,27.5km/h
NED,Ron VLAAR,7,690,74.6km,25.2km,28.5km,33.0km/h
GER,Mesut OEZIL,7,655,73.2km,31.6km,23.6km,32.0km/h
ARG,Marcos ROJO,6,615,72.7km,27.9km,25.5km,31.8km/h
NED,Stefan DE VRIJ,7,677,71.5km,23.9km,27.6km,28.5km/h
BRA,Oscar,7,640,70.6km,26.0km,23.8km,27.8km/h
GER,Jerome BOATENG,7,646,70.2km,27.4km,24.3km,31.1km/h
NED,Wesley SNEIJDER,6,585,69.6km,27.3km,24.7km,30.2km/h
NED,Georginio Wijnaldum,7,550,64.9km,23.4km,23.3km,28.7km/h
ARG,Gonzalo HIGUAIN,7,571,63.6km,25.1km,19.2km,33.1km/h
GER,Bastian SCHWEINSTEIGER,6,505,63.2km,26.1km,20.4km,29.2km/h
BRA,DAVID LUIZ,7,660,63.2km,21.8km,21.5km,29.1km/h
BRA,LUIZ GUSTAVO,6,526,62.9km,22.4km,22.9km,31.4km/h
ARG,Lionel MESSI,7,693,62.7km,26.0km,18.8km,30.3km/h
NED,Robin VAN PERSIE,6,548,62.3km,24.9km,18.8km,30.2km/h
CRC,Celso BORGES,5,498,60.4km,17.4km,24.5km,28.5km/h
BRA,Marcelo,6,570,59.7km,21.3km,20.7km,30.5km/h
NED,Dirk KUYT,5,509,58.9km,20.7km,20.4km,29.9km/h
CRC,Bryan RUIZ,5,494,57.4km,16.8km,21.6km,29.6km/h
CRC,Junior Díaz,5,510,56.2km,15.4km,22.7km,33.8km/h
GER,Mats HUMMELS,6,509,55.7km,21.1km,20.1km,32.3km/h
BEL,Marouane FELLAINI,5,415,55.4km,18.9km,19.5km,30.3km/h
USA,Michael BRADLEY,4,390,54.7km,19.0km,21.2km,30.9km/h
