Country,Spielername,MatchesPlayed,MinutesPlayed,Goals,Assists,Penalties,LeftyGoals,RightyGoals,HeaderGoals
COL,James RODRIGUEZ,5,399,6,2,1,4,1,1
GER,Thomas MUELLER,7,682,5,3,1,1,4,0
BRA,Neymar,5,457,4,1,1,1,3,0
ARG,Lionel MESSI,7,693,4,1,0,4,0,0
NED,Robin VAN PERSIE,6,548,4,0,1,3,0,1
FRA,Karim Benzema,5,450,3,2,1,0,3,0
GER,Andre SCHUERRLE,6,244,3,1,0,2,1,0
NED,Arjen ROBBEN,7,690,3,1,0,3,0,0
ECU,Enner Valencia,3,270,3,0,0,1,0,2
SUI,Xherdan SHAQIRI,4,387,3,0,0,3,0,0
GER,Toni KROOS,7,690,2,4,0,1,1,0
ALG,Abdelmoumene DJABOU,3,170,2,1,0,2,0,0
NED,Memphis Depay,4,173,2,1,0,0,2,0
CRO,Ivan Perišic,3,258,2,1,0,2,0,0
CIV,Gervinho,3,263,2,1,0,0,1,1
GHA,Asamoah Gyan,3,270,2,1,0,0,1,1
ALG,Islam SLIMANI,4,324,2,1,0,1,0,1
CHI,Alexis SANCHEZ,4,390,2,1,0,0,2,0
BRA,Oscar,7,640,2,1,0,0,2,0
BRA,DAVID LUIZ,7,660,2,1,0,1,1,0
AUS,Tim CAHILL,2,159,2,0,0,1,0,1
CIV,Wilfried BONY,3,167,2,0,0,0,1,1
URU,Luis SUAREZ,2,178,2,0,0,0,1,1
CRO,Mario MANDZUKIC,2,180,2,0,0,0,1,1
COL,Jackson MARTINEZ,3,194,2,0,0,2,0,0
GER,Mario GOETZE,6,258,2,0,0,2,0,0
GHA,André Ayew,3,261,2,0,0,1,0,1
GER,Miroslav KLOSE,5,280,2,0,0,0,2,0
NGA,Ahmed MUSA,4,335,2,0,0,0,2,0
USA,Clint Dempsey,4,387,2,0,0,1,0,1
CRC,Bryan RUIZ,5,494,2,0,0,1,0,1
GER,Mats HUMMELS,6,509,2,0,0,0,0,2
COL,Juan CUADRADO,5,387,1,4,1,0,1,0
CHI,Eduardo VARGAS,4,311,1,2,0,0,1,0
ALG,Sofiane FEGHOULI,4,390,1,2,1,0,1,0
BEL,Kevin DE BRUYNE,4,390,1,2,0,0,1,0
NED,Daley Blind,7,670,1,2,0,0,1,0
NED,Klaas Jan HUNTELAAR,3,52,1,1,1,0,1,0
KOR,LEE Keunho,3,104,1,1,0,0,1,0
FRA,Olivier Giroud,5,165,1,1,0,0,0,1
ALG,Yacine BRAHIMI,3,190,1,1,0,0,1,0
ENG,Wayne Rooney,3,194,1,1,0,1,0,0
POR,Cristiano Ronaldo,3,270,1,1,0,1,0,0
JPN,Keisuke HONDA,3,270,1,1,0,1,0,0
BIH,Miralem PJANIC,3,270,1,1,0,0,1,0
MEX,Oribe PERALTA,4,302,1,1,0,1,0,0
COL,Teofilo GUTIERREZ,4,304,1,1,0,1,0,0
FRA,Mathieu Valbuena,4,335,1,1,0,0,1,0
FRA,Paul Pogba,5,354,1,1,0,0,0,1
URU,Edinson CAVANI,4,360,1,1,1,0,1,0
MEX,Rafael MARQUEZ,4,360,1,1,0,0,0,1
CHI,Charles ARANGUIZ,4,364,1,1,0,0,1,0
GER,Sami KHEDIRA,5,376,1,1,0,0,1,0
GRE,Georgios SAMARAS,4,390,1,1,1,0,1,0
CRC,Joel CAMPBELL,5,415,1,1,0,1,0,0
BRA,Thiago Silva,6,570,1,1,0,1,0,0
ARG,Gonzalo HIGUAIN,7,571,1,1,0,0,1,0
NED,Wesley SNEIJDER,6,585,1,1,0,0,1,0
GER,Mesut OEZIL,7,655,1,1,0,1,0,0
USA,Julian GREEN,1,13,1,0,0,0,1,0
NED,Leroy FER,1,15,1,0,0,0,0,1
ESP,Juan Mata,1,34,1,0,0,1,0,0
USA,John Brooks,1,44,1,0,0,0,0,1
POR,VARELA,2,50,1,0,0,0,0,1
SUI,Blerim DZEMAILI,3,54,1,0,0,0,1,0
ESP,David Villa,1,56,1,0,0,0,0,0
CHI,Jean Beausejour,2,66,1,0,0,1,0,0
MEX,Javier HERNANDEZ,4,75,1,0,0,0,0,1
BIH,Avdija VRSAJEVIC,1,90,1,0,0,0,1,0
COL,Juan Quintero,3,93,1,0,0,0,0,0
CHI,Jorge VALDIVIA,3,93,1,0,0,0,1,0
RUS,Aleksandr Kerzhakov,3,101,1,0,0,0,1,0
CRC,Marcos URENA,4,102,1,0,0,0,1,0
