Country,Spielername,MatchesPlayed,MinutesPlayed,PassesAttempted,PassesCompletedAbs,PassesCompletedPerc,CrossesAttempted,CrossesCompletedAbs,CrossesCompletedPerc,Corners,Throw_Ins,Throw_Ins_Completed
GER,Philipp LAHM,7,690,651,562,86%,13,6,46%,0,36,32
GER,Toni KROOS,7,690,633,537,85%,42,13,31%,30,3,2
ARG,Javier MASCHERANO,7,720,626,536,86%,3,0, - ,0,3,3
GER,Bastian SCHWEINSTEIGER,6,505,467,412,88%,7,2,29%,0,2,2
GER,Jerome BOATENG,7,646,461,379,82%,13,5,38%,0,16,9
NED,Daley Blind,7,670,428,351,82%,8,3,38%,0,45,26
NED,Stefan DE VRIJ,7,677,430,351,82%,2,0, - ,0,2,1
ARG,Ezequiel GARAY,7,720,388,338,87%,0,0, - ,0,0,0
GER,Per MERTESACKER,6,435,352,321,91%,0,0, - ,0,0,0
ARG,Fernando GAGO,6,373,359,316,88%,3,0, - ,1,8,8
GER,Mesut OEZIL,7,655,401,315,79%,14,2,14%,6,7,6
ARG,Pablo ZABALETA,7,720,396,310,78%,11,1,9%,0,85,62
GER,Benedikt HOEWEDES,7,690,383,302,79%,2,0, - ,0,67,45
BRA,DAVID LUIZ,7,660,391,300,77%,5,1,20%,0,0,0
NED,Ron VLAAR,7,690,357,297,83%,0,0, - ,0,2,1
BRA,Marcelo,6,570,379,291,77%,15,3,20%,0,47,34
CHI,Gary MEDEL,4,378,309,281,91%,1,1,100%,0,2,2
GER,Mats HUMMELS,6,509,345,281,81%,1,0, - ,0,1,1
NED,Bruno MARTINS INDI,6,458,309,276,89%,2,0, - ,0,7,6
BRA,LUIZ GUSTAVO,6,526,325,269,83%,4,1,25%,0,1,0
ARG,Marcos ROJO,6,615,366,264,72%,26,5,19%,0,51,41
BRA,Thiago Silva,6,570,302,254,84%,0,0, - ,0,0,0
ITA,Andrea PIRLO,3,270,276,249,90%,5,0, - ,5,0,0
NED,Dirk KUYT,5,509,346,247,71%,20,2,10%,0,34,26
USA,Michael BRADLEY,4,390,295,246,83%,6,2,33%,1,2,2
GER,Manuel NEUER,7,690,297,244,82%,0,0, - ,0,61,41
NED,Wesley SNEIJDER,6,585,335,242,72%,25,3,12%,9,5,4
ARG,Lionel MESSI,7,693,356,242,68%,31,9,29%,14,2,2
BRA,Dani ALVES,4,390,309,240,78%,13,2,15%,0,51,35
BEL,Daniel VAN BUYTEN,5,480,279,234,84%,1,0, - ,0,3,2
BEL,Axel WITSEL,4,390,250,224,90%,0,0, - ,0,3,3
GER,Thomas MUELLER,7,682,319,221,69%,24,5,21%,1,10,10
BRA,Oscar,7,640,327,221,68%,25,5,20%,7,6,5
FRA,Blaise Matuidi,5,427,261,217,83%,9,0, - ,0,1,0
CHI,Gonzalo JARA,4,390,264,217,82%,3,1,33%,0,6,6
NED,Georginio Wijnaldum,7,550,255,213,84%,1,1,100%,0,3,2
BIH,Muhamed BESIC,3,270,245,212,87%,0,0, - ,0,0,0
SUI,Gokhan INLER,4,390,258,207,80%,6,2,33%,2,0,0
ARG,Federico FERNANDEZ,4,390,235,205,87%,0,0, - ,0,1,1
ARG,Angel DI MARIA,5,423,312,205,66%,49,11,22%,17,12,10
GER,Sami KHEDIRA,5,376,232,203,88%,4,2,50%,0,2,1
CHI,Mauricio ISLA,4,390,264,203,77%,6,1,17%,0,56,40
ITA,Daniele DE ROSSI,2,180,215,202,94%,0,0, - ,0,0,0
CHI,Marcelo DIAZ,4,390,240,202,84%,12,3,25%,5,0,0
NGA,John Obi MIKEL,4,360,263,202,77%,3,1,33%,1,1,1
NED,Arjen ROBBEN,7,690,288,201,70%,38,15,39%,21,16,12
FRA,Paul Pogba,5,354,246,197,80%,6,1,17%,0,1,0
ESP,Andrés INIESTA,3,270,239,195,82%,5,2,40%,2,1,1
BEL,Jan VERTONGHEN,5,449,273,195,71%,18,3,17%,0,43,28
FRA,Yohan Cabaye,4,318,225,194,86%,3,2,67%,0,1,0
ESP,Jordi ALBA,3,270,238,194,82%,7,1,14%,0,34,19
BEL,Vincent KOMPANY,4,390,226,193,85%,0,0, - ,0,1,1
NGA,Ogenyi ONAZI,4,329,239,193,81%,5,2,40%,0,1,0
POR,JOAO MOUTINHO,3,270,223,190,85%,8,1,13%,7,1,0
BIH,Miralem PJANIC,3,270,227,190,84%,17,10,59%,13,3,3
ITA,Andrea BARZAGLI,3,270,211,189,90%,0,0, - ,0,1,1
ITA,Giorgio CHIELLINI,3,270,206,187,91%,1,0, - ,0,9,4
BEL,Toby ALDERWEIRELD,4,390,262,184,70%,16,3,19%,0,56,38
FRA,Mamadou SAKHO,4,289,203,182,90%,0,0, - ,0,1,0
USA,DaMarcus BEASLEY,4,390,232,179,77%,10,2,20%,0,39,20
MEX,Rafael MARQUEZ,4,360,225,177,79%,1,1,100%,0,1,0
NGA,Efe AMBROSE,4,360,230,177,77%,14,2,14%,0,36,22
URU,Martin CACERES,4,360,229,176,77%,10,2,20%,0,36,12
KOR,KI Sungyueng,3,270,220,175,80%,17,4,24%,10,4,2
ESP,Sergio RAMOS,3,270,207,174,84%,0,0, - ,0,0,0
FRA,Raphaël VARANE,5,389,198,172,87%,2,0, - ,0,2,2
FRA,Mathieu Debuchy,4,360,223,167,75%,16,1,6%,0,52,36
NED,Jasper CILLESSEN,7,690,239,167,70%,0,0, - ,0,66,32
FRA,Mathieu Valbuena,4,335,235,166,71%,40,13,33%,26,3,2
BIH,Emir SPAHIC,3,270,190,164,86%,1,0, - ,0,3,3
BEL,Kevin DE BRUYNE,4,390,233,164,70%,29,7,24%,17,13,10
RUS,Vasily Berezutski,3,270,198,163,82%,1,0, - ,0,0,0
MEX,Héctor Herrera,4,346,225,163,72%,12,4,33%,7,3,0
MEX,Francisco RODRIGUEZ,4,360,207,162,78%,0,0, - ,0,22,12
CRC,Celso BORGES,5,498,200,161,81%,1,0, - ,1,1,0
SUI,Stephan LICHTSTEINER,4,390,212,161,76%,5,1,20%,0,36,22
COL,James RODRIGUEZ,5,399,232,160,69%,24,10,42%,13,4,4
SUI,Ricardo RODRIGUEZ,4,390,209,159,76%,16,4,25%,5,26,13
CRC,Bryan RUIZ,5,494,202,158,78%,6,1,17%,3,1,1
USA,Matt BESLER,4,346,186,156,84%,1,1,100%,0,3,2
NED,Daryl JANMAAT,5,364,207,156,75%,9,2,22%,0,35,26
CIV,Ismael TIOTE,3,241,184,155,84%,3,1,33%,0,0,0
SUI,Xherdan SHAQIRI,4,387,207,155,75%,15,4,27%,9,2,1
CHI,Eugenio MENA,4,390,219,155,71%,19,2,11%,0,39,26
CRC,Junior Díaz,5,510,239,155,65%,8,2,25%,0,57,30
SUI,Johan DJOUROU,4,390,174,154,89%,1,0, - ,0,0,0
ARG,Lucas BIGLIA,7,349,186,153,82%,0,0, - ,0,2,2
CRC,Yeltsin TEJEDA,5,395,193,151,78%,1,0, - ,0,0,0
RUS,Sergey IGNASHEVICH,3,270,198,151,76%,0,0, - ,0,0,0
GHA,Kwadwo ASAMOAH,3,270,189,150,79%,9,5,56%,3,27,15
