Country,Spielername,MatchesPlayed_player,MinutesPlayed_player,DistanceCovered,DistanceCoveredInPossession,DistanceCoveredNotInPossession,TopSpeed,Yellow_player,YellowRed_player,Red_player,FoulsCommitted_player,FoulsSuffered_player,FoulsCausingPenalty_player,Goals,Assists_player,Penalties_player,LeftyGoals,RightyGoals,HeaderGoals,Attempts_player,AttemptsOnTarget_player,AttemptsInArea,AttemptsOutsideArea,AttemptsInArea_ON,AttemptsOutsideArea_ON,Offsides_player,SolosIntoArea_player,LostBalls,DeliveriesInPenaltyArea,Tackles_player,TacklesSuffered_player,PassesAttempted_player,PassesCompletedAbs_player,PassesCompletedPerc_player,CrossesAttempted_player,CrossesCompletedAbs_player,CrossesCompletedPerc_player,Corners_player,Throw_Ins,Throw_Ins_Completed,TacklesWon_player,AttemptedClearances_player,ClearanceRate,Saves_player,Blocks,RecoveredBalls,AttemptsOffTarget_player,Woodwork_player,Teamname,MinutesPlayed_team,Extratime,RealMin,MatchesPlayed_team,Attempts_team,AttemptsOnTarget_team,AttemptsOffTarget_team,Woodwork_team,AttemptsOnTargetInsideArea,AttemptsOnTargetOutsideArea,PassesAttempted_team,PassesCompletedAbs_team,PassesCompletedPerc_team,CrossesAttempted_team,CrossesCompletedAbs_team,CrossesCompletedPerc_team,Corners_team,ThrowIns,GoalsFor,GoalsScored,GoalsAgainst,Penalties_team,OwnGoalsFor,OpenPlayGoals,SetPieceGoals,Yellow_team,YellowRed_team,Red_team,FoulsCommitted_team,FoulsSuffered_team,FoulsCausingPenalty_team,AttemptedClearances_team,ClearancesCompletionPerc,ClearancesCompletionAbs,Tackles_team,TacklesWon_team,TacklesSuffered_team,Saves_team,Confederation,Continent,Attacks,AttacksFromLeft,AttacksFromCentre,AttacksFromRight,Offsides_team,Assists_team,SolosIntoArea_team
GER,Thomas MUELLER,7.0,682.0,84.0km,34.5km,26.4km,30.5km/h,0.0,0.0,0.0,14.0,17.0,0.0,5.0,3.0,1.0,1.0,4.0,0.0,16.0,10.0,12.0,4.0,7.0,3.0,8.0,9.0,72.0,12.0,8.0,23.0,319.0,221.0,69%,24.0,5.0,21%,1.0,10.0,10.0,2.0,3.0,100%,0.0,1.0,11.0,6.0,0.0,Germany,630,2,690,7,98,71,27,1,47,24,5084,4157,82%,148,40,27%,37,221,18,18,4,1,0,15,3,6,0,0,91,100,0,104,85%,88,110,91,125,24,UEFA,Europe,314,106,63,145,17,13,28
GER,Toni KROOS,7.0,690.0,82.6km,34.3km,28.0km,29.8km/h,0.0,0.0,0.0,7.0,15.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,16.0,11.0,2.0,14.0,2.0,9.0,0.0,1.0,58.0,15.0,5.0,15.0,633.0,537.0,85%,42.0,13.0,31%,30.0,3.0,2.0,1.0,2.0,50%,0.0,0.0,20.0,5.0,0.0,Germany,630,2,690,7,98,71,27,1,47,24,5084,4157,82%,148,40,27%,37,221,18,18,4,1,0,15,3,6,0,0,91,100,0,104,85%,88,110,91,125,24,UEFA,Europe,314,106,63,145,17,13,28
GER,Philipp LAHM,7.0,690.0,81.0km,34.6km,27.2km,28.7km/h,1.0,0.0,0.0,3.0,9.0,0.0,,,,,,,3.0,3.0,2.0,1.0,2.0,1.0,,,,,,,651.0,562.0,86%,13.0,6.0,46%,0.0,36.0,32.0,4.0,7.0,86%,0.0,5.0,39.0,0.0,0.0,Germany,630,2,690,7,98,71,27,1,47,24,5084,4157,82%,148,40,27%,37,221,18,18,4,1,0,15,3,6,0,0,91,100,0,104,85%,88,110,91,125,24,UEFA,Europe,314,106,63,145,17,13,28
GER,Benedikt HOEWEDES,7.0,690.0,80.4km,32.1km,27.2km,30.5km/h,2.0,0.0,0.0,10.0,6.0,0.0,,,,,,,4.0,3.0,3.0,1.0,2.0,1.0,,,,,,,383.0,302.0,79%,2.0,0.0, - ,0.0,67.0,45.0,5.0,16.0,88%,0.0,3.0,44.0,1.0,1.0,Germany,630,2,690,7,98,71,27,1,47,24,5084,4157,82%,148,40,27%,37,221,18,18,4,1,0,15,3,6,0,0,91,100,0,104,85%,88,110,91,125,24,UEFA,Europe,314,106,63,145,17,13,28
GER,Mesut OEZIL,7.0,655.0,73.2km,31.6km,23.6km,32.0km/h,0.0,0.0,0.0,4.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,10.0,7.0,8.0,2.0,6.0,1.0,3.0,8.0,66.0,14.0,3.0,19.0,401.0,315.0,79%,14.0,2.0,14%,6.0,7.0,6.0,2.0,0.0, - ,0.0,0.0,7.0,3.0,0.0,Germany,630,2,690,7,98,71,27,1,47,24,5084,4157,82%,148,40,27%,37,221,18,18,4,1,0,15,3,6,0,0,91,100,0,104,85%,88,110,91,125,24,UEFA,Europe,314,106,63,145,17,13,28
GER,Jerome BOATENG,7.0,646.0,70.2km,27.4km,24.3km,31.1km/h,0.0,0.0,0.0,4.0,3.0,0.0,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,,,,,,,461.0,379.0,82%,13.0,5.0,38%,0.0,16.0,9.0,3.0,18.0,95%,0.0,3.0,51.0,0.0,0.0,Germany,630,2,690,7,98,71,27,1,47,24,5084,4157,82%,148,40,27%,37,221,18,18,4,1,0,15,3,6,0,0,91,100,0,104,85%,88,110,91,125,24,UEFA,Europe,314,106,63,145,17,13,28
GER,Bastian SCHWEINSTEIGER,6.0,505.0,63.2km,26.1km,20.4km,29.2km/h,2.0,0.0,0.0,12.0,16.0,0.0,,,,,,,6.0,3.0,3.0,3.0,1.0,2.0,,,,,,,467.0,412.0,88%,7.0,2.0,29%,0.0,2.0,2.0,2.0,9.0,100%,0.0,2.0,31.0,3.0,0.0,Germany,630,2,690,7,98,71,27,1,47,24,5084,4157,82%,148,40,27%,37,221,18,18,4,1,0,15,3,6,0,0,91,100,0,104,85%,88,110,91,125,24,UEFA,Europe,314,106,63,145,17,13,28
GER,Mats HUMMELS,6.0,509.0,55.7km,21.1km,20.1km,32.3km/h,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,36.0,0.0,14.0,0.0,345.0,281.0,81%,1.0,0.0, - ,0.0,1.0,1.0,5.0,10.0,80%,0.0,5.0,47.0,0.0,0.0,Germany,630,2,690,7,98,71,27,1,47,24,5084,4157,82%,148,40,27%,37,221,18,18,4,1,0,15,3,6,0,0,91,100,0,104,85%,88,110,91,125,24,UEFA,Europe,314,106,63,145,17,13,28
GER,Sami KHEDIRA,5.0,376.0,47.4km,18.6km,17.2km,29.8km/h,1.0,0.0,0.0,6.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,24.0,5.0,2.0,3.0,232.0,203.0,88%,4.0,2.0,50%,0.0,2.0,1.0,0.0,8.0,63%,0.0,0.0,12.0,1.0,0.0,Germany,630,2,690,7,98,71,27,1,47,24,5084,4157,82%,148,40,27%,37,221,18,18,4,1,0,15,3,6,0,0,91,100,0,104,85%,88,110,91,125,24,UEFA,Europe,314,106,63,145,17,13,28
GER,Per MERTESACKER,6.0,435.0,44.6km,17.0km,14.7km,28.1km/h,0.0,0.0,0.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,352.0,321.0,91%,0.0,0.0, - ,0.0,0.0,0.0,1.0,18.0,84%,0.0,1.0,35.0,,,Germany,630,2,690,7,98,71,27,1,47,24,5084,4157,82%,148,40,27%,37,221,18,18,4,1,0,15,3,6,0,0,91,100,0,104,85%,88,110,91,125,24,UEFA,Europe,314,106,63,145,17,13,28
