Country,Teamname,MatchesPlayed,Attacks,AttacksFromLeft,AttacksFromCentre,AttacksFromRight,Offsides,Assists,SolosIntoArea
ARG,Argentina,7,341,121,63,157,8,3,32
BRA,Brazil,7,319,128,59,132,15,7,26
GER,Germany,7,314,106,63,145,17,13,28
NED,Netherlands,7,270,97,47,126,27,9,31
BEL,Belgium,5,266,104,50,112,22,4,24
FRA,France,5,223,87,34,102,10,5,13
GRE,Greece,4,167,68,36,63,17,1,13
NGA,Nigeria,4,157,40,32,85,6,3,17
COL,Colombia,5,156,46,39,71,10,10,11
CHI,Chile,4,150,61,22,67,8,4,15
SUI,Switzerland,4,148,55,30,63,5,6,8
GHA,Ghana,3,142,38,19,85,14,4,7
JPN,Japan,3,141,61,34,46,2,2,6
ENG,England,3,138,48,16,74,2,2,10
URU,Uruguay,4,138,48,29,61,11,2,5
MEX,Mexico,4,136,46,17,73,7,3,6
RUS,Russia,3,134,49,16,69,3,2,4
CIV,Côte d'Ivoire,3,133,35,28,70,6,3,18
BIH,Bosnia and Herzegovina,3,132,44,33,55,6,4,6
ESP,Spain,3,131,54,24,53,12,3,11
USA,USA,4,131,38,16,77,4,3,8
CRC,Costa Rica,5,130,38,31,61,11,5,9
POR,Portugal,3,129,41,33,55,5,1,6
KOR,Korea Republic,3,128,34,33,61,2,2,5
CRO,Croatia,3,123,45,18,60,5,3,15
ECU,Ecuador,3,103,37,15,51,6,3,10
ALG,Algeria,4,103,55,14,34,7,6,9
CMR,Cameroon,3,100,35,15,50,4,1,6
ITA,Italy,3,100,40,22,38,21,2,3
AUS,Australia,3,90,36,16,38,3,2,7
HON,Honduras,3,86,37,21,28,3,1,6
IRN,Iran,3,74,28,9,37,10,1,2
