Country,Teamname,MatchesPlayed,PassesAttempted,PassesCompletedAbs,PassesCompletedPerc,CrossesAttempted,CrossesCompletedAbs,CrossesCompletedPerc,Corners,ThrowIns
GER,Germany,7,5084,4157,82%,148,40,27%,37,221
ARG,Argentina,7,4318,3344,77%,174,33,19%,47,260
NED,Netherlands,7,3862,3000,78%,121,28,23%,31,228
BRA,Brazil,7,3615,2731,76%,155,36,23%,42,203
FRA,France,5,2759,2183,79%,138,43,31%,35,150
BEL,Belgium,5,2669,1992,75%,125,26,21%,39,196
CHI,Chile,4,2395,1850,77%,74,17,23%,16,158
CRC,Costa Rica,5,2240,1590,71%,62,12,19%,18,169
USA,USA,4,2186,1676,77%,64,13,20%,15,150
ESP,Spain,3,2071,1703,82%,45,13,29%,17,93
COL,Colombia,5,2068,1477,71%,65,19,29%,20,159
SUI,Switzerland,4,2031,1554,77%,59,14,24%,19,125
NGA,Nigeria,4,1880,1386,74%,87,14,16%,24,119
MEX,Mexico,4,1860,1393,75%,60,14,23%,16,118
ITA,Italy,3,1859,1580,85%,36,6,17%,9,77
BIH,Bosnia and Herzegovina,3,1766,1412,80%,72,19,26%,16,77
ALG,Algeria,4,1763,1194,68%,67,13,19%,14,146
GRE,Greece,4,1719,1288,75%,118,19,16%,26,101
URU,Uruguay,4,1716,1224,71%,76,16,21%,20,143
ENG,England,3,1644,1286,78%,70,15,21%,22,87
POR,Portugal,3,1641,1297,79%,68,13,19%,17,90
JPN,Japan,3,1633,1274,78%,58,13,22%,19,90
RUS,Russia,3,1600,1177,74%,74,15,20%,16,100
KOR,Korea Republic,3,1544,1152,75%,54,17,31%,18,94
CIV,Côte d'Ivoire,3,1532,1215,79%,62,12,19%,20,91
GHA,Ghana,3,1465,1065,73%,60,21,35%,14,122
AUS,Australia,3,1459,1103,76%,47,11,23%,6,101
CRO,Croatia,3,1382,1021,74%,68,19,28%,17,110
HON,Honduras,3,1375,1046,76%,44,10,23%,12,81
CMR,Cameroon,3,1208,878,73%,49,15,31%,15,90
ECU,Ecuador,3,1181,799,68%,46,7,15%,18,111
IRN,Iran,3,950,604,64%,60,17,28%,13,104
