Country,Teamname,MinutesPlayed,Extratime,RealMin,MatchesPlayed,Attempts,AttemptsOnTarget,AttemptsOffTarget,Woodwork,AttemptsOnTargetInsideArea,AttemptsOnTargetOutsideArea,PassesAttempted,PassesCompletedAbs,PassesCompletedPerc,CrossesAttempted,CrossesCompletedAbs,CrossesCompletedPerc,Corners,ThrowIns,GoalsFor,GoalsScored,GoalsAgainst,Penalties,OwnGoalsFor,OpenPlayGoals,SetPieceGoals,Yellow,YellowRed,Red,FoulsCommitted,FoulsSuffered,FoulsCausingPenalty,AttemptedClearances,ClearancesCompletionPerc,ClearancesCompletionAbs,Tackles,TacklesWon,TacklesSuffered,Saves,Confederation,Continent,Attacks,AttacksFromLeft,AttacksFromCentre,AttacksFromRight,Offsides,Assists,SolosIntoArea
BRA,Brazil,630,1,660,7,111,72,39,0,37,35,3615,2731,76%,155,36,23%,42,203,11,11,14,1,0,8,3,14,0,0,123,129,2,93,79%,73,141,95,134,10,CONMEBOL,America,319,128,59,132,15,7,26
ARG,Argentina,630,2,690,7,105,63,42,2,35,28,4318,3344,77%,174,33,19%,47,260,8,7,4,0,1,7,1,8,0,0,80,116,0,98,87%,85,118,75,107,19,CONMEBOL,America,341,121,63,157,8,3,32
GER,Germany,630,2,690,7,98,71,27,1,47,24,5084,4157,82%,148,40,27%,37,221,18,18,4,1,0,15,3,6,0,0,91,100,0,104,85%,88,110,91,125,24,UEFA,Europe,314,106,63,145,17,13,28
NED,Netherlands,630,2,690,7,90,64,26,4,37,27,3862,3000,78%,121,28,23%,31,228,15,15,4,2,0,13,2,11,0,0,126,82,2,93,88%,81,92,72,96,18,UEFA,Europe,270,97,47,126,27,9,31
BEL,Belgium,450,1,480,5,91,58,33,2,29,29,2669,1992,75%,125,26,21%,39,196,6,6,3,0,0,6,0,7,0,1,86,60,1,59,95%,56,61,43,55,13,UEFA,Europe,266,104,50,112,22,4,24
FRA,France,450,0,450,5,90,57,33,5,43,14,2759,2183,79%,138,43,31%,35,150,10,8,3,1,2,8,2,5,0,0,62,67,0,50,82%,41,65,43,67,10,UEFA,Europe,223,87,34,102,10,5,13
COL,Colombia,450,0,450,5,57,38,19,0,19,19,2068,1477,71%,65,19,29%,20,159,12,12,4,2,0,9,3,5,0,0,91,84,0,56,84%,47,85,55,72,22,CONMEBOL,America,156,46,39,71,10,10,11
CRC,Costa Rica,450,2,510,5,38,18,20,0,10,8,2240,1590,71%,62,12,19%,18,169,5,5,2,0,0,4,1,10,1,0,94,75,1,81,77%,62,104,39,63,21,CONCACAF,America,130,38,31,61,11,5,9
SUI,Switzerland,360,1,390,4,65,40,25,1,15,25,2031,1554,77%,59,14,24%,19,125,7,7,7,0,0,5,2,3,0,0,67,65,1,82,74%,60,77,65,97,22,UEFA,Europe,148,55,30,63,5,6,8
GRE,Greece,360,1,390,4,58,30,28,4,15,15,1719,1288,75%,118,19,16%,26,101,3,3,5,1,0,2,1,6,1,0,61,82,0,54,78%,42,84,66,98,11,UEFA,Europe,167,68,36,63,17,1,13
NGA,Nigeria,360,0,360,4,50,32,18,0,11,21,1880,1386,74%,87,14,16%,24,119,3,3,5,0,0,3,0,3,0,0,57,43,0,74,90%,66,83,55,89,21,CAF,Africa,157,40,32,85,6,3,17
URU,Uruguay,360,0,360,4,49,29,20,0,11,18,1716,1224,71%,76,16,21%,20,143,4,4,6,1,0,2,2,8,0,1,74,63,0,58,82%,47,84,28,36,10,CONMEBOL,America,138,48,29,61,11,2,5
MEX,Mexico,360,0,360,4,46,22,24,1,11,11,1860,1393,75%,60,14,23%,16,118,5,5,3,0,0,4,1,8,0,0,53,50,1,68,77%,52,68,46,65,10,CONCACAF,America,136,46,17,73,7,3,6
USA,USA,360,1,390,4,41,27,14,0,14,13,2186,1676,77%,64,13,20%,15,150,5,5,6,0,0,4,1,4,0,0,49,56,0,69,77%,53,82,48,73,27,CONCACAF,America,131,38,16,77,4,3,8
CHI,Chile,360,1,390,4,38,19,19,1,14,5,2395,1850,77%,74,17,23%,16,158,6,6,4,0,0,6,0,7,0,0,61,80,0,74,83%,61,83,60,89,18,CONMEBOL,America,150,61,22,67,8,4,15
ALG,Algeria,360,1,390,4,37,22,15,0,15,7,1763,1194,68%,67,13,19%,14,146,7,7,7,1,0,4,3,6,0,0,69,55,0,82,85%,69,97,51,70,23,CAF,Africa,103,55,14,34,7,6,9
GHA,Ghana,270,0,270,3,59,24,35,0,14,10,1465,1065,73%,60,21,35%,14,122,4,4,6,0,0,4,0,6,0,0,43,43,0,28,86%,24,31,25,30,12,CAF,Africa,142,38,19,85,14,4,7
POR,Portugal,270,0,270,3,53,28,25,2,12,16,1641,1297,79%,68,13,19%,17,90,4,3,7,0,1,4,0,2,0,1,46,35,1,21,67%,14,35,22,35,7,UEFA,Europe,129,41,33,55,5,1,6
BIH,Bosnia and Herzegovina,270,0,270,3,47,30,17,0,16,14,1766,1412,80%,72,19,26%,16,77,4,4,4,0,0,4,0,3,0,0,41,34,0,39,72%,28,60,52,75,13,UEFA,Europe,132,44,33,55,6,4,6
CIV,Côte d'Ivoire,270,0,270,3,47,30,17,0,15,17,1532,1215,79%,62,12,19%,20,91,4,4,5,0,0,4,0,7,0,0,49,36,1,51,85%,43,60,42,60,8,CAF,Africa,133,35,28,70,6,3,18
