id_name,id_alt
abdul majeed waris,abdul majeed waris
alex song,alexandre song
alexandre song,alexandre song
alireza jahan bakhsh,alireza jahan bakhsh
alireza jahanbakhsh,alireza jahan bakhsh
andranik teymourian,andranik timotian
andranik timotian,andranik timotian
bo kyung kim,kim bokyung
boubacar barry,boubacar barry
boubacar copa,boubacar barry
chicharito,javier hernandez
christian bolanos,christian bolanos
christian bolaños,christian bolanos
christian stuani,christian stuani
chung yong lee,lee chungyong
cristhian stuani,christian stuani
didier konan,didier konan
didier ya konan,didier konan
dmitri kombarov,dmitry kombarov
dmitry kombarov,dmitry kombarov
dong won ji,ji dongwon
egidio arevalo,egidio arevalo
egidio arevalo rios,egidio arevalo
ehsan haji safi,ehsan haji safi
ehsan hajsafi,ehsan haji safi
el arabi soudani,el arabi soudani
el arbi hillel soudani,el arabi soudani
emmanuel agyemang badu,emmanuel agyemang badu
emmanuel badu,emmanuel agyemang badu
eric maxim choupo moting,eric maxim choupo-moting
eric maxim choupo-moting,eric maxim choupo-moting
essaid belkalem,esseid belkalem
esseid belkalem,esseid belkalem
fatau dauda,fatawu dauda
fatawu dauda,fatawu dauda
francisco rodriguez,francisco rodriguez
geoffroy serey die,serey die
giannis fetfatzidis,ioannis fetfazidis
giannis maniatis,ioannis maniatis
guk yeong han,han kook-young
han kook-young,han kook-young
heung min son,son heungmin
hong jeongho,hong jeongho
hwang seokho,hwang seokho
ioannis fetfazidis,ioannis fetfazidis
ioannis maniatis,ioannis maniatis
ivan perisic,ivan perišic
ivan perišic,ivan perišic
ja cheol koo,koo jacheol
jalal hosseini,jalal hosseini
javier hernandez,javier hernandez
jean ii makoun,jean makoun
jean makoun,jean makoun
jeong ho hong,hong jeongho
jhonny acosta,johnny acosta
ji dongwon,ji dongwon
john anthony brooks,john brooks
john brooks,john brooks
john mikel obi,john obi mikel
john obi mikel,john obi mikel
johnny acosta,johnny acosta
jose cholevas,jose cholevas
jose cubero,jose cubero
jose gimenez,jose maria gimenez
jose holebas,jose cholevas
jose juan vazquez,jose vazquez
jose maria gimenez,jose maria gimenez
jose miguel cubero,jose cubero
jose vazquez,jose vazquez
ju yeong park,park chuyoung
juan carlos paredes,juan paredes
juan paredes,juan paredes
jung sungryong,jung sungryong
karim ansari fard,karim ansari fard
karim ansarifard,karim ansari fard
keun ho lee,lee keunho
kevin prince boateng,kevin-prince boateng
kevin-prince boateng,kevin-prince boateng
ki sungyueng,ki sungyueng
kim bokyung,kim bokyung
kim seunggyu,kim seunggyu
kim shinwook,kim shinwook
kim younggwon,kim younggwon
koo jacheol,koo jacheol
lee chungyong,lee chungyong
lee keunho,lee keunho
lee yong,lee yong
majeed waris,abdul majeed waris
marcos urena,marcos urena
marcos ureña,marcos urena
maxi pereira,maximiliano pereira
maximiliano pereira,maximiliano pereira
maza,francisco rodriguez
medhi lacen,medhi lacen
mehdi lacen,medhi lacen
michael babatunde,michael babatunde
michael uchebo,okechukwu uchebo
michael umana,michael umana
michael umaña,michael umana
michel babatunde,michael babatunde
mohammed rabiu,mohammed rabiu
mousa dembele,moussa dembele
moussa dembele,moussa dembele
okechukwu uchebo,okechukwu uchebo
park chuyoung,park chuyoung
rabiu mohammed,mohammed rabiu
rais m'bolhi,rais mbolhi
rais mbolhi,rais mbolhi
reuben gabriel,ruben gabriel
ruben gabriel,ruben gabriel
samuel eto'o,samuel etoo
samuel etoo,samuel etoo
seok ho hwang,hwang seokho
serey die,serey die
seung gyu kim,kim seunggyu
seyed jalal hosseini,jalal hosseini
shin uk kim,kim shinwook
silvestre varela,varela
sime vrsaljko,šime vrsaljko
šime vrsaljko,šime vrsaljko
sokratis,sokratis papastathopoulos
sokratis papastathopoulos,sokratis papastathopoulos
sol bamba,souleymane bamba
son heungmin,son heungmin
souleymane bamba,souleymane bamba
stephane m'bia,stephane m'bia
stephane mbia,stephane m'bia
suk young yun,yun sukyoung
sung ryong jung,jung sungryong
sung yong ki,ki sungyueng
varela,varela
vasileios torosidis,vasileios torosidis
vasili berezutski,vasily berezutski
vasilios torosidis,vasileios torosidis
vasily berezutski,vasily berezutski
victor fayzulin,victor fayzulin
viktor faizulin,victor fayzulin
william,william
william carvalho,william
xavi,xavi hernandez
xavi hernandez,xavi hernandez
yong lee,lee yong
young gwon kim,kim younggwon
yun sukyoung,yun sukyoung
goekhan inler,gokhan inler
gokhan inler,gokhan inler
jose maria basanta,jose basanta
jose basanta,jose basanta
juan zuniga,juan zuniga
camilo zuñiga,juan zuniga
ismael tiote,ismael tiote
cheik tiote,ismael tiote
madjid bouguerra,madjid bouguerra
madjid bougherra,madjid bouguerra
han kook young,han kook young
guk yeong han,han kook young
