Spielername_fifa,Spielername_transfermarkt,id_name,id_alt
Xavi HERNANDEZ,,xavi hernandez,xavi hernandez
,Xavi,xavi,xavi hernandez
Victor FAYZULIN,,victor fayzulin,victor fayzulin
,Viktor Faizulin,viktor faizulin,victor fayzulin
Vasily Berezutski,,vasily berezutski,vasily berezutski
,Vasili Berezutski,vasili berezutski,vasily berezutski
Stéphane M'Bia,,stephane m'bia,stephane m'bia
,Stéphane Mbia,stephane mbia,stephane m'bia
Sokratis PAPASTATHOPOULOS,,sokratis papastathopoulos,sokratis papastathopoulos
,Sokratis,sokratis,sokratis papastathopoulos
Šime VRSALJKO,,šime vrsaljko,šime vrsaljko
,Sime Vrsaljko,sime vrsaljko,šime vrsaljko
Samuel ETOO,,samuel etoo,samuel etoo
,Samuel Eto'o,samuel eto'o,samuel etoo
Rais MBOLHI,,rais mbolhi,rais mbolhi
,Raïs M'Bolhi,rais m'bolhi,rais mbolhi
Moussa DEMBELE,,moussa dembele,moussa dembele
,Mousa Dembélé,mousa dembele,moussa dembele
Michael UMANA,,michael umana,michael umana
,Michael Umaña,michael umaña,michael umana
Medhi LACEN,,medhi lacen,medhi lacen
,Mehdi Lacen,mehdi lacen,medhi lacen
,Marcos Ureña,marcos ureña,marcos ureña
Marcos URENA,,marcos urena,marcos urena
Kevin-Prince BOATENG,,kevin-prince boateng,kevin-prince boateng
,Kevin-Prince Boateng,kevin prince boateng,kevin-prince boateng
Karim ANSARI FARD,,karim ansari fard,karim ansari fard
,Karim Ansarifard,karim ansarifard,karim ansari fard
Johnny ACOSTA,,johnny acosta,johnny acosta
,Jhonny Acosta,jhonny acosta,johnny acosta
John Obi MIKEL,,john obi mikel,john obi mikel
,John Mikel Obi,john mikel obi,john obi mikel
John Brooks,,john brooks,john brooks
,John Anthony Brooks,john anthony brooks,john brooks
Jean MAKOUN,,jean makoun,jean makoun
,Jean II Makoun,jean ii makoun,jean makoun
Ivan Perišic,,ivan perišic,ivan perišic
,Ivan Perisic,ivan perisic,ivan perišic
Fatawu DAUDA,,fatawu dauda,fatawu dauda
,Fatau Dauda,fatau dauda,fatawu dauda
Esseid BELKALEM,,esseid belkalem,esseid belkalem
,Essaïd Belkalem,essaid belkalem,esseid belkalem
Eric Maxim Choupo-Moting,,eric maxim choupo-moting,eric maxim choupo-moting
,Eric Maxim Choupo-Moting,eric maxim choupo moting,eric maxim choupo-moting
Emmanuel Agyemang Badu,,emmanuel agyemang badu,emmanuel agyemang badu
,Emmanuel Badu,emmanuel badu,emmanuel agyemang badu
El Arabi SOUDANI,,el arabi soudani,el arabi soudani
,El Arbi Hillel Soudani,el arbi hillel soudani,el arabi soudani
Ehsan HAJI SAFI,,ehsan haji safi,ehsan haji safi
,Ehsan Hajsafi,ehsan hajsafi,ehsan haji safi
Egidio AREVALO,,egidio arevalo,egidio arevalo
,Egidio Arévalo Ríos,egidio arevalo rios,egidio arevalo
Dmitry Kombarov,,dmitry kombarov,dmitry kombarov
,Dmitri Kombarov,dmitri kombarov,dmitry kombarov
Didier Konan,,didier konan,didier konan
,Didier Ya Konan,didier ya konan,didier konan
Christian BOLANOS,,christian bolanos,christian bolanos
,Christian Bolaños,christian bolaños,christian bolanos
Boubacar BARRY,,boubacar barry,boubacar barry
,Boubacar Copa,boubacar copa,boubacar barry
Andranik TIMOTIAN,,andranik timotian,andranik timotian
,Andranik Teymourian,andranik teymourian,andranik timotian
Alireza JAHAN BAKHSH,,alireza jahan bakhsh,alireza jahan bakhsh
,Alireza Jahanbakhsh,alireza jahanbakhsh,alireza jahan bakhsh
Alexandre SONG,,alexandre song,alexandre song
,Alex Song,alex song,alexandre song
Abdul MAJEED WARIS,,abdul majeed waris,abdul majeed waris
Adrián Ramos,,adrian ramos,
Bacary SAGNA,,bacary sagna,
Christian Stuani,,christian stuani,christian stuani
Dani ALVES,,dani alves,
