Fifaname,Tfname
ABDULLAH ALMUAI...,Abdullah Al-Muaiouf
ABDULLAH OTAYF,Abdullah Ateef
AGUERO,Sergio Agüero
ALEXANDER-ARNOLD,Trent Alexander-Arnold
ALI ALBULAYHI,Ali Al-Boleahi
AVILA,X
BEN ALOUANE,Yohan Benalouane
BODVARSSON,Jón Dadi Bödvarsson
CALETA-CAR,Duje Caleta–Car
CARCELA,Mehdi Carcela-González
CEDRIC,Cédric Soares
CHAALELI,Ghaylène Chaalali
EKONG,William Troost-Ekong
EL KAJOUI,Munir
EN NESYRI,Youssef En-Nesyri
ESSAM ELHADARY,Essam El Hadary
FAHAD ALMUWALL...,Fahad Al-Muwallad
FAHAD ALMUWALLAD,Fahad Al-Muwallad
G.SAKAI,Gotoku Sakai
GAZINSKY,Yuri Gazinskiy
GO,Yo-han Ko
H.SAKAI,Hiroki Sakai
HAJI SAFI,Ehsan Hajsafi
HATAN BAHBRI,Hattan Bahbir
HUSSAIN ALMOQA...,Hussein Al Moghawi
HUSSAIN ALMOQAHWI,Hussein Al Moghawi
JO,Hyeon-uh Jo
JU,Se-jong Ju
Ju. CUADRADO,Juan Cuadrado
KI,Sung-yong Ki
KUDRIASHOV,Fedor Kudryashov
KUZIAEV,Daler Kuzyaev
LINDELOF,Victor Lindelöf
LOFTUS-CHEEK,Ruben Loftus-Cheek
M. JORGENSEN,Zanka
M.HOSSEINI,Majid Hosseini
MATHLOUTHI,X
MIKEL,John Mikel Obi
MILINKOVIC-SAVIC,Sergej Milinkovic-Savic
MOHAMED ABDELS... ,Mohamed Abdel-Shafi
MOHAMED ABDELS…,Mohamed Abdel-Shafi
MOHAMED ELSHEN... ,Mohamed El Shenawy
MOHAMMED ALBUR... ,Mohammed Al-Burayk
MOHAMMED ALBURAYK,Mohammed Al-Burayk
MOHAMMED ALOWA…,Mohammed Al-Owais
MOHAMMED ALSAH... ,Mohammed Al-Sahlawi
MOON,Seon-min Mun
N. JORGENSEN,Nicolai Jörgensen
NACHO,Nacho Fernández
NAGUEZ,Hamdi Nagguez
NDOYE,Cheikh N'Doye
NWANKWO,Simy
OMAR OTHMAN,X
RAMADAN SOBHY,Ramadan Sobhi
SALEM ALDAWSARI,Salem Al-Dawsari
SALMAN ALFARAJ,Salman Al-Faraj
SCHONE,Lasse Schöne
TAISEER ALJASSAM,Taisir Al-Jassim
TREZIGUET,X
WILLIAM,William Carvalho
YAHIA ALSHEHRI,Yahya Al-Shehri
YASIR ALSHAHRANI,Yasir Al-Shahrani
YASSER ALMOSAILEM,Yasser Al-Mosailem
YASSER ALSHAHR...,Yasir Al-Shahrani
YASSER ALSHAHRANI,Yasir Al-Shahrani
ZIYACH,Hakim Ziyech
QUINTERO,Juan Quintero
J. L. RODRIGUEZ,José Luis Rodríguez
MARIO FERNANDES,Mário Fernandes
RICARDO,Ricardo Pereira
BARCENAS,Yoel Bárcenas
P. JONES,Phil Jones
L. KALINIC,Lovre Kalinic
AQUINO,Javier Aquino
KROHN-DEHLI,Michael Krohn-Dehli
C. RODRIGUEZ,Cristian Rodríguez
CUMMINGS,Hárold Cummings
R. AZOFEIFA,Randall Azofeifa
R. RODRIGUEZ,Ricardo Rodríguez
GHODDOOS,Saman Ghoddos
