Abdallah Said,Abdallah El Said
Abdullah Al-Muaiouf,Abdullah Al-Mayoof
Abdullah Ateef,Abdullah Otayf
Ahmed Fathi,Ahmed Fathy
Ahmed Hegazy,Ahmed Hegazi
Anton Miranchuk,Aleksey Miranchuk
Ali Al-Boleahi,Ali Albulayhi
Anderson Santamaría,Ánderson Santamaría
Bryan Idowu,Brian Idowu
Bryan Ruíz,Bryan Ruiz
Philippe Coutinho,Coutinho
David de Gea,David De Gea
Djibril Sidibé,Djibril Sidibe
Duje Caleta–Car,Duje Caleta-Car
Édison Flores,Edison Flores
Ehsan Hajsafi,Ehsan Haji Safi
Éric Davis,Eric Davis
Fágner,Fagner
Fahad Al-Muwallad,Fahad Al Muwallad
Fayçal Fajr,Faycal Fajr
Hattan Bahbir,Hattan Bahebri
Cheol Hong,Hong Chul
Hördur Magnússon,Hördur Björgvin Magnússon
Hussein Al Moghawi,Hussain Al-Mogahwi
Hee-chan Hwang,Hwang Hee-Chan
Ismael Díaz,Ismael Diaz
Ismaïla Sarr,Ismaila Sarr
Hyun-soo Jang,Jang Hyun-Soo
Jesús Corona,Jesús Manuel Corona
John Mikel Obi,John Obi Mikel
Jhonny Acosta,Johnny Acosta
José Luis Rodríguez,Jose Luis Rodriguez
Joshua Risdon,Josh Risdon
Se-jong Ju,Ju Se-Jong
Woo-young Jung,Jung Woo-Young
Kári Arnason,Kári Árnason
Sung-yong Ki,Ki Sung-yueng
Min-woo Kim,Kim Min-Woo
Shin-uk Kim,Kim Shin-Wook
Young-gwon Kim,Kim Young-Gwon
Ja-cheol Koo,Koo Ja-Cheol
Jae-seong Lee,Lee Jae-Sung
Yong Lee,Lee Yong
Mame Diouf,Mame Biram Diouf
Marcos Ureña,Marco Ureña
Mario Gómez,Mario Gomez
Mathew Ryan,Mat Ryan
Mohamed Amine Ben Amor,Mohamed Ben Amor
Mohamed El Shenawy,Mohamed El-Shenawy
Mohamed Abdel-Shafi,Mohamed Shafy
Mohammed Al-Owais,Mohammed Al Owais
Mohammed Al-Sahlawi,Mohammed Al Sahlawi
Mohamed Kanno,Mohammed Kanno
Muhannad Asiri,Mohannad Aseri
Seon-min Mun,Moon Seon-Min
Munir,Munir Mohamedi
Nacho Fernández,Nacho
Naïm Sliti,Naim Sliti
Nicolai Jörgensen,Nicolai Jørgensen
Ju-ho Park,Park Joo-Ho
Falcao,Radamel Falcao
Raphaël Guerreiro,Raphael Guerreiro
Raphaël Varane,Raphael Varane
Rodrigo,Rodrigo Moreno
Roozbeh Cheshmi,Rouzbeh Cheshmi
Saîf-Eddine Khaoui,Saif-Eddine Khaoui
Salem Al-Dawsari,Salem Al Dawsari
Salman Al-Faraj,Salman Al Faraj
Sergey Ignashevich,Sergei Ignashevich
Simon Kjær,Simon Kjaer
Heung-min Son,Son Heung-Min
Steven Nzonzi,Steven N'Zonzi
Taisir Al-Jassim,Taiseer Al Jassam
Thiago,Thiago Alcántara
Tom Rogic,Tomas Rogic
FifaTF_Name,WhoScored_Name
Yahya Al-Shehri,Yahya Al Shehri
Yasir Al-Shahrani,Yasir Al Shahrani
Yoshimar Yotún,Yotún
Adnan Januzaj,
Adolfo Machado,
Ahmed Khalil,
Andrija Zivkovic,
Artur Jedrzejczyk,
Bassem Srarfi,
Brad Jones,
Danny Welbeck,
Diafra Sakho,
Filipe Luís,
Gary Cahill,
Ghaylène Chaalali,
Gotoku Sakai,
Hárold Cummings,
Hyeon-uh Jo,
Ian Smith,
Javier Aquino,
José Cuadrado,
Keita Baldé,
Kendall Waston,
Lamine Gassama,
Leander Dendoncker,
Leon Goretzka,
Luis Muriel,
Luis Ovalle,
Luka Jovic,
Lukasz Fabianski,
Manuel Fernandes,
Marco Fabián,
Martín Silva,
Miguel Borja,
Milos Veljkovic,
Nahuel Guzmán,
Niklas Süle,
Nikola Kalinic,
Ólafur Ingi Skúlason,
Oribe Peralta,
Oussama Haddadi,
Rafal Kurzawa,
Rami Bedoui,
Randall Azofeifa,
Rodney Wallace,
Seung-Gyu Kim,
Slawomir Peszko,
Thomas Vermaelen,
Tomoaki Makino,
Trent Alexander-Arnold,
Trezeguet,
Vincent Kompany,
Yeong-seon Yun,
Yo-han Ko,
Yoel Bárcenas,
Yoshinori Muto,
