Default1,Default2,Flag,minsPlayed,outfielderBlock,outfielderBlockedPass,passCrossBlockedDefensive,player-link,rating   sorted
1,6,be,518,,3,,Eden Hazard,8.53
2,3,co,300,2,,,Yerry Mina,8.35
3,4,es,390,,,1,Isco,8.29
4,5,br,450,1,1,,Neymar,8.25
5,1,eg,90,,,,Essam El Hadary,8.23
6,6,ng,576,,4,6,Kieran Trippier,7.96
7,4,ar,360,,7,,Lionel Messi,7.87
8,1,tn,90,,,,Oussama Haddadi,7.82
9,3,ng,270,,6,1,Wilfred Ndidi,7.77
10,7,fr,534,,3,,Kylian Mbappé,7.75
11,4,uy,344,,,,Edinson Cavani,7.75
12,2,br,77,,,,Douglas Costa,7.73
13,1,hr,90,,,,Lovre Kalinic,7.73
14,4,pt,360,1,1,,Cristiano Ronaldo,7.73
15,1,be,86,,,,Adnan Januzaj,7.67
16,6,ng,573,,3,,Harry Kane,7.67
17,4,br,330,1,6,,Casemiro,7.66
18,6,be,540,,2,,Kevin De Bruyne,7.65
19,1,pl,80,,2,,Rafal Kurzawa,7.61
20,3,kr,270,,,,Cho Hyun-Woo,7.60
21,5,br,436,,4,,Coutinho,7.60
22,1,pl,90,,,,Lukasz Fabianski,7.57
23,5,se,450,13,,,Andreas Granqvist,7.54
24,1,cr,90,1,,,Kendall Waston,7.53
25,6,hr,609,1,5,,Mario Mandzukic,7.53
26,3,ng,270,,2,3,Oghenekaro Etebo,7.52
27,4,uy,360,2,1,,José Giménez,7.52
28,7,fr,571,,4,,Antoine Griezmann,7.51
29,4,dk,390,,,,Kasper Schmeichel,7.51
30,4,ru,402,,8,,Aleksandr Golovin,7.50
31,6,fr,539,1,3,,Paul Pogba,7.49
32,3,tn,264,,2,,Wahbi Khazri,7.49
33,7,hr,694,,3,1,Luka Modric,7.48
34,3,de,270,,,,Toni Kroos,7.47
35,2,rs,180,,1,2,Branislav Ivanovic,7.47
36,3,is,270,,5,,Gylfi Sigurdsson,7.44
37,3,kr,270,,2,2,Son Heung-Min,7.43
38,5,ru,472,2,3,5,Mario Fernandes,7.42
39,5,ru,333,1,3,,Artem Dzyuba,7.39
40,3,ng,208,,2,,Ahmed Musa,7.39
41,5,se,434,3,10,,Viktor Claesson,7.38
42,5,be,450,3,2,1,Thomas Meunier,7.36
43,4,mx,317,,4,,Hirving Lozano,7.34
44,3,sn,247,,2,,M'Baye Niang,7.34
45,7,hr,638,2,4,3,Ivan Rakitic,7.33
46,2,cr,113,,,,Joel Campbell,7.32
47,3,sa,270,,2,,Salem Al Dawsari,7.32
48,5,br,450,5,,,Thiago Silva,7.31
49,2,kr,180,3,2,,Ki Sung-yueng,7.31
50,1,pa,21,,,,Felipe Baloy,7.30
51,4,mx,360,,,,Guillermo Ochoa,7.29
52,4,co,331,,,,Juan Cuadrado,7.29
53,5,uy,450,1,1,1,Diego Godín,7.28
54,4,se,352,4,5,1,Mikael Lustig,7.28
55,7,ng,646,8,2,,John Stones,7.28
56,5,ru,304,,3,,Denis Cheryshev,7.27
57,2,be,97,,1,,Thorgan Hazard,7.25
58,4,dk,390,2,1,2,Henrik Dalsgaard,7.23
59,5,ru,510,4,6,,Roman Zobnin,7.23
60,7,ng,645,5,3,,Harry Maguire,7.22
61,3,rs,269,1,1,,Aleksandar Mitrovic,7.22
62,1,fr,90,,1,,Djibril Sidibe,7.22
63,1,tn,90,,4,,Ghilane Chaalali,7.22
64,2,es,160,,,,Nacho,7.21
65,3,pe,259,,,1,André Carrillo,7.20
66,1,fr,90,,,,Presnel Kimpembe,7.18
67,3,au,270,,5,1,Aaron Mooy,7.17
68,5,br,450,5,2,,Miranda,7.17
69,4,br,280,,6,2,Marcelo,7.16
70,5,be,316,4,3,1,Marouane Fellaini,7.15
71,3,pl,270,1,,,Grzegorz Krychowiak,7.14
72,2,ng,180,,,,Kenneth Omeruo,7.14
73,7,fr,630,4,2,,Raphael Varane,7.14
74,4,dk,390,1,4,1,Christian Eriksen,7.14
75,4,co,310,,1,,Juan Quintero,7.14
76,1,ma,82,,1,,Amine Harit,7.13
77,6,hr,547,,6,,Ante Rebic,7.13
78,7,be,630,,,,Thibaut Courtois,7.12
79,3,kr,270,1,1,,Lee Jae-Sung,7.12
80,7,hr,632,2,4,,Ivan Perisic,7.12
81,4,es,320,,2,1,Diego Costa,7.12
82,1,fr,90,,,,Steve Mandanda,7.11
83,3,ar,216,,2,,Éver Banega,7.11
84,3,pe,270,2,,1,Luis Advíncula,7.10
85,6,be,476,,,,Romelu Lukaku,7.10
86,4,ch,351,1,1,,Xherdan Shaqiri,7.10
87,5,uy,450,1,2,,Luis Suárez,7.09
88,3,cr,255,1,,,Cristian Gamboa,7.09
89,2,br,170,1,2,1,Filipe Luís,7.09
90,1,ma,18,,,,Youssef En-Nesyri,7.09
91,3,rs,263,,3,3,Dusan Tadic,7.08
92,6,fr,540,2,3,4,Benjamin Pavard,7.08
93,4,ch,360,,3,1,Ricardo Rodríguez,7.07
94,4,pt,360,,7,,Raphael Guerreiro,7.07
95,6,hr,630,4,1,,Domagoj Vida,7.06
96,3,hr,103,,2,,Milan Badelj,7.06
97,4,mx,315,,1,,Carlos Vela,7.06
98,2,de,180,,1,,Mats Hummels,7.05
99,3,ma,256,,3,,Nordin Amrabat,7.05
100,1,uy,90,,1,1,Sebastián Coates,7.05
101,4,jp,308,4,,,Yuya Osako,7.05
102,4,jp,292,,5,,Takashi Inui,7.04
103,5,ru,510,6,2,2,Ilya Kutepov,7.04
104,7,fr,595,1,11,3,N'Golo Kanté,7.04
105,3,ir,270,,,,Alireza Beiranvand,7.03
106,3,ng,270,3,8,1,Victor Moses,7.03
107,4,pt,360,1,2,2,Pepe,7.03
108,6,hr,607,2,1,,Sime Vrsaljko,7.03
109,2,tn,156,,1,,Hamdi Nagguez,7.03
110,1,pl,90,,1,,Artur Jedrzejczyk,7.02
111,1,ng,90,3,1,,Gary Cahill,7.02
112,1,sn,90,,1,,Lamine Gassama,7.02
113,1,kr,90,2,2,,Yun Young-Sun,7.02
114,4,es,390,1,2,,Sergio Busquets,7.02
115,5,ng,495,2,1,2,Kyle Walker,7.01
116,3,kr,270,,,3,Lee Yong,7.01
117,4,dk,368,2,4,,Thomas Delaney,7.00
118,3,ir,270,1,1,,Ramin Rezaeian,6.99
119,4,br,360,,4,3,Fagner,6.99
120,3,au,270,1,3,,Mile Jedinak,6.99
121,3,co,152,,1,,James Rodríguez,6.98
122,4,es,390,1,,2,Gerard Piqué,6.98
123,2,eg,180,,1,,Mohamed Salah,6.98
124,4,ar,360,2,1,2,Nicolás Otamendi,6.98
125,3,pe,208,1,1,,Paolo Guerrero,6.98
126,3,sa,270,,2,1,Salman Al Faraj,6.98
127,4,co,390,,,,David Ospina,6.98
128,3,be,270,2,,,Dedryck Boyata,6.97
129,7,fr,590,1,4,7,Lucas Hernández,6.97
130,5,se,400,1,2,,Ola Toivonen,6.97
131,2,uy,180,,1,,Guillermo Varela,6.97
132,5,ru,510,6,1,,Sergei Ignashevich,6.96
133,6,be,328,,3,1,Nacer Chadli,6.96
134,5,se,421,2,5,,Albin Ekdal,6.96
135,3,jp,47,,,,Keisuke Honda,6.96
136,5,br,362,,3,2,Willian,6.96
137,3,pt,185,,5,1,João Moutinho,6.96
138,3,rs,270,5,,,Nikola Milenkovic,6.94
139,3,dk,269,2,8,,Yussuf Poulsen,6.94
140,4,mx,335,3,6,7,Jesús Gallardo,6.94
141,2,de,136,,,,Julian Draxler,6.94
142,3,jp,246,1,3,1,Genki Haraguchi,6.93
143,4,pt,360,1,4,1,José Fonte,6.93
144,6,be,540,3,6,,Axel Witsel,6.93
145,3,sa,244,,,,Abdullah Otayf,6.93
146,5,se,417,2,2,,Emil Forsberg,6.93
147,6,ng,528,,5,1,Jesse Lingard,6.93
148,2,de,180,,1,,Mesut Özil,6.93
149,6,be,540,8,1,2,Toby Alderweireld,6.93
150,5,se,428,1,4,1,Marcus Berg,6.93
151,3,pl,225,4,,1,Jan Bednarek,6.93
152,2,ma,180,1,2,,Nabil Dirar,6.93
153,3,is,264,,2,,Alfred Finnbogason,6.92
154,2,ma,141,,1,1,Khalid Boutaïb,6.92
155,5,br,407,,7,,Gabriel Jesus,6.92
156,2,de,165,,3,,Jonas Hector,6.92
157,3,eg,270,4,1,1,Ahmed Hegazi,6.91
158,3,uy,123,,1,,Carlos Sánchez,6.90
