Default1,Default2,Flag,foulCommitted,foulGiven,minsPlayed,player-link,rating   sorted
1,6,be,6,27,518,Eden Hazard,8.53
2,3,co,6,5,300,Yerry Mina,8.35
3,4,es,1,19,390,Isco,8.29
4,5,br,4,26,450,Neymar,8.25
5,1,eg,,,90,Essam El Hadary,8.23
6,6,ng,6,6,576,Kieran Trippier,7.96
7,4,ar,4,16,360,Lionel Messi,7.87
8,1,tn,1,,90,Oussama Haddadi,7.82
9,3,ng,5,7,270,Wilfred Ndidi,7.77
10,7,fr,1,14,534,Kylian Mbappé,7.75
11,4,uy,4,6,344,Edinson Cavani,7.75
12,2,br,,,77,Douglas Costa,7.73
13,1,hr,,1,90,Lovre Kalinic,7.73
14,4,pt,3,14,360,Cristiano Ronaldo,7.73
15,1,be,1,1,86,Adnan Januzaj,7.67
16,6,ng,4,21,573,Harry Kane,7.67
17,4,br,3,2,330,Casemiro,7.66
18,6,be,5,3,540,Kevin De Bruyne,7.65
19,1,pl,,2,80,Rafal Kurzawa,7.61
20,3,kr,,1,270,Cho Hyun-Woo,7.60
21,5,br,3,7,436,Coutinho,7.60
22,1,pl,,,90,Lukasz Fabianski,7.57
23,5,se,9,6,450,Andreas Granqvist,7.54
24,1,cr,,1,90,Kendall Waston,7.53
25,6,hr,13,12,609,Mario Mandzukic,7.53
26,3,ng,4,11,270,Oghenekaro Etebo,7.52
27,4,uy,3,1,360,José Giménez,7.52
28,7,fr,6,11,571,Antoine Griezmann,7.51
29,4,dk,,,390,Kasper Schmeichel,7.51
30,4,ru,15,4,402,Aleksandr Golovin,7.50
31,6,fr,14,17,539,Paul Pogba,7.49
32,3,tn,2,4,264,Wahbi Khazri,7.49
33,7,hr,12,12,694,Luka Modric,7.48
34,3,de,1,6,270,Toni Kroos,7.47
35,2,rs,1,4,180,Branislav Ivanovic,7.47
36,3,is,2,4,270,Gylfi Sigurdsson,7.44
37,3,kr,3,5,270,Son Heung-Min,7.43
38,5,ru,4,6,472,Mario Fernandes,7.42
39,5,ru,15,10,333,Artem Dzyuba,7.39
40,3,ng,4,3,208,Ahmed Musa,7.39
41,5,se,5,6,434,Viktor Claesson,7.38
42,5,be,9,1,450,Thomas Meunier,7.36
43,4,mx,6,14,317,Hirving Lozano,7.34
44,3,sn,6,4,247,M'Baye Niang,7.34
45,7,hr,9,20,638,Ivan Rakitic,7.33
46,2,cr,3,3,113,Joel Campbell,7.32
47,3,sa,4,6,270,Salem Al Dawsari,7.32
48,5,br,2,3,450,Thiago Silva,7.31
49,2,kr,6,3,180,Ki Sung-yueng,7.31
50,1,pa,,,21,Felipe Baloy,7.30
51,4,mx,1,1,360,Guillermo Ochoa,7.29
52,4,co,4,12,331,Juan Cuadrado,7.29
53,5,uy,5,5,450,Diego Godín,7.28
54,4,se,4,3,352,Mikael Lustig,7.28
55,7,ng,4,4,646,John Stones,7.28
56,5,ru,7,1,304,Denis Cheryshev,7.27
57,2,be,1,,97,Thorgan Hazard,7.25
58,4,dk,8,1,390,Henrik Dalsgaard,7.23
59,5,ru,8,9,510,Roman Zobnin,7.23
60,7,ng,7,6,645,Harry Maguire,7.22
61,3,rs,5,7,269,Aleksandar Mitrovic,7.22
62,1,fr,1,,90,Djibril Sidibe,7.22
63,1,tn,5,3,90,Ghilane Chaalali,7.22
64,2,es,3,4,160,Nacho,7.21
65,3,pe,2,3,259,André Carrillo,7.20
66,1,fr,1,2,90,Presnel Kimpembe,7.18
67,3,au,4,1,270,Aaron Mooy,7.17
68,5,br,8,4,450,Miranda,7.17
69,4,br,1,3,280,Marcelo,7.16
70,5,be,11,6,316,Marouane Fellaini,7.15
71,3,pl,3,8,270,Grzegorz Krychowiak,7.14
72,2,ng,2,3,180,Kenneth Omeruo,7.14
73,7,fr,2,1,630,Raphael Varane,7.14
74,4,dk,,3,390,Christian Eriksen,7.14
75,4,co,1,3,310,Juan Quintero,7.14
76,1,ma,1,2,82,Amine Harit,7.13
77,6,hr,21,11,547,Ante Rebic,7.13
78,7,be,,,630,Thibaut Courtois,7.12
79,3,kr,6,1,270,Lee Jae-Sung,7.12
