Default1,Default2,Flag,minsPlayed,passLongBallAccurate,passLongBallInaccurate,passTotal,player-link,rating   sorted,shortPassAccurate,shortPassInaccurate
1,6,be,518,11,3,268,Eden Hazard,8.53,208,46
2,3,co,300,9,10,158,Yerry Mina,8.35,132,7
3,4,es,390,14,6,444,Isco,8.29,392,32
4,5,br,450,7,2,251,Neymar,8.25,206,36
5,1,eg,90,6,7,23,Essam El Hadary,8.23,10,
6,6,ng,576,16,21,299,Kieran Trippier,7.96,211,51
7,4,ar,360,4,5,205,Lionel Messi,7.87,164,32
8,1,tn,90,1,2,26,Oussama Haddadi,7.82,20,3
9,3,ng,270,11,5,154,Wilfred Ndidi,7.77,114,24
10,7,fr,534,3,3,152,Kylian Mbappé,7.75,115,31
11,4,uy,344,8,,87,Edinson Cavani,7.75,62,17
12,2,br,77,5,1,46,Douglas Costa,7.73,37,3
13,1,hr,90,4,12,21,Lovre Kalinic,7.73,5,
14,4,pt,360,3,1,116,Cristiano Ronaldo,7.73,92,20
15,1,be,86,1,1,17,Adnan Januzaj,7.67,13,2
16,6,ng,573,9,6,149,Harry Kane,7.67,94,40
17,4,br,330,15,1,266,Casemiro,7.66,213,37
18,6,be,540,15,13,333,Kevin De Bruyne,7.65,250,55
19,1,pl,80,,1,32,Rafal Kurzawa,7.61,23,8
20,3,kr,270,20,33,77,Cho Hyun-Woo,7.60,23,1
21,5,br,436,10,5,326,Coutinho,7.60,283,28
22,1,pl,90,4,6,25,Lukasz Fabianski,7.57,15,
23,5,se,450,20,17,178,Andreas Granqvist,7.54,124,17
24,1,cr,90,1,1,37,Kendall Waston,7.53,33,2
25,6,hr,609,6,2,176,Mario Mandzukic,7.53,108,60
26,3,ng,270,2,9,141,Oghenekaro Etebo,7.52,123,7
27,4,uy,360,9,11,173,José Giménez,7.52,140,13
28,7,fr,571,10,7,233,Antoine Griezmann,7.51,164,52
29,4,dk,390,43,65,137,Kasper Schmeichel,7.51,29,
30,4,ru,402,3,8,134,Aleksandr Golovin,7.50,97,26
31,6,fr,539,35,16,308,Paul Pogba,7.49,212,45
32,3,tn,264,,1,75,Wahbi Khazri,7.49,60,14
33,7,hr,694,45,13,485,Luka Modric,7.48,377,50
34,3,de,270,33,3,320,Toni Kroos,7.47,265,19
35,2,rs,180,3,7,67,Branislav Ivanovic,7.47,48,9
36,3,is,270,5,2,94,Gylfi Sigurdsson,7.44,68,19
37,3,kr,270,1,,74,Son Heung-Min,7.43,63,10
38,5,ru,472,3,21,190,Mario Fernandes,7.42,135,31
39,5,ru,333,2,1,106,Artem Dzyuba,7.39,69,34
40,3,ng,208,,4,50,Ahmed Musa,7.39,37,9
41,5,se,434,3,5,136,Viktor Claesson,7.38,94,34
42,5,be,450,9,8,202,Thomas Meunier,7.36,156,29
43,4,mx,317,1,1,83,Hirving Lozano,7.34,71,10
44,3,sn,247,3,2,70,M'Baye Niang,7.34,48,17
45,7,hr,638,42,23,421,Ivan Rakitic,7.33,311,45
46,2,cr,113,4,,32,Joel Campbell,7.32,23,5
47,3,sa,270,18,,173,Salem Al Dawsari,7.32,138,17
48,5,br,450,12,9,295,Thiago Silva,7.31,264,10
49,2,kr,180,7,2,79,Ki Sung-yueng,7.31,67,3
50,1,pa,21,1,,17,Felipe Baloy,7.30,16,
51,4,mx,360,31,34,98,Guillermo Ochoa,7.29,33,
52,4,co,331,10,1,147,Juan Cuadrado,7.29,116,20
53,5,uy,450,28,21,230,Diego Godín,7.28,167,14
54,4,se,352,6,11,97,Mikael Lustig,7.28,54,26
55,7,ng,646,32,10,478,John Stones,7.28,421,15
56,5,ru,304,4,,77,Denis Cheryshev,7.27,47,26
57,2,be,97,2,,49,Thorgan Hazard,7.25,39,8
58,4,dk,390,6,9,134,Henrik Dalsgaard,7.23,89,30
59,5,ru,510,10,9,186,Roman Zobnin,7.23,122,45
60,7,ng,645,28,13,436,Harry Maguire,7.22,359,36
61,3,rs,269,,,65,Aleksandar Mitrovic,7.22,31,34
62,1,fr,90,2,1,91,Djibril Sidibe,7.22,77,11
63,1,tn,90,8,3,79,Ghilane Chaalali,7.22,57,11
64,2,es,160,2,,87,Nacho,7.21,80,5
65,3,pe,259,4,4,99,André Carrillo,7.20,75,16
66,1,fr,90,6,2,73,Presnel Kimpembe,7.18,63,2
67,3,au,270,4,8,185,Aaron Mooy,7.17,152,21
68,5,br,450,8,6,260,Miranda,7.17,232,14
69,4,br,280,11,5,263,Marcelo,7.16,219,28
70,5,be,316,2,1,135,Marouane Fellaini,7.15,112,20
71,3,pl,270,17,16,180,Grzegorz Krychowiak,7.14,131,16
72,2,ng,180,6,12,74,Kenneth Omeruo,7.14,46,10
73,7,fr,630,44,22,333,Raphael Varane,7.14,247,20
74,4,dk,390,2,7,162,Christian Eriksen,7.14,127,26
75,4,co,310,13,10,173,Juan Quintero,7.14,119,31
76,1,ma,82,,,25,Amine Harit,7.13,19,6
77,6,hr,547,3,8,122,Ante Rebic,7.13,70,41
78,7,be,630,30,60,185,Thibaut Courtois,7.12,94,1
79,3,kr,270,4,2,111,Lee Jae-Sung,7.12,91,14
80,7,hr,632,5,6,170,Ivan Perisic,7.12,118,41
81,4,es,320,1,,67,Diego Costa,7.12,54,12
82,1,fr,90,8,5,22,Steve Mandanda,7.11,9,
83,3,ar,216,11,2,206,Éver Banega,7.11,170,23
84,3,pe,270,7,10,128,Luis Advíncula,7.10,105,6
85,6,be,476,7,1,98,Romelu Lukaku,7.10,66,24
86,4,ch,351,8,5,175,Xherdan Shaqiri,7.10,134,28
87,5,uy,450,6,4,130,Luis Suárez,7.09,77,43
88,3,cr,255,6,6,88,Cristian Gamboa,7.09,60,16
89,2,br,170,6,2,116,Filipe Luís,7.09,93,15
90,1,ma,18,,,5,Youssef En-Nesyri,7.09,3,2
91,3,rs,263,2,7,82,Dusan Tadic,7.08,53,20
92,6,fr,540,11,16,266,Benjamin Pavard,7.08,202,37
93,4,ch,360,6,3,157,Ricardo Rodríguez,7.07,127,21
94,4,pt,360,6,8,206,Raphael Guerreiro,7.07,161,31
95,6,hr,630,16,23,314,Domagoj Vida,7.06,249,26
96,3,hr,103,2,2,74,Milan Badelj,7.06,64,6
97,4,mx,315,3,3,119,Carlos Vela,7.06,94,19
98,2,de,180,6,,113,Mats Hummels,7.05,97,10
99,3,ma,256,,6,70,Nordin Amrabat,7.05,50,14
100,1,uy,90,7,4,61,Sebastián Coates,7.05,50,
101,4,jp,308,3,,77,Yuya Osako,7.05,54,20
102,4,jp,292,4,2,124,Takashi Inui,7.04,103,15
103,5,ru,510,20,27,163,Ilya Kutepov,7.04,96,20
104,7,fr,595,18,11,361,N'Golo Kanté,7.04,301,31
105,3,ir,270,14,41,64,Alireza Beiranvand,7.03,9,
106,3,ng,270,2,5,85,Victor Moses,7.03,60,18
107,4,pt,360,30,19,169,Pepe,7.03,107,13
108,6,hr,607,8,17,295,Sime Vrsaljko,7.03,227,43
109,2,tn,156,5,1,81,Hamdi Nagguez,7.03,66,9
110,1,pl,90,2,2,39,Artur Jedrzejczyk,7.02,30,5
111,1,ng,90,5,1,45,Gary Cahill,7.02,37,2
112,1,sn,90,1,1,24,Lamine Gassama,7.02,20,2
113,1,kr,90,,1,12,Yun Young-Sun,7.02,11,
114,4,es,390,13,8,314,Sergio Busquets,7.02,278,15
115,5,ng,495,38,22,379,Kyle Walker,7.01,307,12
116,3,kr,270,1,20,97,Lee Yong,7.01,63,13
117,4,dk,368,10,11,173,Thomas Delaney,7.00,128,24
118,3,ir,270,6,17,61,Ramin Rezaeian,6.99,26,12
119,4,br,360,4,7,204,Fagner,6.99,179,14
120,3,au,270,9,10,177,Mile Jedinak,6.99,139,19
121,3,co,152,6,1,95,James Rodríguez,6.98,74,14
122,4,es,390,19,6,353,Gerard Piqué,6.98,307,21
123,2,eg,180,1,1,37,Mohamed Salah,6.98,28,7
124,4,ar,360,14,15,294,Nicolás Otamendi,6.98,244,21
125,3,pe,208,2,1,50,Paolo Guerrero,6.98,28,19
126,3,sa,270,17,6,255,Salman Al Faraj,6.98,209,23
127,4,co,390,22,43,97,David Ospina,6.98,31,1
128,3,be,270,4,2,197,Dedryck Boyata,6.97,182,9
129,7,fr,590,2,12,205,Lucas Hernández,6.97,161,30
130,5,se,400,1,,99,Ola Toivonen,6.97,60,38
131,2,uy,180,4,1,95,Guillermo Varela,6.97,85,5
132,5,ru,510,29,23,161,Sergei Ignashevich,6.96,83,26
133,6,be,328,2,1,154,Nacer Chadli,6.96,134,17
134,5,se,421,7,7,171,Albin Ekdal,6.96,125,32
135,3,jp,47,,1,37,Keisuke Honda,6.96,29,7
136,5,br,362,7,3,168,Willian,6.96,135,23
137,3,pt,185,2,1,77,João Moutinho,6.96,65,9
138,3,rs,270,14,4,118,Nikola Milenkovic,6.94,92,8
139,3,dk,269,,,78,Yussuf Poulsen,6.94,58,20
140,4,mx,335,8,8,142,Jesús Gallardo,6.94,111,15
141,2,de,136,4,,83,Julian Draxler,6.94,72,7
142,3,jp,246,1,1,81,Genki Haraguchi,6.93,66,13
143,4,pt,360,14,12,183,José Fonte,6.93,138,19
144,6,be,540,4,6,328,Axel Witsel,6.93,305,13
145,3,sa,244,15,11,263,Abdullah Otayf,6.93,227,10
146,5,se,417,3,1,100,Emil Forsberg,6.93,81,15
147,6,ng,528,3,1,227,Jesse Lingard,6.93,206,17
148,2,de,180,4,4,169,Mesut Özil,6.93,146,15
149,6,be,540,27,20,446,Toby Alderweireld,6.93,376,23
150,5,se,428,2,3,88,Marcus Berg,6.93,61,22
151,3,pl,225,19,8,171,Jan Bednarek,6.93,135,9
152,2,ma,180,1,1,73,Nabil Dirar,6.93,62,9
153,3,is,264,,1,54,Alfred Finnbogason,6.92,39,14
154,2,ma,141,,,28,Khalid Boutaïb,6.92,21,7
155,5,br,407,,3,100,Gabriel Jesus,6.92,73,24
156,2,de,165,,,80,Jonas Hector,6.92,70,10
157,3,eg,270,11,16,122,Ahmed Hegazi,6.91,82,13
158,3,uy,123,1,5,59,Carlos Sánchez,6.90,40,13
159,3,co,182,6,2,88,Mateus Uribe,6.90,70,10
160,3,pe,138,8,3,102,Pedro Aquino,6.90,81,10
161,2,ar,146,1,3,95,Eduardo Salvio,6.90,77,14
162,2,se,95,2,2,60,Pontus Jansson,6.90,51,5
163,4,co,390,16,23,200,Davinson Sánchez,6.89,144,17
164,4,ng,274,3,1,125,Ruben Loftus-Cheek,6.89,101,20
165,4,jp,341,17,10,232,Gaku Shibasaki,6.89,176,29
166,3,ch,267,5,3,114,Stephan Lichtsteiner,6.88,87,19
167,4,mx,360,18,3,209,Héctor Herrera,6.88,165,23
168,6,be,540,24,16,323,Jan Vertonghen,6.88,259,24
169,3,de,270,10,4,214,Joshua Kimmich,6.87,183,17
170,3,rs,270,27,26,78,Vladimir Stojkovic,6.87,24,1
171,5,uy,365,8,2,228,Rodrigo Bentancur,6.87,190,28
172,1,co,90,2,3,42,Óscar Murillo,6.87,31,6
173,4,co,386,1,13,181,Santiago Arias,6.87,145,22
174,4,ru,267,9,5,117,Yuri Gazinskiy,6.86,83,20
175,5,uy,304,9,7,148,Lucas Torreira,6.86,117,15
176,3,ar,270,1,6,162,Gabriel Mercado,6.86,141,14
177,3,sn,196,2,7,62,Moussa Wagué,6.86,48,5
178,3,rs,270,8,,141,Nemanja Matic,6.86,109,24
179,1,sn,81,2,,19,Badou Ndiaye,6.86,13,4
180,3,tn,270,2,4,92,Fakhreddine Ben Youssef,6.86,69,17
181,3,ng,268,5,12,149,John Obi Mikel,6.86,115,17
182,3,sn,270,13,17,123,Salif Sané,6.86,79,14
183,2,uy,86,3,,43,Giorgian de Arrascaeta,6.86,33,7
184,3,ng,270,5,13,123,Leon Balogun,6.85,85,20
185,3,ir,270,1,1,59,Sardar Azmoun,6.85,26,31
186,3,ru,222,8,8,77,Yuri Zhirkov,6.85,46,15
187,4,jp,360,12,20,290,Maya Yoshida,6.85,245,13
188,1,ir,68,1,1,15,Masoud Shojaei,6.85,10,3
189,4,ch,360,9,9,308,Manuel Akanji,6.85,265,25
190,3,kr,270,9,12,95,Kim Young-Gwon,6.84,69,5
191,4,ch,360,28,17,345,Granit Xhaka,6.84,283,17
192,3,pe,270,6,17,165,Miguel Trauco,6.84,123,19
193,5,se,450,38,70,132,Robin Olsen,6.84,24,
194,4,es,284,11,4,287,Andrés Iniesta,6.84,241,31
195,4,jp,360,4,13,157,Hiroki Sakai,6.84,109,31
196,3,jp,270,14,8,178,Gen Shoji,6.83,145,11
197,2,rs,180,9,12,83,Dusko Tosic,6.83,59,3
198,1,sn,80,,,14,Keita,6.83,11,3
199,2,pe,135,6,,74,Ánderson Santamaría,6.82,65,3
200,2,ru,42,1,,17,Alan Dzagoev,6.82,12,4
201,3,rs,270,5,9,110,Aleksandar Kolarov,6.82,85,11
202,2,pl,180,7,3,72,Jacek Goralski,6.82,51,11
203,5,uy,416,14,9,253,Matías Vecino,6.82,198,32
204,3,ar,226,1,6,163,Marcos Rojo,6.82,146,10
205,3,pt,116,1,,43,Ricardo Quaresma,6.82,36,6
206,5,se,450,8,14,115,Ludwig Augustinsson,6.81,70,23
207,4,mx,330,5,2,72,Chicharito,6.81,50,15
208,1,g,90,7,4,86,Rami Bedoui,6.81,66,9
209,4,be,175,5,3,111,Youri Tielemans,6.81,93,10
210,7,fr,546,3,1,130,Olivier Giroud,6.81,82,44
211,3,cr,270,28,41,89,Keylor Navas,6.81,20,
212,3,sn,270,4,1,94,Sadio Mané,6.81,69,20
213,2,mx,180,8,4,66,Hugo Ayala,6.81,50,4
214,3,eg,239,2,2,89,Trézéguet,6.80,68,17
215,5,ng,463,12,11,186,Ashley Young,6.80,143,20
216,1,g,90,1,3,12,Rouzbeh Cheshmi,6.80,8,
217,3,co,269,10,4,133,Wilmar Barrios,6.80,98,21
218,4,dk,232,2,5,80,Pione Sisto,6.80,65,8
219,4,es,327,2,2,205,David Silva,6.80,176,25
220,2,ir,55,,4,14,Milad Mohammadi,6.80,7,3
221,2,ir,166,10,4,42,Saeid Ezatolahi,6.80,21,7
222,3,es,229,11,6,275,Koke,6.79,246,12
223,3,ch,270,22,21,217,Fabian Schär,6.79,161,13
224,2,tn,114,6,4,46,Dylan Bronn,6.79,31,5
225,3,ch,253,2,4,90,Steven Zuber,6.78,67,17
226,3,au,270,13,8,191,Trent Sainsbury,6.78,160,10
227,6,be,300,1,3,117,Dries Mertens,6.78,92,21
228,6,fr,540,19,9,208,Samuel Umtiti,6.78,167,13
229,4,dk,390,22,20,218,Simon Kjaer,6.78,168,8
230,4,uy,301,6,10,98,Diego Laxalt,6.78,64,18
231,5,br,354,2,1,149,Paulinho,6.78,129,17
232,5,fr,336,1,2,112,Blaise Matuidi,6.77,92,17
233,3,cr,270,9,4,127,Celso Borges,6.77,91,23
234,2,rs,171,6,3,87,Luka Milivojevic,6.77,68,10
235,2,ma,180,8,7,92,Romain Saïss,6.77,71,6
236,4,co,377,3,,104,Radamel Falcao,6.76,82,19
237,6,hr,459,29,10,387,Marcelo Brozovic,6.75,307,41
238,2,is,180,4,8,43,Kári Árnason,6.74,21,10
239,3,dk,270,3,5,84,Jens Stryger Larsen,6.74,67,9
240,5,hr,183,3,,122,Mateo Kovacic,6.73,112,7
241,3,es,230,8,3,152,Daniel Carvajal,6.73,130,11
242,3,ma,265,9,7,109,Hakim Ziyech,6.73,76,17
243,2,kr,96,1,8,27,Hong Chul,6.73,16,2
