Default1,Default2,Flag,minsPlayed,passCornerAccurate,passCornerInaccurate,passCrossAccurate,passCrossInaccurate,passFreekickAccurate,passFreekickInaccurate,player-link,rating   sorted
1,6,be,518,5,4,1,6,4,,Eden Hazard,8.53
2,3,co,300,,,,,5,2,Yerry Mina,8.35
3,4,es,390,10,4,10,23,1,,Isco,8.29
4,5,br,450,15,8,10,23,4,2,Neymar,8.25
5,1,eg,90,,,,,2,,Essam El Hadary,8.23
6,6,ng,576,12,11,19,29,11,4,Kieran Trippier,7.96
7,4,ar,360,,2,2,6,12,1,Lionel Messi,7.87
8,1,tn,90,1,,2,1,,,Oussama Haddadi,7.82
9,3,ng,270,,,,2,3,,Wilfred Ndidi,7.77
10,7,fr,534,2,1,3,8,,1,Kylian Mbappé,7.75
11,4,uy,344,1,,1,3,,,Edinson Cavani,7.75
12,2,br,77,1,1,,5,,,Douglas Costa,7.73
13,1,hr,90,,,,,1,2,Lovre Kalinic,7.73
14,4,pt,360,,,,2,1,1,Cristiano Ronaldo,7.73
15,1,be,86,,,1,1,,,Adnan Januzaj,7.67
16,6,ng,573,,,,,2,,Harry Kane,7.67
17,4,br,330,,,1,2,8,,Casemiro,7.66
18,6,be,540,14,3,11,14,12,4,Kevin De Bruyne,7.65
19,1,pl,80,,3,,3,2,,Rafal Kurzawa,7.61
20,3,kr,270,,,,,7,3,Cho Hyun-Woo,7.60
21,5,br,436,1,1,1,2,2,1,Coutinho,7.60
22,1,pl,90,,,,,2,,Lukasz Fabianski,7.57
23,5,se,450,,,,,14,5,Andreas Granqvist,7.54
24,1,cr,90,,,,,,,Kendall Waston,7.53
25,6,hr,609,,,1,2,1,,Mario Mandzukic,7.53
26,3,ng,270,1,4,,8,5,3,Oghenekaro Etebo,7.52
27,4,uy,360,,,,1,5,,José Giménez,7.52
28,7,fr,571,3,7,5,16,6,3,Antoine Griezmann,7.51
29,4,dk,390,,,,,7,9,Kasper Schmeichel,7.51
30,4,ru,402,1,5,4,10,,,Aleksandr Golovin,7.50
31,6,fr,539,,,,1,9,2,Paul Pogba,7.49
32,3,tn,264,4,3,5,4,,,Wahbi Khazri,7.49
33,7,hr,694,13,17,9,31,22,1,Luka Modric,7.48
34,3,de,270,9,8,6,10,13,1,Toni Kroos,7.47
35,2,rs,180,,,4,3,2,,Branislav Ivanovic,7.47
36,3,is,270,5,8,6,15,3,3,Gylfi Sigurdsson,7.44
37,3,kr,270,6,4,2,6,1,,Son Heung-Min,7.43
38,5,ru,472,,,2,5,1,,Mario Fernandes,7.42
39,5,ru,333,,,,,,,Artem Dzyuba,7.39
40,3,ng,208,,,,5,,,Ahmed Musa,7.39
41,5,se,434,,,,2,,,Viktor Claesson,7.38
42,5,be,450,,,4,12,2,1,Thomas Meunier,7.36
43,4,mx,317,,,,5,,,Hirving Lozano,7.34
44,3,sn,247,4,2,4,8,1,,M'Baye Niang,7.34
45,7,hr,638,8,1,7,6,10,1,Ivan Rakitic,7.33
46,2,cr,113,1,2,1,4,,,Joel Campbell,7.32
47,3,sa,270,,,,1,1,,Salem Al Dawsari,7.32
48,5,br,450,,,,,7,,Thiago Silva,7.31
49,2,kr,180,,,,,5,,Ki Sung-yueng,7.31
50,1,pa,21,,,,,,,Felipe Baloy,7.30
51,4,mx,360,,,,,5,2,Guillermo Ochoa,7.29
52,4,co,331,2,,5,12,,,Juan Cuadrado,7.29
53,5,uy,450,,,,,16,4,Diego Godín,7.28
54,4,se,352,,,3,4,2,,Mikael Lustig,7.28
55,7,ng,646,,,,1,2,,John Stones,7.28
56,5,ru,304,1,1,2,12,,,Denis Cheryshev,7.27
57,2,be,97,2,,2,,,,Thorgan Hazard,7.25
58,4,dk,390,,,1,4,1,,Henrik Dalsgaard,7.23
59,5,ru,510,,,1,3,3,,Roman Zobnin,7.23
60,7,ng,645,,,,1,11,1,Harry Maguire,7.22
61,3,rs,269,,,,,,,Aleksandar Mitrovic,7.22
62,1,fr,90,,,1,5,,,Djibril Sidibe,7.22
63,1,tn,90,2,,1,1,2,,Ghilane Chaalali,7.22
64,2,es,160,,,2,2,1,,Nacho,7.21
65,3,pe,259,,,1,7,,,André Carrillo,7.20
66,1,fr,90,,,,,,,Presnel Kimpembe,7.18
67,3,au,270,5,8,10,11,2,1,Aaron Mooy,7.17
68,5,br,450,,,,,12,1,Miranda,7.17
69,4,br,280,1,,4,15,8,,Marcelo,7.16
70,5,be,316,,,1,1,2,,Marouane Fellaini,7.15
71,3,pl,270,,,,,8,2,Grzegorz Krychowiak,7.14
72,2,ng,180,,,,,,,Kenneth Omeruo,7.14
73,7,fr,630,,,,,19,3,Raphael Varane,7.14
74,4,dk,390,5,12,5,23,3,,Christian Eriksen,7.14
75,4,co,310,3,3,2,8,7,2,Juan Quintero,7.14
76,1,ma,82,,,,1,,,Amine Harit,7.13
77,6,hr,547,,,1,14,,,Ante Rebic,7.13
78,7,be,630,,,,,6,4,Thibaut Courtois,7.12
79,3,kr,270,4,1,1,4,,,Lee Jae-Sung,7.12
80,7,hr,632,,,4,26,,,Ivan Perisic,7.12
81,4,es,320,,,,1,,,Diego Costa,7.12
82,1,fr,90,,,,,1,1,Steve Mandanda,7.11
83,3,ar,216,1,3,2,7,3,,Éver Banega,7.11
84,3,pe,270,,,,3,2,1,Luis Advíncula,7.10
85,6,be,476,,,1,,,,Romelu Lukaku,7.10
86,4,ch,351,4,6,5,18,,,Xherdan Shaqiri,7.10
87,5,uy,450,,,3,2,,,Luis Suárez,7.09
88,3,cr,255,,,2,2,1,,Cristian Gamboa,7.09
89,2,br,170,,,1,,3,,Filipe Luís,7.09
90,1,ma,18,,,,,,,Youssef En-Nesyri,7.09
91,3,rs,263,2,,6,4,2,1,Dusan Tadic,7.08
92,6,fr,540,,,3,7,2,,Benjamin Pavard,7.08
93,4,ch,360,5,11,11,27,3,1,Ricardo Rodríguez,7.07
94,4,pt,360,1,,5,16,6,,Raphael Guerreiro,7.07
95,6,hr,630,,,,1,11,1,Domagoj Vida,7.06
96,3,hr,103,,,,1,1,,Milan Badelj,7.06
97,4,mx,315,4,2,4,5,1,,Carlos Vela,7.06
98,2,de,180,,,,1,2,,Mats Hummels,7.05
99,3,ma,256,,,3,7,,,Nordin Amrabat,7.05
100,1,uy,90,,,,,1,,Sebastián Coates,7.05
101,4,jp,308,,,,4,,,Yuya Osako,7.05
102,4,jp,292,3,1,,5,2,,Takashi Inui,7.04
103,5,ru,510,,,1,1,3,3,Ilya Kutepov,7.04
104,7,fr,595,,,,1,1,,N'Golo Kanté,7.04
105,3,ir,270,,,,,4,11,Alireza Beiranvand,7.03
106,3,ng,270,2,3,3,13,,3,Victor Moses,7.03
107,4,pt,360,,,,1,14,2,Pepe,7.03
108,6,hr,607,,,7,27,3,,Sime Vrsaljko,7.03
109,2,tn,156,,,,8,4,,Hamdi Nagguez,7.03
110,1,pl,90,,,,,1,,Artur Jedrzejczyk,7.02
111,1,ng,90,,,,,1,,Gary Cahill,7.02
112,1,sn,90,,,,,,,Lamine Gassama,7.02
113,1,kr,90,,,,,,,Yun Young-Sun,7.02
114,4,es,390,,,,,5,,Sergio Busquets,7.02
115,5,ng,495,,,,2,4,,Kyle Walker,7.01
116,3,kr,270,,,2,4,,1,Lee Yong,7.01
117,4,dk,368,,,,1,1,,Thomas Delaney,7.00
118,3,ir,270,,,3,5,4,1,Ramin Rezaeian,6.99
119,4,br,360,,,2,3,7,,Fagner,6.99
120,3,au,270,,,1,,2,,Mile Jedinak,6.99
121,3,co,152,1,4,,5,3,,James Rodríguez,6.98
122,4,es,390,,,,,4,2,Gerard Piqué,6.98
123,2,eg,180,,,,3,,,Mohamed Salah,6.98
124,4,ar,360,,,,,6,,Nicolás Otamendi,6.98
125,3,pe,208,,,,1,,,Paolo Guerrero,6.98
126,3,sa,270,5,5,5,12,5,,Salman Al Faraj,6.98
127,4,co,390,,,,,6,8,David Ospina,6.98
128,3,be,270,,,,,1,,Dedryck Boyata,6.97
129,7,fr,590,,,3,7,2,1,Lucas Hernández,6.97
130,5,se,400,,,,3,,,Ola Toivonen,6.97
131,2,uy,180,,,1,2,3,,Guillermo Varela,6.97
132,5,ru,510,,,,,9,3,Sergei Ignashevich,6.96
133,6,be,328,2,5,4,13,,,Nacer Chadli,6.96
134,5,se,421,,,,,3,,Albin Ekdal,6.96
135,3,jp,47,1,3,1,3,3,,Keisuke Honda,6.96
136,5,br,362,5,8,4,19,,,Willian,6.96
137,3,pt,185,3,,4,1,2,,João Moutinho,6.96
138,3,rs,270,,,,,3,,Nikola Milenkovic,6.94
139,3,dk,269,,,,2,,,Yussuf Poulsen,6.94
140,4,mx,335,,,,8,1,,Jesús Gallardo,6.94
141,2,de,136,1,,,,,,Julian Draxler,6.94
142,3,jp,246,,,1,1,,,Genki Haraguchi,6.93
143,4,pt,360,,,,1,6,1,José Fonte,6.93
144,6,be,540,,,1,,10,1,Axel Witsel,6.93
145,3,sa,244,,,,,7,,Abdullah Otayf,6.93
