Default1,Default2,Flag,dispossessed,minsPlayed,player-link,rating   sorted,turnover
1,6,be,13,518,Eden Hazard,8.53,13
2,3,co,,300,Yerry Mina,8.35,1
3,4,es,11,390,Isco,8.29,8
4,5,br,27,450,Neymar,8.25,20
5,1,eg,,90,Essam El Hadary,8.23,
6,6,ng,3,576,Kieran Trippier,7.96,6
7,4,ar,16,360,Lionel Messi,7.87,9
8,1,tn,,90,Oussama Haddadi,7.82,
9,3,ng,1,270,Wilfred Ndidi,7.77,4
10,7,fr,14,534,Kylian Mbappé,7.75,21
11,4,uy,9,344,Edinson Cavani,7.75,10
12,2,br,1,77,Douglas Costa,7.73,3
13,1,hr,,90,Lovre Kalinic,7.73,
14,4,pt,6,360,Cristiano Ronaldo,7.73,11
15,1,be,2,86,Adnan Januzaj,7.67,2
16,6,ng,7,573,Harry Kane,7.67,8
17,4,br,1,330,Casemiro,7.66,2
18,6,be,11,540,Kevin De Bruyne,7.65,8
19,1,pl,2,80,Rafal Kurzawa,7.61,1
20,3,kr,,270,Cho Hyun-Woo,7.60,
21,5,br,8,436,Coutinho,7.60,9
22,1,pl,,90,Lukasz Fabianski,7.57,
23,5,se,,450,Andreas Granqvist,7.54,1
24,1,cr,,90,Kendall Waston,7.53,
25,6,hr,8,609,Mario Mandzukic,7.53,9
26,3,ng,6,270,Oghenekaro Etebo,7.52,4
27,4,uy,,360,José Giménez,7.52,1
28,7,fr,8,571,Antoine Griezmann,7.51,8
29,4,dk,,390,Kasper Schmeichel,7.51,
30,4,ru,10,402,Aleksandr Golovin,7.50,10
31,6,fr,12,539,Paul Pogba,7.49,11
32,3,tn,2,264,Wahbi Khazri,7.49,7
33,7,hr,10,694,Luka Modric,7.48,9
34,3,de,,270,Toni Kroos,7.47,4
35,2,rs,,180,Branislav Ivanovic,7.47,
36,3,is,7,270,Gylfi Sigurdsson,7.44,6
37,3,kr,4,270,Son Heung-Min,7.43,9
38,5,ru,1,472,Mario Fernandes,7.42,6
39,5,ru,10,333,Artem Dzyuba,7.39,13
40,3,ng,5,208,Ahmed Musa,7.39,9
41,5,se,10,434,Viktor Claesson,7.38,5
42,5,be,3,450,Thomas Meunier,7.36,7
43,4,mx,7,317,Hirving Lozano,7.34,7
44,3,sn,,247,M'Baye Niang,7.34,9
45,7,hr,9,638,Ivan Rakitic,7.33,8
