Default1,Default2,Flag,minsPlayed,player-link,rating   sorted,shotHead,shotLeftFoot,shotObp,shotRightFoot,shotsTotal
1,6,be,518,Eden Hazard,8.53,,6,,11,17
2,3,co,300,Yerry Mina,8.35,3,,,,3
3,4,es,390,Isco,8.29,1,1,,7,9
4,5,br,450,Neymar,8.25,1,5,,20,26
5,1,eg,90,Essam El Hadary,8.23,,,,,
6,6,ng,576,Kieran Trippier,7.96,,,,3,3
7,4,ar,360,Lionel Messi,7.87,,15,,3,18
8,1,tn,90,Oussama Haddadi,7.82,,,,,
9,3,ng,270,Wilfred Ndidi,7.77,,,,3,3
10,7,fr,534,Kylian Mbappé,7.75,1,1,,6,8
11,4,uy,344,Edinson Cavani,7.75,2,5,,9,16
12,2,br,77,Douglas Costa,7.73,,2,,2,4
13,1,hr,90,Lovre Kalinic,7.73,,,,,
14,4,pt,360,Cristiano Ronaldo,7.73,1,1,,19,21
15,1,be,86,Adnan Januzaj,7.67,,4,,,4
16,6,ng,573,Harry Kane,7.67,3,,,11,14
17,4,br,330,Casemiro,7.66,1,,,3,4
18,6,be,540,Kevin De Bruyne,7.65,,1,,12,13
19,1,pl,80,Rafal Kurzawa,7.61,,1,,1,2
20,3,kr,270,Cho Hyun-Woo,7.60,,,,,
21,5,br,436,Coutinho,7.60,,2,,21,23
22,1,pl,90,Lukasz Fabianski,7.57,,,,,
23,5,se,450,Andreas Granqvist,7.54,3,,,3,6
24,1,cr,90,Kendall Waston,7.53,1,,,,1
25,6,hr,609,Mario Mandzukic,7.53,4,2,,6,12
26,3,ng,270,Oghenekaro Etebo,7.52,,,,7,7
27,4,uy,360,José Giménez,7.52,3,,,,3
28,7,fr,571,Antoine Griezmann,7.51,1,14,,7,22
29,4,dk,390,Kasper Schmeichel,7.51,,,,,
30,4,ru,402,Aleksandr Golovin,7.50,,,,3,3
31,6,fr,539,Paul Pogba,7.49,1,1,,5,7
32,3,tn,264,Wahbi Khazri,7.49,,,,11,11
33,7,hr,694,Luka Modric,7.48,,1,,10,11
34,3,de,270,Toni Kroos,7.47,,5,,10,15
35,2,rs,180,Branislav Ivanovic,7.47,,,,,
36,3,is,270,Gylfi Sigurdsson,7.44,,1,,8,9
37,3,kr,270,Son Heung-Min,7.43,,5,,8,13
38,5,ru,472,Mario Fernandes,7.42,1,,,,1
39,5,ru,333,Artem Dzyuba,7.39,4,1,,3,8
40,3,ng,208,Ahmed Musa,7.39,,,,4,4
41,5,se,434,Viktor Claesson,7.38,1,1,,4,6
42,5,be,450,Thomas Meunier,7.36,,1,,5,6
43,4,mx,317,Hirving Lozano,7.34,,2,,11,13
44,3,sn,247,M'Baye Niang,7.34,,3,,5,8
45,7,hr,638,Ivan Rakitic,7.33,,4,,11,15
46,2,cr,113,Joel Campbell,7.32,,3,,,3
47,3,sa,270,Salem Al Dawsari,7.32,,,,7,7
48,5,br,450,Thiago Silva,7.31,4,,1,2,7
49,2,kr,180,Ki Sung-yueng,7.31,1,,,2,3
50,1,pa,21,Felipe Baloy,7.30,,,,1,1
51,4,mx,360,Guillermo Ochoa,7.29,,,,,
52,4,co,331,Juan Cuadrado,7.29,,,,6,6
53,5,uy,450,Diego Godín,7.28,1,1,,1,3
54,4,se,352,Mikael Lustig,7.28,,,,1,1
55,7,ng,646,John Stones,7.28,5,1,,,6
56,5,ru,304,Denis Cheryshev,7.27,2,8,,3,13
57,2,be,97,Thorgan Hazard,7.25,,,,3,3
58,4,dk,390,Henrik Dalsgaard,7.23,,,,,
59,5,ru,510,Roman Zobnin,7.23,1,1,,5,7
60,7,ng,645,Harry Maguire,7.22,9,1,1,,11
61,3,rs,269,Aleksandar Mitrovic,7.22,9,1,,4,14
62,1,fr,90,Djibril Sidibe,7.22,,,,,
63,1,tn,90,Ghilane Chaalali,7.22,,,,1,1
64,2,es,160,Nacho,7.21,,,,1,1
65,3,pe,259,André Carrillo,7.20,,1,,2,3
66,1,fr,90,Presnel Kimpembe,7.18,,,,,
67,3,au,270,Aaron Mooy,7.17,,1,,2,3
68,5,br,450,Miranda,7.17,,,,1,1
69,4,br,280,Marcelo,7.16,,4,,1,5
70,5,be,316,Marouane Fellaini,7.15,2,1,,2,5
71,3,pl,270,Grzegorz Krychowiak,7.14,1,,,1,2
72,2,ng,180,Kenneth Omeruo,7.14,,,,,
73,7,fr,630,Raphael Varane,7.14,4,,,,4
74,4,dk,390,Christian Eriksen,7.14,,4,,8,12
75,4,co,310,Juan Quintero,7.14,,8,,,8
76,1,ma,82,Amine Harit,7.13,,,,3,3
77,6,hr,547,Ante Rebic,7.13,1,5,,9,15
78,7,be,630,Thibaut Courtois,7.12,,,,,
79,3,kr,270,Lee Jae-Sung,7.12,1,5,,,6
80,7,hr,632,Ivan Perisic,7.12,3,10,,9,22
81,4,es,320,Diego Costa,7.12,2,2,,6,10
82,1,fr,90,Steve Mandanda,7.11,,,,,
83,3,ar,216,Éver Banega,7.11,,1,,2,3
84,3,pe,270,Luis Advíncula,7.10,,2,,1,3
85,6,be,476,Romelu Lukaku,7.10,5,5,,3,13
86,4,ch,351,Xherdan Shaqiri,7.10,,13,,,13
87,5,uy,450,Luis Suárez,7.09,,3,,9,12
88,3,cr,255,Cristian Gamboa,7.09,,1,,2,3
89,2,br,170,Filipe Luís,7.09,,1,,,1
90,1,ma,18,Youssef En-Nesyri,7.09,1,,,,1
91,3,rs,263,Dusan Tadic,7.08,,2,,1,3
92,6,fr,540,Benjamin Pavard,7.08,,,,4,4
93,4,ch,360,Ricardo Rodríguez,7.07,,3,,4,7
94,4,pt,360,Raphael Guerreiro,7.07,,4,,,4
95,6,hr,630,Domagoj Vida,7.06,3,,,,3
96,3,hr,103,Milan Badelj,7.06,,,,2,2
97,4,mx,315,Carlos Vela,7.06,1,9,,,10
98,2,de,180,Mats Hummels,7.05,2,2,1,1,6
99,3,ma,256,Nordin Amrabat,7.05,,,,1,1
100,1,uy,90,Sebastián Coates,7.05,,,,,
101,4,jp,308,Yuya Osako,7.05,3,3,,1,7
102,4,jp,292,Takashi Inui,7.04,1,,,7,8
103,5,ru,510,Ilya Kutepov,7.04,1,,,,1
104,7,fr,595,N'Golo Kanté,7.04,,,,1,1
105,3,ir,270,Alireza Beiranvand,7.03,,,,,
106,3,ng,270,Victor Moses,7.03,,2,,5,7
107,4,pt,360,Pepe,7.03,3,,,,3
108,6,hr,607,Sime Vrsaljko,7.03,,,,5,5
109,2,tn,156,Hamdi Nagguez,7.03,,,,,
110,1,pl,90,Artur Jedrzejczyk,7.02,1,,,,1
111,1,ng,90,Gary Cahill,7.02,,,,,
112,1,sn,90,Lamine Gassama,7.02,,,,,
113,1,kr,90,Yun Young-Sun,7.02,,,,,
114,4,es,390,Sergio Busquets,7.02,2,1,,1,4
115,5,ng,495,Kyle Walker,7.01,,,,,
116,3,kr,270,Lee Yong,7.01,,,,1,1
117,4,dk,368,Thomas Delaney,7.00,1,3,,,4
118,3,ir,270,Ramin Rezaeian,6.99,,,,1,1
119,4,br,360,Fagner,6.99,,,,,
120,3,au,270,Mile Jedinak,6.99,2,,,4,6
121,3,co,152,James Rodríguez,6.98,,3,,,3
122,4,es,390,Gerard Piqué,6.98,5,2,,2,9
123,2,eg,180,Mohamed Salah,6.98,,6,,,6
124,4,ar,360,Nicolás Otamendi,6.98,3,,,1,4
125,3,pe,208,Paolo Guerrero,6.98,3,2,,2,7
126,3,sa,270,Salman Al Faraj,6.98,,3,,,3
127,4,co,390,David Ospina,6.98,,,,,
128,3,be,270,Dedryck Boyata,6.97,,,,,
129,7,fr,590,Lucas Hernández,6.97,,4,,1,5
130,5,se,400,Ola Toivonen,6.97,1,1,,2,4
131,2,uy,180,Guillermo Varela,6.97,,,,,
132,5,ru,510,Sergei Ignashevich,6.96,1,,,1,2
133,6,be,328,Nacer Chadli,6.96,1,1,,1,3
134,5,se,421,Albin Ekdal,6.96,,,,3,3
135,3,jp,47,Keisuke Honda,6.96,,4,,,4
136,5,br,362,Willian,6.96,,3,,2,5
137,3,pt,185,João Moutinho,6.96,,,,,
138,3,rs,270,Nikola Milenkovic,6.94,,,,,
139,3,dk,269,Yussuf Poulsen,6.94,1,1,,,2
140,4,mx,335,Jesús Gallardo,6.94,,1,,,1
141,2,de,136,Julian Draxler,6.94,,1,,5,6
142,3,jp,246,Genki Haraguchi,6.93,,1,,2,3
143,4,pt,360,José Fonte,6.93,2,,,1,3
144,6,be,540,Axel Witsel,6.93,,2,,4,6
145,3,sa,244,Abdullah Otayf,6.93,,,,2,2
146,5,se,417,Emil Forsberg,6.93,,3,,11,14
147,6,ng,528,Jesse Lingard,6.93,,3,,14,17
148,2,de,180,Mesut Özil,6.93,,2,,,2
149,6,be,540,Toby Alderweireld,6.93,,1,,4,5
150,5,se,428,Marcus Berg,6.93,3,5,,7,15
151,3,pl,225,Jan Bednarek,6.93,,,,1,1
152,2,ma,180,Nabil Dirar,6.93,,,,1,1
153,3,is,264,Alfred Finnbogason,6.92,,1,1,3,5
154,2,ma,141,Khalid Boutaïb,6.92,1,2,,,3
155,5,br,407,Gabriel Jesus,6.92,3,3,,3,9
156,2,de,165,Jonas Hector,6.92,,2,,,2
157,3,eg,270,Ahmed Hegazi,6.91,,,,,
158,3,uy,123,Carlos Sánchez,6.90,1,,,1,2
159,3,co,182,Mateus Uribe,6.90,,,,2,2
160,3,pe,138,Pedro Aquino,6.90,,,,1,1
161,2,ar,146,Eduardo Salvio,6.90,,1,,,1
162,2,se,95,Pontus Jansson,6.90,1,,,,1
163,4,co,390,Davinson Sánchez,6.89,2,,,,2
164,4,ng,274,Ruben Loftus-Cheek,6.89,2,1,,,3
165,4,jp,341,Gaku Shibasaki,6.89,1,,,,1
166,3,ch,267,Stephan Lichtsteiner,6.88,,1,,1,2
167,4,mx,360,Héctor Herrera,6.88,,2,,3,5
168,6,be,540,Jan Vertonghen,6.88,1,1,,,2
169,3,de,270,Joshua Kimmich,6.87,,2,,1,3
170,3,rs,270,Vladimir Stojkovic,6.87,,,,,
171,5,uy,365,Rodrigo Bentancur,6.87,,2,,1,3
172,1,co,90,Óscar Murillo,6.87,1,,,,1
173,4,co,386,Santiago Arias,6.87,,,,1,1
174,4,ru,267,Yuri Gazinskiy,6.86,1,,,1,2
175,5,uy,304,Lucas Torreira,6.86,,,,2,2
176,3,ar,270,Gabriel Mercado,6.86,,1,,,1
177,3,sn,196,Moussa Wagué,6.86,,,,1,1
178,3,rs,270,Nemanja Matic,6.86,,2,,1,3
179,1,sn,81,Badou Ndiaye,6.86,,,,1,1
180,3,tn,270,Fakhreddine Ben Youssef,6.86,3,,,4,7
181,3,ng,268,John Obi Mikel,6.86,,,,,
182,3,sn,270,Salif Sané,6.86,3,,,2,5
183,2,uy,86,Giorgian de Arrascaeta,6.86,,1,,,1
184,3,ng,270,Leon Balogun,6.85,4,,,,4
185,3,ir,270,Sardar Azmoun,6.85,2,,,2,4
186,3,ru,222,Yuri Zhirkov,6.85,,2,,,2
187,4,jp,360,Maya Yoshida,6.85,2,,,,2
188,1,ir,68,Masoud Shojaei,6.85,,,,,
189,4,ch,360,Manuel Akanji,6.85,,1,,,1
190,3,kr,270,Kim Young-Gwon,6.84,,1,,,1
191,4,ch,360,Granit Xhaka,6.84,,4,,,4
192,3,pe,270,Miguel Trauco,6.84,,,,,
193,5,se,450,Robin Olsen,6.84,,,,,
194,4,es,284,Andrés Iniesta,6.84,,3,,2,5
195,4,jp,360,Hiroki Sakai,6.84,,,,2,2
196,3,jp,270,Gen Shoji,6.83,,,,1,1
197,2,rs,180,Dusko Tosic,6.83,1,,,,1
198,1,sn,80,Keita,6.83,,,,1,1
199,2,pe,135,Ánderson Santamaría,6.82,,,,,
200,2,ru,42,Alan Dzagoev,6.82,,,,1,1
201,3,rs,270,Aleksandar Kolarov,6.82,,2,,,2
202,2,pl,180,Jacek Goralski,6.82,,,,1,1
203,5,uy,416,Matías Vecino,6.82,1,,,3,4
204,3,ar,226,Marcos Rojo,6.82,1,1,,1,3
205,3,pt,116,Ricardo Quaresma,6.82,,,,5,5
206,5,se,450,Ludwig Augustinsson,6.81,,2,,1,3
207,4,mx,330,Chicharito,6.81,3,1,,3,7
208,1,g,90,Rami Bedoui,6.81,,,,,
209,4,be,175,Youri Tielemans,6.81,,,,4,4
210,7,fr,546,Olivier Giroud,6.81,2,10,,1,13
211,3,cr,270,Keylor Navas,6.81,,,,,
212,3,sn,270,Sadio Mané,6.81,,2,,1,3
213,2,mx,180,Hugo Ayala,6.81,,,,,
214,3,eg,239,Trézéguet,6.80,1,,,7,8
215,5,ng,463,Ashley Young,6.80,,,,2,2
216,1,g,90,Rouzbeh Cheshmi,6.80,,,,1,1
217,3,co,269,Wilmar Barrios,6.80,,,,,
218,4,dk,232,Pione Sisto,6.80,,1,,3,4
219,4,es,327,David Silva,6.80,1,8,,1,10
220,2,ir,55,Milad Mohammadi,6.80,,,,,
221,2,ir,166,Saeid Ezatolahi,6.80,1,,,,1
222,3,es,229,Koke,6.79,,1,,1,2
223,3,ch,270,Fabian Schär,6.79,1,,,,1
224,2,tn,114,Dylan Bronn,6.79,1,,,,1
225,3,ch,253,Steven Zuber,6.78,2,,,2,4
226,3,au,270,Trent Sainsbury,6.78,1,,,,1
227,6,be,300,Dries Mertens,6.78,,,,7,7
228,6,fr,540,Samuel Umtiti,6.78,1,1,,,2
229,4,dk,390,Simon Kjaer,6.78,,,,,
230,4,uy,301,Diego Laxalt,6.78,,1,,,1
231,5,br,354,Paulinho,6.78,,1,,5,6
232,5,fr,336,Blaise Matuidi,6.77,1,4,,,5
233,3,cr,270,Celso Borges,6.77,1,,,4,5
234,2,rs,171,Luka Milivojevic,6.77,,,,,
235,2,ma,180,Romain Saïss,6.77,,,,,
236,4,co,377,Radamel Falcao,6.76,3,1,,4,8
237,6,hr,459,Marcelo Brozovic,6.75,,1,,3,4
238,2,is,180,Kári Árnason,6.74,,,,,
239,3,dk,270,Jens Stryger Larsen,6.74,1,,,1,2
240,5,hr,183,Mateo Kovacic,6.73,1,,,3,4
241,3,es,230,Daniel Carvajal,6.73,,1,,1,2
242,3,ma,265,Hakim Ziyech,6.73,,8,,1,9
243,2,kr,96,Hong Chul,6.73,,,,,
244,7,hr,651,Dejan Lovren,6.72,4,,,2,6
245,4,es,390,Sergio Ramos,6.72,1,,,4,5
246,3,kr,203,Hwang Hee-Chan,6.72,1,,,1,2
247,3,de,207,Thomas Müller,6.72,2,1,,1,4
248,5,ng,482,Jordan Henderson,6.71,,,,4,4
249,1,ch,90,Johan Djourou,6.71,1,,,,1
250,2,pl,180,Maciej Rybus,6.71,,1,,,1
251,3,au,270,Mathew Leckie,6.71,5,3,1,1,10
252,5,be,376,Vincent Kompany,6.71,2,,,2,4
253,4,ar,360,Javier Mascherano,6.71,,,,1,1
254,4,mx,314,Miguel Layún,6.71,,1,,8,9
255,4,ar,178,Sergio Agüero,6.71,1,2,,3,6
256,4,mx,360,Carlos Salcedo,6.70,3,,,2,5
257,3,jp,232,Shinji Kagawa,6.70,,2,,1,3
258,2,es,94,Thiago Alcántara,6.70,,1,,1,2
259,3,ir,266,Vahid Amiri,6.69,,2,,,2
260,1,jp,90,Tomoaki Makino,6.69,1,,,1,2
261,2,sa,136,Hussain Al-Mogahwi,6.69,1,,,4,5
262,4,dk,307,Andreas Christensen,6.68,,,,,
263,5,ng,364,Dele Alli,6.68,4,1,,,5
264,6,hr,511,Ivan Strinic,6.68,,,,,
265,3,dk,219,Lasse Schöne,6.68,,,,4,4
266,1,de,90,Antonio Rüdiger,6.67,,,,,
267,2,is,153,Johann Berg Gudmundsson,6.67,,3,,,3
268,4,pt,360,William Carvalho,6.67,,,,1,1
269,3,pt,270,Cédric Soares,6.66,,,,,
270,1,ng,79,Trent Alexander-Arnold,6.66,,,,1,1
271,4,es,390,Jordi Alba,6.66,,1,1,,2
272,3,ar,237,Ángel Di María,6.66,,2,,1,3
273,4,co,390,Johan Mojica,6.65,,1,,,1
274,4,ch,134,Breel Embolo,6.65,2,1,,2,5
275,1,fr,90,Thomas Lemar,6.65,,1,,,1
276,3,dk,163,Andreas Cornelius,6.64,,,1,,1
277,3,pe,270,Christian Ramos,6.64,,,,,
278,4,pt,261,João Mário,6.64,,,,1,1
279,2,ma,180,Medhi Benatia,6.64,1,3,1,,5
280,3,g,202,Mehdi Taremi,6.64,2,1,,,3
281,3,be,113,Michy Batshuayi,6.64,,6,,2,8
282,4,ch,326,Blerim Dzemaili,6.64,,2,,6,8
283,3,ma,228,Younès Belhanda,6.64,3,1,,2,6
284,4,mx,307,Andrés Guardado,6.64,,5,,1,6
285,3,kr,127,Jung Woo-Young,6.63,,,,3,3
286,2,ch,114,Mario Gavranovic,6.63,1,,,3,4
287,1,tn,15,Mouez Hassen,6.63,,,,,
288,4,se,360,Victor Lindelöf,6.62,,,,,
289,4,jp,360,Yuto Nagatomo,6.62,,,,1,1
290,5,uy,293,Nahitan Nández,6.62,,1,,,1
291,1,de,63,Leon Goretzka,6.62,2,,,,2
292,4,be,239,Yannick Carrasco,6.62,,,,6,6
293,2,cr,180,Óscar Duarte,6.62,1,,,,1
294,5,uy,450,Martín Cáceres,6.62,3,,,4,7
295,2,pe,150,Renato Tapia,6.62,,,,1,1
296,5,ru,359,Aleksandr Samedov,6.61,,,,2,2
297,4,ch,311,Valon Behrami,6.61,,1,,,1
298,3,au,226,Tomas Rogic,6.61,,5,,,5
299,6,fr,540,Hugo Lloris,6.60,,,,,
300,3,rs,270,Sergej Milinkovic-Savic,6.60,1,,,4,5
301,1,pl,90,Thiago Cionek,6.60,,,,,
302,3,ir,171,Alireza Jahanbakhsh,6.60,,,,2,2
303,3,cr,270,Giancarlo González,6.60,2,,,,2
304,1,pa,90,Adolfo Machado,6.59,,,,,
305,3,dk,219,Zanka,6.59,,1,,,1
306,2,pa,108,Ricardo Avila,6.59,,1,,,1
307,1,tn,49,Yohan Benalouane,6.59,,,,,
308,2,pe,130,Jefferson Farfán,6.59,,1,,3,4
309,6,ng,456,Raheem Sterling,6.59,1,3,,6,10
310,1,tn,90,Aymen Mathlouthi,6.58,,,,,
311,1,br,90,Danilo,6.58,,,,,
312,1,be,90,Leander Dendoncker,6.58,,,,,
313,3,eg,232,Abdallah El Said,6.58,,,,2,2
314,2,pl,170,Michal Pazdan,6.58,,,,,
315,3,pe,242,Edison Flores,6.57,,4,,,4
316,3,is,270,Hannes Thór Halldórsson,6.57,,,,,
317,3,dk,212,Nicolai Jørgensen,6.57,1,1,,2,4
318,1,de,90,Niklas Süle,6.57,1,,,,1
319,3,ma,270,Achraf Hakimi,6.57,,,,1,1
320,4,pt,238,Bernardo Silva,6.57,1,,,1,2
321,3,ir,178,Karim Ansarifard,6.56,,2,,2,4
322,3,pl,169,Bartosz Bereszynski,6.56,,,,,
323,3,tn,270,Ellyes Skhiri,6.56,,,,,
324,4,ar,208,Maximiliano Meza,6.56,,2,,1,3
325,3,eg,270,Mohamed Shafy,6.56,,,,,
326,3,pe,270,Pedro Gallese,6.56,,,,,
327,3,sa,270,Yasir Al Shahrani,6.55,1,,,4,5
328,1,hr,90,Duje Caleta-Car,6.55,,,,,
329,3,ir,270,Morteza Pouraliganji,6.55,,,,,
330,2,tn,166,Farouk Ben Mustapha,6.55,,,,,
331,3,au,270,Mark Milligan,6.54,,,,,
332,7,ng,690,Jordan Pickford,6.54,,,,,
333,4,hr,119,Vedran Corluka,6.54,,,,,
334,3,sn,270,Idrissa Gueye,6.54,,,,2,2
335,2,de,118,Sami Khedira,6.54,1,,,2,3
336,3,ir,215,Ehsan Haji Safi,6.53,,1,,1,2
337,4,mx,267,Edson Álvarez,6.53,,,,,
338,3,is,253,Aron Gunnarsson,6.53,1,,,1,2
339,3,ng,270,Francis Uzoho,6.53,,,,,
340,1,pa,45,Harold Cummings,6.53,,,,,
341,1,de,59,Ilkay Gündogan,6.53,,,,1,1
342,1,is,71,Jón Dadi Bödvarsson,6.53,,,,,
343,3,tn,182,Naim Sliti,6.53,,1,,5,6
344,3,ir,260,Omid Ebrahimi,6.53,,,,1,1
345,4,ng,220,Fabian Delph,6.53,,2,,1,3
346,4,pt,245,Gonçalo Guedes,6.53,1,1,,3,5
347,3,se,132,Gustav Svensson,6.53,,,,,
348,3,is,226,Ragnar Sigurdsson,6.53,,,,,
349,5,fr,141,Steven N'Zonzi,6.53,,,,,
350,5,ru,510,Igor Akinfeev,6.52,,,,,
351,3,br,50,Renato Augusto,6.52,1,1,,1,3
352,4,jp,360,Eiji Kawashima,6.52,,,,,
353,2,g,85,Ju Se-Jong,6.52,,,,,
354,3,sn,270,Ismaila Sarr,6.51,,1,,2,3
355,3,ng,226,Brian Idowu,6.51,,,,,
356,1,pe,27,Paolo Hurtado,6.51,,,,,
357,4,br,82,Roberto Firmino,6.51,2,1,,4,7
358,3,ma,270,Moubarak Boussoufa,6.51,,,,,
359,3,de,211,Marco Reus,6.51,,2,,4,6
360,2,sn,152,Alfred N'Diaye,6.50,1,,,,1
361,2,cr,180,Bryan Oviedo,6.50,,3,,,3
362,3,is,270,Hördur Björgvin Magnússon,6.50,1,1,,,2
363,4,hr,200,Josip Pivaric,6.50,,2,,,2
364,3,eg,147,Amr Warda,6.50,,1,,1,2
365,3,mx,270,Héctor Moreno,6.50,2,,,,2
366,3,eg,209,Marwan Mohsen,6.49,2,,,1,3
367,7,hr,332,Andrej Kramaric,6.49,2,2,,7,11
368,2,co,91,Luis Muriel,6.49,,1,,,1
369,3,cr,246,David Guzmán,6.49,,,,1,1
370,3,de,88,Mario Gomez,6.49,4,,,1,5
371,2,is,115,Sverrir Ingi Ingason,6.49,3,,,,3
372,2,pl,100,Kamil Glik,6.48,1,,,,1
373,2,ng,180,Phil Jones,6.48,,,,,
374,3,pl,213,Kamil Grosicki,6.48,3,1,,1,5
375,3,ng,148,Kelechi Iheanacho,6.48,,3,,,3
376,2,cr,106,Francisco Calvo,6.48,,,,1,1
377,3,pl,259,Piotr Zielinski,6.47,,3,,1,4
