Default1,Default2,Flag,challengeLost,minsPlayed,player-link,rating   sorted,shotOboxTotal,shotPenaltyArea,shotSixYardBox,shotsTotal,tackleTotalAttempted,tackleWonTotal
1,6,be,,518,Eden Hazard,8.53,0.3,2.5,,2.8,,
2,3,co,,300,Yerry Mina,8.35,,0.7,0.3,1,,
3,4,es,,390,Isco,8.29,1.3,1,,2.3,,
4,5,br,,450,Neymar,8.25,2,2.8,0.4,5.2,,
5,1,eg,,90,Essam El Hadary,8.23,,,,,,
6,6,ng,,576,Kieran Trippier,7.96,0.5,,,0.5,,
7,4,ar,,360,Lionel Messi,7.87,2.5,1.8,0.3,4.5,,
8,1,tn,,90,Oussama Haddadi,7.82,,,,,,
9,3,ng,,270,Wilfred Ndidi,7.77,1,,,1,,
10,7,fr,,534,Kylian Mbappé,7.75,0.1,0.9,0.1,1.1,,
11,4,uy,2,344,Edinson Cavani,7.75,,,,,8,6
12,2,br,,77,Douglas Costa,7.73,,,,,2,2
13,1,hr,,90,Lovre Kalinic,7.73,,,,,,
14,4,pt,1,360,Cristiano Ronaldo,7.73,,,,,1,
15,1,be,3,86,Adnan Januzaj,7.67,,,,,3,
16,6,ng,2,573,Harry Kane,7.67,,,,,3,1
17,4,br,7,330,Casemiro,7.66,,,,,24,17
18,6,be,8,540,Kevin De Bruyne,7.65,,,,,18,10
19,1,pl,,80,Rafal Kurzawa,7.61,,,,,2,2
20,3,kr,,270,Cho Hyun-Woo,7.60,,,,,,
21,5,br,6,436,Coutinho,7.60,,,,,12,6
22,1,pl,,90,Lukasz Fabianski,7.57,,,,,,
23,5,se,1,450,Andreas Granqvist,7.54,,,,,5,4
24,1,cr,1,90,Kendall Waston,7.53,,,,,1,
25,6,hr,3,609,Mario Mandzukic,7.53,,,,,15,12
26,3,ng,3,270,Oghenekaro Etebo,7.52,,,,,14,11
27,4,uy,2,360,José Giménez,7.52,,,,,11,9
28,7,fr,11,571,Antoine Griezmann,7.51,,,,,21,10
29,4,dk,1,390,Kasper Schmeichel,7.51,,,,,1,
30,4,ru,7,402,Aleksandr Golovin,7.50,,,,,20,13
31,6,fr,9,539,Paul Pogba,7.49,,,,,22,13
32,3,tn,1,264,Wahbi Khazri,7.49,,,,,4,3
