,Spielername,PlayerHref,PlayerId,Position,Alter,Land,LandHref,LandId,ClubVorWM,PreWMClubHref,PreWMClubId,VorWMWert,NachWMWert,WertDifferenz,ClubJetzt,ClubJetztHref,ClubJetztId,Wertjetzt,WertdiffjetztProzent,Wertdiffjetzt
0,Yaya Touré,https://www.transfermarkt.de/yaya-toure/profil/spieler/13091,13091,Zentrales Mittelfeld,34,Elfenbeinküste,https://www.transfermarkt.de/elfenbeinkuste/startseite/verein/3591,3591,Manchester City,https://www.transfermarkt.de/manchester-city/startseite/verein/281,281,"30,00 Mio. €","30,00 Mio. €  ",+-0,Manchester City,https://www.transfermarkt.de/manchester-city/startseite/verein/281,281,"5,00 Mio. €  ","-83,3 %","-25,00 Mio. €"
1,Santi Cazorla,https://www.transfermarkt.de/santi-cazorla/profil/spieler/15799,15799,Zentrales Mittelfeld,33,Spanien,https://www.transfermarkt.de/spanien/startseite/verein/3375,3375,FC Arsenal,https://www.transfermarkt.de/fc-arsenal/startseite/verein/11,11,"30,00 Mio. €","26,00 Mio. €  ","-4,00 Mio. €",FC Arsenal,https://www.transfermarkt.de/fc-arsenal/startseite/verein/11,11,"5,00 Mio. €  ","-83,3 %","-25,00 Mio. €"
2,Jackson Martínez,https://www.transfermarkt.de/jackson-martinez/profil/spieler/74418,74418,Mittelstürmer,31,Kolumbien,https://www.transfermarkt.de/kolumbien/startseite/verein/3816,3816,FC Porto,https://www.transfermarkt.de/fc-porto/startseite/verein/720,720,"30,00 Mio. €","30,00 Mio. €  ",+-0,Vereinslos,https://www.transfermarkt.de/vereinslos/startseite/verein/515,515,"3,00 Mio. €  ","-90,0 %","-27,00 Mio. €"
3,Hulk,https://www.transfermarkt.de/hulk/profil/spieler/80562,80562,Rechtsaußen,31,Brasilien,https://www.transfermarkt.de/brasilien/startseite/verein/3439,3439,Zenit St. Petersburg,https://www.transfermarkt.de/zenit-st-petersburg/startseite/verein/964,964,"48,00 Mio. €","45,00 Mio. €  ","-3,00 Mio. €",Shanghai SIPG,https://www.transfermarkt.de/shanghai-east-asia/startseite/verein/27190,27190,"21,00 Mio. €  ","-56,3 %","-27,00 Mio. €"
4,Philipp Lahm,https://www.transfermarkt.de/philipp-lahm/profil/spieler/2219,2219,Rechter Verteidiger,34,Deutschland,https://www.transfermarkt.de/deutschland/startseite/verein/3262,3262,FC Bayern München,https://www.transfermarkt.de/fc-bayern-munchen/startseite/verein/27,27,"30,00 Mio. €","30,00 Mio. €  ",+-0,Karriereende,https://www.transfermarkt.de/karriereende/startseite/verein/123,123,-  ,"-100,0 %","-30,00 Mio. €"
5,Wayne Rooney,https://www.transfermarkt.de/wayne-rooney/profil/spieler/3332,3332,Hängende Spitze,32,England,https://www.transfermarkt.de/england/startseite/verein/3299,3299,Manchester United,https://www.transfermarkt.de/manchester-united/startseite/verein/985,985,"45,00 Mio. €","45,00 Mio. €  ",+-0,FC Everton,https://www.transfermarkt.de/fc-everton/startseite/verein/29,29,"15,00 Mio. €  ","-66,7 %","-30,00 Mio. €"
6,Thiago Silva,https://www.transfermarkt.de/thiago-silva/profil/spieler/29241,29241,Innenverteidiger,33,Brasilien,https://www.transfermarkt.de/brasilien/startseite/verein/3439,3439,FC Paris Saint-Germain,https://www.transfermarkt.de/fc-paris-saint-germain/startseite/verein/583,583,"40,00 Mio. €","40,00 Mio. €  ",+-0,FC Paris Saint-Germain,https://www.transfermarkt.de/fc-paris-saint-germain/startseite/verein/583,583,"10,00 Mio. €  ","-75,0 %","-30,00 Mio. €"
7,Andrés Iniesta,https://www.transfermarkt.de/andres-iniesta/profil/spieler/7600,7600,Zentrales Mittelfeld,33,Spanien,https://www.transfermarkt.de/spanien/startseite/verein/3375,3375,FC Barcelona,https://www.transfermarkt.de/fc-barcelona/startseite/verein/131,131,"55,00 Mio. €","45,00 Mio. €  ","-10,00 Mio. €",FC Barcelona,https://www.transfermarkt.de/fc-barcelona/startseite/verein/131,131,"20,00 Mio. €  ","-63,6 %","-35,00 Mio. €"
8,Mario Götze,https://www.transfermarkt.de/mario-gotze/profil/spieler/74842,74842,Offensives Mittelfeld,25,Deutschland,https://www.transfermarkt.de/deutschland/startseite/verein/3262,3262,FC Bayern München,https://www.transfermarkt.de/fc-bayern-munchen/startseite/verein/27,27,"55,00 Mio. €","48,00 Mio. €  ","-7,00 Mio. €",Borussia Dortmund,https://www.transfermarkt.de/borussia-dortmund/startseite/verein/16,16,"20,00 Mio. €  ","-63,6 %","-35,00 Mio. €"
9,Bastian Schweinsteiger,https://www.transfermarkt.de/bastian-schweinsteiger/profil/spieler/2514,2514,Zentrales Mittelfeld,33,Deutschland,https://www.transfermarkt.de/deutschland/startseite/verein/3262,3262,FC Bayern München,https://www.transfermarkt.de/fc-bayern-munchen/startseite/verein/27,27,"40,00 Mio. €","35,00 Mio. €  ","-5,00 Mio. €",Chicago Fire,https://www.transfermarkt.de/chicago-fire/startseite/verein/432,432,"3,00 Mio. €  ","-92,5 %","-37,00 Mio. €"
10,Robin van Persie,https://www.transfermarkt.de/robin-van-persie/profil/spieler/4380,4380,Mittelstürmer,34,Niederlande,https://www.transfermarkt.de/niederlande/startseite/verein/3379,3379,Manchester United,https://www.transfermarkt.de/manchester-united/startseite/verein/985,985,"40,00 Mio. €","33,00 Mio. €  ","-7,00 Mio. €",Feyenoord Rotterdam,https://www.transfermarkt.de/feyenoord-rotterdam/startseite/verein/234,234,"2,00 Mio. €  ","-95,0 %","-38,00 Mio. €"
