ClubVorWM,ligacountry
Club Atlético Newell's Old Boys,argentina
Club Atlético Boca Juniors,argentina
Club Atlético River Plate,argentina
Melbourne Victory,australia
Brisbane Roar,australia
SK Sturm Graz,austria
Cercle Brügge,belgium
Standard Lüttich,belgium
FC Brügge,belgium
Fluminense Rio de Janeiro,brazil
Clube Atlético Mineiro,brazil
Corinthians Sao Paulo,brazil
FC São Paulo,brazil
Flamengo Rio de Janeiro,brazil
SE Palmeiras São Paulo,brazil
Toronto FC,canada
Club Universidad de Chile,chile
Guangzhou Evergrande Taobao,china
Beijing Renhe,china
Deportivo Cali,colombia
HNK Hajduk Split,croatia
FC Kopenhagen,denmark
FC Chelsea,england
Tottenham Hotspur,england
Newcastle United,england
Swansea City,england
Bolton Wanderers,england
FC Arsenal,england
Queens Park Rangers,england
Cardiff City,england
Manchester United,england
FC Southampton,england
FC Liverpool,england
Manchester City,england
Aston Villa,england
Norwich City,england
FC Middlesbrough,england
West Ham United,england
West Bromwich Albion,england
FC Everton,england
Stoke City,england
AFC Sunderland,england
Hull City,england
FC Fulham,england
Leicester City,england
Crystal Palace,england
Wigan Athletic,england
Nottingham Forest,england
FC Stade Rennes,france
Olympique Marseille,france
FC Paris Saint-Germain,france
LOSC Lille,france
AS Monaco,france
FC Sochaux-Montbéliard,france
FC Évian Thonon Gaillard,france
FC Toulouse,france
OGC Nizza,france
FC Nantes,france
AS Saint-Étienne,france
Stade Reims,france
FC Lorient,france
Olympique Lyon,france
RC Lens,france
FC Schalke 04,germany
Hertha BSC,germany
VfL Wolfsburg,germany
Borussia Dortmund,germany
Hannover 96,germany
1.FSV Mainz 05,germany
Bayer 04 Leverkusen,germany
FC Augsburg,germany
FC Bayern München,germany
Borussia Mönchengladbach,germany
1.FC Nürnberg,germany
SC Freiburg,germany
Hamburger SV,germany
VfB Stuttgart,germany
Eintracht Braunschweig,germany
TSG 1899 Hoffenheim,germany
TSV 1860 München,germany
Fortuna Düsseldorf,germany
Eintracht Frankfurt,germany
FSV Frankfurt,germany
AS Nancy-Lorraine,germany
Olympiakos Piräus,greece
Panathinaikos Athen,greece
PAOK Thessaloniki,greece
SSC Neapel,italy
Udinese Calcio,italy
FC Genua 1893,italy
AS Rom,italy
Juventus Turin,italy
Inter Mailand,italy
Lazio Rom,italy
AC Mailand,italy
Parma Calcio 1913,italy
AC Florenz,italy
Atalanta Bergamo,italy
Cagliari Calcio,italy
Sampdoria Genua,italy
US Palermo,italy
FC Bologna,italy
AC Ajaccio,italy
AS Livorno,italy
FC Turin,italy
Kashiwa Reysol,japan
Sanfrecce Hiroshima,japan
Cerezo Osaka,japan
Kawasaki Frontale,japan
Gamba Osaka,japan
FC Tokyo,japan
ClubVorWM,ligacountry
CF Monterrey,mexico
NEC Nijmegen,netherlands
PSV Eindhoven,netherlands
Feyenoord Rotterdam,netherlands
Ajax Amsterdam,netherlands
SC Heerenveen,netherlands
AZ Alkmaar,netherlands
FC Utrecht,netherlands
FC Porto,portugal
Sporting Lissabon,portugal
Benfica Lissabon,portugal
Zenit St. Petersburg,russia
Spartak Moskau,russia
ZSKA Moskau,russia
Lokomotiv Moskau,russia
Dinamo Moskau,russia
Celtic Glasgow,scotland
Espanyol Barcelona,spain
Atlético Madrid,spain
FC Getafe,spain
FC Barcelona,spain
FC Sevilla,spain
Real Madrid,spain
Real Sociedad San Sebastián,spain
FC Valencia,spain
UD Almería,spain
UD Las Palmas,spain
FC Granada,spain
RCD Mallorca,spain
FC Villarreal,spain
CA Osasuna,spain
FC Basel 1893,switzerland
BSC Young Boys,switzerland
Grasshopper Club Zürich,switzerland
FC Luzern,switzerland
Esperance Tunis,tunisia
Club Africain Tunis,tunisia
Fenerbahce Istanbul,turkey
Besiktas Istanbul,turkey
Galatasaray Istanbul,turkey
Gaziantepspor,turkey
Dynamo Kiew,ukraine
Al Duhail Sports Club,unitedarabianemirtaes
Orlando Pirates,usa
Seattle Sounders FC,usa
Sporting Kansas City,usa
San Jose Earthquakes,usa
Real Salt Lake City,usa
Los Angeles Galaxy,usa
Houston Dynamo,usa
New York Red Bulls,usa
Newcastle United Jets,usa
New England Revolution,usa
Valenciennes FC ,france
Kuban Krasnodar,russia
Monarcas Morelia,mexico
Volyn Lutsk,ukraine
Waasland-Beveren,belgium
Sepahan FC,iran
Esteghlal FC,iran
Persepolis FC,iran
Tractor Sazi FC,iran
Trabzonspor,turkey
KSC Lokeren,belgium
FC Watford,england
ZSKA Sofia,bulgaria
GNK Dinamo Zagreb,croatia
Barcelona SC Guayaquil,ecuador
LD Alajuelense,costa rica
Deportivo Saprissa,costa rica
CS Herediano,costa rica
Sangju Sangmu FC,korea
