Country,Spielername_fifa,ClubVorWM,Continent,Confederation,MatchesPlayed_player,MinutesPlayed,Attempts_player_per_min,AttemptsOnTarget_player_per_min,AttemptsOffTarget_player_per_min,Woodwork_player_per_min,AttemptsInArea_player_per_min,AttemptsOutsideArea_player_per_min,AttemptsInArea_ON_player_per_min,AttemptsOutsideArea_ON_player_per_min,PassesAttempted_player_per_min,PassesCompletedAbs_player_per_min,CrossesAttempted_player_per_min,CrossesCompletedAbs_player_per_min,Corners_player_player_per_min,Throw_Ins_player_per_min,Throw_Ins_Completed_player_per_min,Goals_player_per_min,Assists_player_per_min,Penalties_player_per_min,DistanceCovered_per_min,DistanceCoveredInPossession_per_min,DistanceCoveredNotInPossession_per_min,TopSpeed_player,Yellow_player_per_min,YellowRed_player_per_min,Red_player_per_min,FoulsCommitted_player_per_min,FoulsSuffered_player_per_min,FoulsCausingPenalty_player_per_min,Tackles_player_per_min,TacklesWon_playery_player_per_min,AttemptedClearances_player_per_min,ClearanceRate_player_per_min,Saves_player_per_min,Blocks_player_per_min,RecoveredBalls_per_min,Offsides_player_per_min,SolosIntoArea_player_per_min,LostBalls_per_min,DeliveriesInPenaltyArea_per_min,TacklesSuffered_player_per_min,AttemptsOfTeam_per_min,AttemptsOnTarget_OfTeam_per_min,AttemptsOffTarget_OfTeam_per_min,Woodwork_OfTeam_per_min,AttemptsOnTarget_Inside_OfTeam_per_min,AttemptsOnTarget_Outside_OfTeam_per_min,PassesAttempted_OfTeam_per_min,PassesCompleted_OfTeam_per_min,CrossesAttempted_OfTeam_per_min,Corners_OfTeam_OfTeam_per_min,Throw_Ins_OfTeam_per_min,Assists_OfTeam_per_min,Yellow_OfTeam_per_min,YellowRed_OfTeam_per_min,Red_OfTeam_per_min,FoulsCommitted_OfTeam_per_min,FoulsSuffered_OfTeam_per_min,FoulsCausingPenalty_OfTeam_per_min,Tackles_OfTeam_per_min,TacklesWon_OfTeam_per_min,TacklesSuffered_OfTeam_per_min,AttemptedClearances_OfTeam_per_min,Saves_OfTeam_per_min,SolosIntoArea_OfTeam_per_min,MinPerSpiel,Position,Alter,VorWMWert,NachWMWert,WertDifferenz,Wertjetzt
ARG,José Basanta,CF Monterrey,America,CONMEBOL,2.0,104.0,,,,,,,,,0.5769230769230769,0.4326923076923077,0.019230769230769232,0.009615384615384616,0.0,0.14423076923076922,0.10576923076923077,,,,0.125,0.04326923076923077,0.038461538461538464,32.7,0.0,0.0,0.0,0.028846153846153848,0.009615384615384616,0.0,,0.009615384615384616,0.04807692307692308,80,0.0,0.0,0.0673076923076923,,,,,,,,,,,,0.09219011650692985,0.0892816065513434,0.07625994694960213,0.0,0.3827662721893491,,0.0,,,0.24879807692307693,0.05719496021220159,,,0.0,,0.33850078492935637,0.0,,14.857142857142858,Innenverteidiger,30.0,3500000.0,3000000.0,-500000,1200000.0
CRC,Christian BOLANOS,FC Kopenhagen,America,CONCACAF,5.0,413.0,0.01937046004842615,0.014527845036319613,0.004842615012106538,0.0,0.009685230024213076,0.009685230024213076,0.007263922518159807,0.007263922518159807,0.3583535108958838,0.2179176755447942,0.043583535108958835,0.012106537530266344,0.01937046004842615,0.002421307506053269,0.002421307506053269,,,,0.11138014527845036,0.03438256658595641,0.041404358353510896,32.3,0.0,0.0,0.0,0.03389830508474576,0.009685230024213076,0.0,,0.004842615012106538,0.004842615012106538,100,0.0,0.004842615012106538,0.03631961259079903,,,,,,0.2599719638078246,0.4116222760290557,0.1234866828087167,,0.3704600484261501,0.3704600484261501,0.08158941542718783,0.06989812234455663,0.3585097242833711,0.5488297013720742,0.007306904308208089,,0.0,0.0,,0.18391633609808872,0.06585956416464891,0.0,,0.0,,0.030490538965115235,0.0,,82.6,Rechtsaußen,29.0,1000000.0,900000.0,-100000,475000.0
CRC,Michael UMANA,Deportivo Saprissa,America,CONCACAF,4.0,420.0,,,,,,,,,0.3404761904761905,0.2833333333333333,0.0,0.0,0.0,0.002380952380952381,0.002380952380952381,,,,0.10761904761904763,0.026904761904761907,0.04547619047619048,29.2,0.002380952380952381,0.0,0.0,0.009523809523809525,0.004761904761904762,0.0,,0.007142857142857143,0.03333333333333333,58,0.0,0.002380952380952381,0.05714285714285714,,,,,,,,,,,,0.07751913265306122,0.0908805031446541,0.0,0.0,0.007185122569737954,,0.12142857142857143,0.0,,0.05167173252279635,0.032380952380952385,0.0,,0.0,,0.20987654320987653,0.0,,84.0,Innenverteidiger,31.0,275000.0,300000.0,25000,200000.0
CRC,Johnny ACOSTA,LD Alajuelense,America,CONCACAF,2.0,163.0,0.006134969325153374,0.0,0.006134969325153374,0.0,0.006134969325153374,0.0,0.0,0.0,0.4110429447852761,0.294478527607362,0.006134969325153374,0.0,0.0,0.04294478527607362,0.03680981595092025,,,,0.11717791411042945,0.02638036809815951,0.05521472392638037,27.4,0.006134969325153374,0.0,0.0,0.006134969325153374,0.018404907975460124,0.0,,0.012269938650306749,0.03680981595092025,50,0.0,0.0,0.03680981595092025,,,,,,0.08233774620600581,0.0,0.15644171779141106,,0.0,0.0,0.09358567046450482,0.09445537677971988,0.05046507025529388,0.0,0.12959668929466003,,0.3128834355828221,0.0,,0.03328547187051299,0.12515337423312886,0.0,,0.0,,0.23176550783912747,0.0,,32.6,Innenverteidiger,30.0,250000.0,275000.0,25000,200000.0
CRC,Jose CUBERO,CS Herediano,America,CONCACAF,4.0,115.0,,,,,,,,,0.3391304347826087,0.22608695652173913,0.008695652173913044,0.0,0.0,0.0,0.0,,,,0.1391304347826087,0.03217391304347826,0.06347826086956522,27.6,0.008695652173913044,0.0,0.0,0.02608695652173913,0.008695652173913044,0.0,,0.008695652173913044,0.0,,0.0,0.0,0.02608695652173913,,,,,,,,,,,,0.07721273291925466,0.07251845775225595,0.07152875175315566,0.0,0.0,,0.4434782608695652,0.0,,0.14153561517113783,0.0591304347826087,0.0,,0.0,,0.0,0.0,,23.0,Defensives Mittelfeld,27.0,350000.0,300000.0,-50000,200000.0
CRC,Marcos URENA,Kuban Krasnodar,America,CONCACAF,4.0,102.0,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0196078431372549,0.00980392156862745,0.0196078431372549,0.00980392156862745,0.30392156862745096,0.13725490196078433,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.12254901960784313,0.03529411764705882,0.04607843137254902,30.9,0.0,0.0,0.0,0.029411764705882353,0.00980392156862745,0.0,0.00980392156862745,0.0,0.0,,0.0,0.00980392156862745,0.0196078431372549,0.0,0.0392156862745098,0.14705882352941177,0.00980392156862745,0.00980392156862745,0.39473684210526316,0.8333333333333334,0.0,,1.0,0.5,0.06919642857142858,0.0440251572327044,0.0,0.0,0.0,0.0,0.0,0.0,,0.1595744680851064,0.06666666666666668,0.0,0.04807692307692308,0.0,0.07936507936507936,0.0,0.0,2.2222222222222223,20.4,Hängende Spitze,24.0,400000.0,800000.0,400000,900000.0
BEL,Moussa DEMBELE,Tottenham Hotspur,Europe,UEFA,2.0,155.0,0.0064516129032258064,0.0,0.0064516129032258064,0.0,0.0,0.0064516129032258064,0.0,0.0,0.6193548387096774,0.5225806451612903,0.0,0.0,0.0,0.0,0.0,,,,0.11677419354838711,0.04516129032258064,0.03935483870967742,29.4,0.0064516129032258064,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,,0.0,0.0,,0.0,0.012903225806451613,0.04516129032258064,,,,,,0.034030485643388876,0.0,0.09384164222873902,0.0,0.0,0.0,0.11138640786086369,0.12592304702681695,0.0,0.0,0.0,,0.44239631336405527,,0.0,0.1800450112528132,0.25806451612903225,0.0,,0.0,,0.0,0.0,,31.0,Zentrales Mittelfeld,26.0,20000000.0,17000000.0,-3000000,18000000.0
USA,John Brooks,Hertha BSC,America,CONCACAF,1.0,44.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.4318181818181818,0.25,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.11363636363636363,0.031818181818181815,0.045454545454545456,26.9,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,100,0.0,0.022727272727272728,0.045454545454545456,0.0,0.0,0.06818181818181818,0.0,0.0,0.21618625277161863,0.32828282828282823,0.0,,0.6331168831168831,0.0,0.07703984030608,0.058174224343675425,0.0,0.0,0.0,0.0,0.0,,,0.0,0.15827922077922077,,0.0,0.0,0.0,0.12845849802371542,0.0,0.0,11.0,Innenverteidiger,21.0,3000000.0,3500000.0,500000,12000000.0
SUI,Gokhan INLER,SSC Neapel,Europe,UEFA,4.0,390.0,0.017948717948717947,0.007692307692307693,0.010256410256410256,0.0,0.0,0.017948717948717947,0.0,0.007692307692307693,0.6615384615384615,0.5307692307692308,0.015384615384615385,0.005128205128205128,0.005128205128205128,0.0,0.0,,,,0.12076923076923077,0.04076923076923077,0.046410256410256416,28.5,0.0,0.0,0.0,0.020512820512820513,0.015384615384615385,0.0,,0.010256410256410256,0.015384615384615385,84,0.0,0.002564102564102564,0.06153846153846154,,,,,,0.1076923076923077,0.075,0.16,0.0,0.0,0.2,0.12703101920236337,0.13320463320463322,0.1016949152542373,0.10526315789473682,0.0,,0.0,,,0.11940298507462685,0.09230769230769231,0.0,,0.0,,0.07317073170731707,0.0,,97.5,Zentrales Mittelfeld,29.0,14000000.0,12000000.0,-2000000,1300000.0
COL,Juan ZUNIGA,SSC Neapel,America,CONMEBOL,4.0,360.0,0.005555555555555556,0.002777777777777778,0.002777777777777778,0.0,0.0,0.005555555555555556,0.0,0.002777777777777778,0.5638888888888889,0.4166666666666667,0.008333333333333333,0.002777777777777778,0.0,0.09444444444444444,0.04722222222222222,,,,0.10138888888888889,0.03277777777777778,0.033888888888888885,30.5,0.0,0.0,0.0,0.011111111111111112,0.03888888888888889,0.0,,0.002777777777777778,0.008333333333333333,100,0.0,0.0,0.04722222222222222,,,,,,0.043859649122807015,0.03289473684210526,0.06578947368421052,,0.0,0.06578947368421052,0.12270309477756286,0.12694651320243738,0.057692307692307696,0.0,0.2672955974842767,,0.0,,,0.054945054945054944,0.20833333333333334,,,0.0,,0.06696428571428571,0.0,,72.0,Rechter Verteidiger,28.0,13000000.0,11000000.0,-2000000,500000.0
