Country,Spielername_fifa,ClubVorWM,Continent,Confederation,MatchesPlayed_player,MinutesPlayed,Attempts_player_per_min,AttemptsOnTarget_player_per_min,AttemptsOffTarget_player_per_min,Woodwork_player_per_min,AttemptsInArea_player_per_min,AttemptsOutsideArea_player_per_min,AttemptsInArea_ON_player_per_min,AttemptsOutsideArea_ON_player_per_min,PassesAttempted_player_per_min,PassesCompletedAbs_player_per_min,CrossesAttempted_player_per_min,CrossesCompletedAbs_player_per_min,Corners_player_player_per_min,Throw_Ins_player_per_min,Throw_Ins_Completed_player_per_min,Goals_player_per_min,Assists_player_per_min,Penalties_player_per_min,DistanceCovered_per_min,DistanceCoveredInPossession_per_min,DistanceCoveredNotInPossession_per_min,TopSpeed_player,Yellow_player_per_min,YellowRed_player_per_min,Red_player_per_min,FoulsCommitted_player_per_min,FoulsSuffered_player_per_min,FoulsCausingPenalty_player_per_min,Tackles_player_per_min,TacklesWon_playery_player_per_min,AttemptedClearances_player_per_min,ClearanceRate_player_per_min,Saves_player_per_min,Blocks_player_per_min,RecoveredBalls_per_min,Offsides_player_per_min,SolosIntoArea_player_per_min,LostBalls_per_min,DeliveriesInPenaltyArea_per_min,TacklesSuffered_player_per_min,AttemptsOfTeam_per_min,AttemptsOnTarget_OfTeam_per_min,AttemptsOffTarget_OfTeam_per_min,Woodwork_OfTeam_per_min,AttemptsOnTarget_Inside_OfTeam_per_min,AttemptsOnTarget_Outside_OfTeam_per_min,PassesAttempted_OfTeam_per_min,PassesCompleted_OfTeam_per_min,CrossesAttempted_OfTeam_per_min,Corners_OfTeam_OfTeam_per_min,Throw_Ins_OfTeam_per_min,Assists_OfTeam_per_min,Yellow_OfTeam_per_min,YellowRed_OfTeam_per_min,Red_OfTeam_per_min,FoulsCommitted_OfTeam_per_min,FoulsSuffered_OfTeam_per_min,FoulsCausingPenalty_OfTeam_per_min,Tackles_OfTeam_per_min,TacklesWon_OfTeam_per_min,TacklesSuffered_OfTeam_per_min,AttemptedClearances_OfTeam_per_min,Saves_OfTeam_per_min,SolosIntoArea_OfTeam_per_min,MinPerSpiel,Position,Alter,VorWMWert,NachWMWert,WertDifferenz,Wertjetzt,ligacountry,Teamname,StageCurrent,PointsCurrentGroup,PointsCurrentTotal,StageLast,PointsLastGroup,PointsLastTotal,PointsDiffTotal,PointsDiffGroup,StageDiff
ARG,José Basanta,CF Monterrey,America,CONMEBOL,2.0,104.0,,,,,,,,,0.5769230769230769,0.4326923076923077,0.019230769230769232,0.009615384615384616,0.0,0.14423076923076922,0.10576923076923077,,,,0.125,0.04326923076923077,0.038461538461538464,32.7,0.0,0.0,0.0,0.02884615384615385,0.009615384615384616,0.0,,0.009615384615384616,0.04807692307692308,80.0,0.0,0.0,0.0673076923076923,,,,,,,,,,,,0.09219011650692983,0.0892816065513434,0.07625994694960213,0.0,0.3827662721893491,,0.0,,,0.2487980769230769,0.057194960212201586,,,0.0,,0.3385007849293564,0.0,,14.857142857142858,Innenverteidiger,30.0,3500000.0,3000000.0,-500000.0,1200000.0,mexico,Argentina,5,9,21,3,9,15,6,0,2
ARG,Javier MASCHERANO,FC Barcelona,America,CONMEBOL,7.0,720.0,0.005555555555555557,0.005555555555555557,0.0,0.0,0.0,0.005555555555555557,0.0,0.005555555555555557,0.8694444444444445,0.7444444444444445,0.0041666666666666675,0.0,0.0,0.0041666666666666675,0.0041666666666666675,,,,0.11277777777777777,0.040972222222222215,0.042638888888888886,30.3,0.0013888888888888892,0.0,0.0,0.0125,0.02361111111111111,0.0,,0.013888888888888888,0.011111111111111113,100.0,0.0,0.008333333333333333,0.06805555555555555,,,,,,0.03650793650793651,0.06084656084656085,0.0,0.0,0.0,0.10952380952380952,0.1389339200247028,0.15360845295055822,0.016522988505747127,0.0,0.011057692307692308,,0.11979166666666667,,,0.1078125,0.14044540229885055,,,0.0,,0.07823129251700679,0.0,,102.85714285714286,Defensives Mittelfeld,29.0,15000000.0,15000000.0,,5000000.0,spain,Argentina,5,9,21,3,9,15,6,0,2
ARG,Pablo ZABALETA,Manchester City,America,CONMEBOL,7.0,720.0,0.0013888888888888892,0.0,0.0013888888888888892,0.0,0.0013888888888888892,0.0,0.0,0.0,0.55,0.4305555555555556,0.015277777777777776,0.0013888888888888892,0.0,0.11805555555555555,0.08611111111111111,,,,0.1098611111111111,0.04194444444444445,0.039305555555555566,29.6,0.0,0.0,0.0,0.011111111111111113,0.006944444444444444,0.0,,0.008333333333333333,0.016666666666666666,100.0,0.0,0.0013888888888888892,0.04444444444444445,,,,,,0.009126984126984128,0.0,0.02281746031746032,0.0,0.0,0.0,0.08788791106993978,0.08884070972886762,0.060584291187739475,0.0,0.31330128205128205,,0.0,,,0.09583333333333334,0.04130747126436782,,,0.0,,0.1173469387755102,0.0,,102.85714285714286,Rechter Verteidiger,29.0,19000000.0,19000000.0,,5000000.0,england,Argentina,5,9,21,3,9,15,6,0,2
ARG,Ezequiel GARAY,Benfica Lissabon,America,CONMEBOL,7.0,720.0,0.006944444444444444,0.0013888888888888892,0.005555555555555557,0.0,0.005555555555555557,0.0013888888888888892,0.0013888888888888892,0.0,0.5388888888888889,0.4694444444444445,0.0,0.0,0.0,0.0,0.0,,,,0.10569444444444444,0.03638888888888889,0.03833333333333334,31.4,0.0013888888888888892,0.0,0.0,0.011111111111111113,0.0013888888888888892,0.0,,0.0013888888888888892,0.029166666666666667,86.0,0.0,0.0041666666666666675,0.07222222222222223,,,,,,0.04563492063492063,0.015211640211640213,0.09126984126984126,0.0,0.02738095238095238,0.0,0.0861123977149915,0.09686503189792664,0.0,0.0,0.0,,0.11979166666666667,,,0.09583333333333334,0.008261494252873564,,,0.0,,0.20535714285714285,0.0,,102.85714285714286,Innenverteidiger,27.0,20000000.0,20000000.0,,15000000.0,portugal,Argentina,5,9,21,3,9,15,6,0,2
ARG,Marcos ROJO,Sporting Lissabon,America,CONMEBOL,6.0,615.0,0.013008130081300813,0.006504065040650407,0.006504065040650407,0.0,0.008130081300813009,0.004878048780487805,0.004878048780487805,0.0016260162601626016,0.5951219512195122,0.4292682926829268,0.04227642276422764,0.008130081300813009,0.0,0.08292682926829269,0.06666666666666668,0.0016260162601626016,0.0,0.0,0.11821138211382115,0.04536585365853658,0.04146341463414634,31.8,0.0032520325203252032,0.0,0.0,0.011382113821138212,0.00975609756097561,0.0,0.01951219512195122,0.008130081300813009,0.01951219512195122,84.0,0.0,0.0032520325203252032,0.07479674796747968,0.0,0.0016260162601626016,0.11219512195121953,0.011382113821138212,0.013008130081300813,0.08548199767711964,0.07123499806426636,0.10685249709639953,0.0,0.09616724738675958,0.03205574912891986,0.09509822749918097,0.08857509627727858,0.1676478833753855,0.0,0.2200750469043152,0.0,0.2804878048780488,,,0.09817073170731706,0.05803195962994113,,0.11409673418768088,0.0,0.08388420332801458,0.1373817819810851,0.0,0.0350609756097561,87.85714285714286,Innenverteidiger,24.0,5500000.0,12000000.0,6500000.0,18000000.0,portugal,Argentina,5,9,21,3,9,15,6,0,2
ARG,Gonzalo HIGUAIN,SSC Neapel,America,CONMEBOL,7.0,571.0,0.02276707530647986,0.010507880910683012,0.012259194395796848,0.0017513134851138356,0.01926444833625219,0.003502626970227671,0.010507880910683012,0.0,0.27495621716287216,0.20665499124343256,0.005253940455341506,0.0,0.0,0.003502626970227671,0.0,0.0017513134851138356,0.0017513134851138356,0.0,0.11138353765323994,0.043957968476357266,0.033625218914185635,33.1,0.0,0.0,0.0,0.008756567425569177,0.010507880910683012,0.0,0.007005253940455342,0.003502626970227671,0.007005253940455342,50.0,0.0,0.0,0.008756567425569177,0.007005253940455342,0.003502626970227671,0.07005253940455343,0.007005253940455342,0.017513134851138354,0.14961220915686765,0.11508631473605205,0.20140105078809106,0.6042031523642732,0.2071553665248937,0.0,0.04393695920388648,0.04264113156637813,0.02083459146083701,0.0,0.009295433113296513,0.4028021015761821,0.0,,,0.07552539404553417,0.06250377438251102,,0.040962925584018525,0.0,0.11293516866621928,0.04932270631545087,0.0,0.07552539404553417,81.57142857142857,Mittelstürmer,26.0,38000000.0,40000000.0,2000000.0,70000000.0,italy,Argentina,5,9,21,3,9,15,6,0,2
ARG,Lionel MESSI,FC Barcelona,America,CONMEBOL,7.0,693.0,0.031746031746031744,0.014430014430014432,0.017316017316017316,0.0,0.010101010101010102,0.021645021645021644,0.004329004329004329,0.010101010101010102,0.5137085137085137,0.3492063492063492,0.044733044733044736,0.012987012987012988,0.020202020202020204,0.002886002886002886,0.002886002886002886,0.005772005772005772,0.001443001443001443,0.0,0.09047619047619047,0.03751803751803752,0.02712842712842713,30.3,0.0,0.0,0.0,0.008658008658008658,0.025974025974025976,0.0,0.010101010101010102,0.0,0.0,,0.0,0.0,0.012987012987012988,0.004329004329004329,0.011544011544011544,0.10245310245310243,0.03751803751803752,0.03751803751803752,0.2086167800453515,0.15804301518587233,0.2844774273345702,0.0,0.08534322820037106,0.19913419913419916,0.08208866939760873,0.07205513784461154,0.17738966014828084,0.29658284977433913,0.007659007659007659,0.3318903318903319,0.0,,,0.07467532467532467,0.15450067174205107,,0.05906522855675399,0.0,0.24193874661164386,0.0,0.0,0.2489177489177489,99.0,Rechtsaußen,26.0,120000000.0,120000000.0,,180000000.0,spain,Argentina,5,9,21,3,9,15,6,0,2
ARG,Angel DI MARIA,Real Madrid,America,CONMEBOL,5.0,423.0,0.0591016548463357,0.04964539007092199,0.009456264775413713,0.0023640661938534283,0.02127659574468085,0.03782505910165485,0.018912529550827426,0.030732860520094562,0.7375886524822695,0.4846335697399527,0.11583924349881795,0.026004728132387703,0.040189125295508284,0.02836879432624113,0.023640661938534282,0.0023640661938534283,0.0,0.0,0.108274231678487,0.046335697399527184,0.032624113475177303,33.0,0.0023640661938534283,0.0,0.0,0.007092198581560284,0.023640661938534282,0.0,0.011820330969267141,0.0047281323877068565,0.0023640661938534283,100.0,0.0,0.0,0.02127659574468085,0.0,0.016548463356974,0.14893617021276595,0.0425531914893617,0.040189125295508284,0.38838230327592027,0.5437352245862884,0.1553529213103681,0.8156028368794326,0.3728470111448835,0.6058763931104356,0.11786386526465167,0.09999915165088737,0.4593625173228988,0.5900105628489513,0.07528641571194762,0.0,0.20390070921985812,,,0.06117021276595745,0.14062117877231595,,0.06911888448130785,0.0,0.2591635182607543,0.016644955854682297,0.0,0.3568262411347517,60.42857142857143,Rechtsaußen,26.0,30000000.0,50000000.0,20000000.0,40000000.0,spain,Argentina,5,9,21,3,9,15,6,0,2
ARG,Lucas BIGLIA,Lazio Rom,America,CONMEBOL,7.0,349.0,0.0028653295128939827,0.0028653295128939827,0.0,0.0,0.0,0.0028653295128939827,0.0,0.0028653295128939827,0.5329512893982808,0.4383954154727794,0.0,0.0,0.0,0.005730659025787965,0.005730659025787965,,,,0.12808022922636106,0.042693409742120346,0.05415472779369627,27.4,0.0028653295128939827,0.0,0.0,0.017191977077363897,0.025787965616045846,0.0,,0.005730659025787965,0.005730659025787965,100.0,0.0,0.005730659025787965,0.04297994269340974,,,,,,0.01882930822758903,0.03138218037931505,0.0,0.0,0.0,0.0564879246827671,0.08516359186771971,0.0904583841735101,0.0,0.0,0.01520828741459114,,0.247134670487106,,,0.14828080229226362,0.15339393340578994,,,0.0,,0.04034851763054792,0.0,,49.85714285714285,Defensives Mittelfeld,28.0,7500000.0,8000000.0,500000.0,16000000.0,italy,Argentina,5,9,21,3,9,15,6,0,2
ARG,Fernando GAGO,Club Atlético Boca Juniors,America,CONMEBOL,6.0,373.0,0.0053619302949061655,0.0026809651474530827,0.0026809651474530827,0.0,0.0,0.0053619302949061655,0.0,0.0026809651474530827,0.9624664879356568,0.8471849865951743,0.00804289544235925,0.0,0.0026809651474530827,0.021447721179624662,0.021447721179624662,,,,0.11903485254691687,0.04906166219839142,0.03780160857908847,30.3,0.0,0.0,0.0,0.0160857908847185,0.02949061662198392,0.0,,0.0053619302949061655,0.0026809651474530827,100.0,0.0,0.0,0.05898123324396784,,,,,,0.03523554193795481,0.029362951614962336,0.0440444274224435,0.0,0.0,0.05285331290693221,0.15379848927179324,0.1748079069230473,0.03189424054728668,0.039358850037077175,0.05691895236131163,,0.0,,,0.13873994638069706,0.17541832301007673,,,0.0,,0.018876183181047217,0.0,,53.28571428571429,Defensives Mittelfeld,28.0,4000000.0,3400000.0,-600000.0,2000000.0,argentina,Argentina,5,9,21,3,9,15,6,0,2
