,Alter,Assists_player,Assists_team,Attacks,AttacksFromCentre,AttacksFromLeft,AttacksFromRight,AttemptedClearances_player,AttemptedClearances_team,AttemptsInArea,AttemptsInArea_ON,AttemptsOffTarget_player,AttemptsOffTarget_team,AttemptsOnTargetInsideArea,AttemptsOnTargetOutsideArea,AttemptsOnTarget_player,AttemptsOnTarget_team,AttemptsOutsideArea,AttemptsOutsideArea_ON,Attempts_player,Attempts_team,Blocks,ClearanceRate,ClearancesCompletionAbs,ClearancesCompletionPerc,ClubJetzt,ClubJetztHref,ClubJetztId,ClubVorWM,Confederation,Continent,Corners_player,Corners_team,Country,CrossesAttempted_player,CrossesAttempted_team,CrossesCompletedAbs_player,CrossesCompletedAbs_team,CrossesCompletedPerc_player,CrossesCompletedPerc_team,DeliveriesInPenaltyArea,DistanceCovered,DistanceCoveredInPossession,DistanceCoveredNotInPossession,Extratime,FoulsCausingPenalty_player,FoulsCausingPenalty_team,FoulsCommitted_player,FoulsCommitted_team,FoulsSuffered_player,FoulsSuffered_team,Goals,GoalsAgainst,GoalsFor,GoalsScored,HeaderGoals,Land,LandHref,LandId,LeftyGoals,LostBalls,MatchesPlayed_player,MatchesPlayed_team,MinutesPlayed_player,MinutesPlayed_team,NachWMWert,Offsides_player,Offsides_team,OpenPlayGoals,OwnGoalsFor,PassesAttempted_player,PassesAttempted_team,PassesCompletedAbs_player,PassesCompletedAbs_team,PassesCompletedPerc_player,PassesCompletedPerc_team,Penalties_player,Penalties_team,PlayerHref,PlayerId,Position,PreWMClubHref,PreWMClubId,RealMin,RecoveredBalls,Red_player,Red_team,RightyGoals,Saves_player,Saves_team,SetPieceGoals,SolosIntoArea_player,SolosIntoArea_team,Spielername_fifa,Spielername_transfermarkt,TacklesSuffered_player,TacklesSuffered_team,TacklesWon_player,TacklesWon_team,Tackles_player,Tackles_team,Teamname,ThrowIns,Throw_Ins,Throw_Ins_Completed,TopSpeed,VorWMWert,WertDifferenz,Wertdiffjetzt,WertdiffjetztProzent,Wertjetzt,Woodwork_player,Woodwork_team,YellowRed_player,YellowRed_team,Yellow_player,Yellow_team,_merge,id_alt,id_name,id_name_fifa,id_name_transfermarkt
77,28.0,,,,,,,,,,,,,,,,,,,,,,,,,Sangju Sangmu FC,https://www.transfermarkt.de/sangju-sangmu-phoenix/startseite/verein/6505,6505.0,Kashiwa Reysol,,,,,,,,,,,,,,,,,,,,,,,,,,,,Südkorea,https://www.transfermarkt.de/sudkorea/startseite/verein/3589,3589.0,,,,,,,"1,20 Mio. €  ",,,,,,,,,,,,,https://www.transfermarkt.de/guk-yeong-han/profil/spieler/139670,139670.0,Defensives Mittelfeld,https://www.transfermarkt.de/kashiwa-reysol/startseite/verein/6632,6632.0,,,,,,,,,,,,Guk-yeong Han,,,,,,,,,,,,"1,00 Mio. €",200 Tsd. €,200 Tsd. €,"20,0 %","1,20 Mio. €  ",,,,,,,right_only,han kook-young,,,guk yeong han
611,27.0,,,,,,,,,,,,,,,,,,,,,,,,,Manchester United,https://www.transfermarkt.de/manchester-united/startseite/verein/985,985.0,Manchester United,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spanien,https://www.transfermarkt.de/spanien/startseite/verein/3375,3375.0,,,,,,,"18,00 Mio. €  ",,,,,,,,,,,,,https://www.transfermarkt.de/david-de-gea/profil/spieler/59377,59377.0,Torwart,https://www.transfermarkt.de/manchester-united/startseite/verein/985,985.0,,,,,,,,,,,,David de Gea,,,,,,,,,,,,"17,00 Mio. €","+1,00 Mio. €","+43,00 Mio. €","252,9 %","60,00 Mio. €  ",,,,,,,right_only,,david de gea,,
612,29.0,,,,,,,,,,,,,,,,,,,,,,,,,Inter Mailand,https://www.transfermarkt.de/inter-mailand/startseite/verein/46,46.0,VfL Wolfsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kroatien,https://www.transfermarkt.de/kroatien/startseite/verein/3556,3556.0,,,,,,,"8,00 Mio. €  ",,,,,,,,,,,,,https://www.transfermarkt.de/ivan-perisic/profil/spieler/42460,42460.0,Linksaußen,https://www.transfermarkt.de/vfl-wolfsburg/startseite/verein/82,82.0,,,,,,,,,,,,Ivan Perisic,,,,,,,,,,,,"6,00 Mio. €","+2,00 Mio. €","+34,00 Mio. €","566,7 %","40,00 Mio. €  ",,,,,,,right_only,,ivan perisic,,
613,23.0,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Madrid,https://www.transfermarkt.de/atletico-madrid/startseite/verein/13,13.0,Atlético Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uruguay,https://www.transfermarkt.de/uruguay/startseite/verein/3449,3449.0,,,,,,,"5,00 Mio. €  ",,,,,,,,,,,,,https://www.transfermarkt.de/jose-gimenez/profil/spieler/250845,250845.0,Innenverteidiger,https://www.transfermarkt.de/atletico-madrid/startseite/verein/13,13.0,,,,,,,,,,,,José Giménez,,,,,,,,,,,,"2,00 Mio. €","+3,00 Mio. €","+33,00 Mio. €","1.650,0 %","35,00 Mio. €  ",,,,,,,right_only,,jose gimenez,,
614,25.0,,,,,,,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,https://www.transfermarkt.de/tottenham-hotspur/startseite/verein/148,148.0,Bayer 04 Leverkusen,,,,,,,,,,,,,,,,,,,,,,,,,,,,Südkorea,https://www.transfermarkt.de/sudkorea/startseite/verein/3589,3589.0,,,,,,,"14,00 Mio. €  ",,,,,,,,,,,,,https://www.transfermarkt.de/heung-min-son/profil/spieler/91845,91845.0,Linksaußen,https://www.transfermarkt.de/bayer-04-leverkusen/startseite/verein/15,15.0,,,,,,,,,,,,Heung-Min Son,,,,,,,,,,,,"14,00 Mio. €",+-0,"+21,00 Mio. €","150,0 %","35,00 Mio. €  ",,,,,,,right_only,,heung min son,,
615,26.0,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Madrid,https://www.transfermarkt.de/atletico-madrid/startseite/verein/13,13.0,FC Genua 1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kroatien,https://www.transfermarkt.de/kroatien/startseite/verein/3556,3556.0,,,,,,,"7,50 Mio. €  ",,,,,,,,,,,,,https://www.transfermarkt.de/sime-vrsaljko/profil/spieler/76061,76061.0,Rechter Verteidiger,https://www.transfermarkt.de/fc-genua-1893/startseite/verein/252,252.0,,,,,,,,,,,,Sime Vrsaljko,,,,,,,,,,,,"7,50 Mio. €",+-0,"+17,50 Mio. €","233,3 %","25,00 Mio. €  ",,,,,,,right_only,,sime vrsaljko,,
616,26.0,,,,,,,,,,,,,,,,,,,,,,,,,Sporting Lissabon,https://www.transfermarkt.de/sporting-lissabon/startseite/verein/336,336.0,Sporting Lissabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portugal,https://www.transfermarkt.de/portugal/startseite/verein/3300,3300.0,,,,,,,"17,00 Mio. €  ",,,,,,,,,,,,,https://www.transfermarkt.de/william-carvalho/profil/spieler/100131,100131.0,Defensives Mittelfeld,https://www.transfermarkt.de/sporting-lissabon/startseite/verein/336,336.0,,,,,,,,,,,,William Carvalho,,,,,,,,,,,,"8,00 Mio. €","+9,00 Mio. €","+17,00 Mio. €","212,5 %","25,00 Mio. €  ",,,,,,,right_only,,william carvalho,,
617,24.0,,,,,,,,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,https://www.transfermarkt.de/borussia-monchengladbach/startseite/verein/18,18.0,SC Freiburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutschland,https://www.transfermarkt.de/deutschland/startseite/verein/3262,3262.0,,,,,,,"12,00 Mio. €  ",,,,,,,,,,,,,https://www.transfermarkt.de/matthias-ginter/profil/spieler/124502,124502.0,Innenverteidiger,https://www.transfermarkt.de/sc-freiburg/startseite/verein/60,60.0,,,,,,,,,,,,Matthias Ginter,,,,,,,,,,,,"10,00 Mio. €","+2,00 Mio. €","+15,00 Mio. €","150,0 %","25,00 Mio. €  ",,,,,,,right_only,,matthias ginter,,
618,24.0,,,,,,,,,,,,,,,,,,,,,,,,,FC Liverpool,https://www.transfermarkt.de/fc-liverpool/startseite/verein/31,31.0,FC Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,https://www.transfermarkt.de/england/startseite/verein/3299,3299.0,,,,,,,"17,00 Mio. €  ",,,,,,,,,,,,,https://www.transfermarkt.de/alex-oxlade-chamberlain/profil/spieler/143424,143424.0,Zentrales Mittelfeld,https://www.transfermarkt.de/fc-arsenal/startseite/verein/11,11.0,,,,,,,,,,,,Alex Oxlade-Chamberlain,,,,,,,,,,,,"17,00 Mio. €",+-0,"+13,00 Mio. €","76,5 %","30,00 Mio. €  ",,,,,,,right_only,,alex oxlade chamberlain,,
619,30.0,,,,,,,,,,,,,,,,,,,,,,,,,FC Southampton,https://www.transfermarkt.de/fc-southampton/startseite/verein/180,180.0,Celtic Glasgow,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,https://www.transfermarkt.de/england/startseite/verein/3299,3299.0,,,,,,,"10,00 Mio. €  ",,,,,,,,,,,,,https://www.transfermarkt.de/fraser-forster/profil/spieler/52570,52570.0,Torwart,https://www.transfermarkt.de/celtic-glasgow/startseite/verein/371,371.0,,,,,,,,,,,,Fraser Forster,,,,,,,,,,,,"4,50 Mio. €","+5,50 Mio. €","+10,50 Mio. €","233,3 %","15,00 Mio. €  ",,,,,,,right_only,,fraser forster,,
