gname,nkill,classification1,classification2,classification3,source1,search_phrase1,source2,search_phrase2
Abdullah Azzam Brigades,178,islamist,,,https://en.wikipedia.org/wiki/Abdullah_Azzam_Brigades,,Sage Encyclopedia,abdullah azzam
Abu Nidal Organization (ANO),263,liberation,liberation,,kushner,Abu Nidal Organization (ANO),Sage Encyclopedia,Abu Nidal Organization (ANO)
Abu Sayyaf Group (ASG),635,liberation,islamist,,combs&slann,Abu Sayyaf Group (ASG),kushner,Abu Sayyaf Group (ASG)
Adan-Abyan Province of the Islamic State,156,islamist,,,https://en.wikipedia.org/wiki/Aden-Abyan_Islamic_Army,,Sage Encyclopedia,Aden-Abyan Islamic Army
African National Congress (South Africa),421,liberation,,,https://en.wikipedia.org/wiki/African_National_Congress#External_links,,,
Al-Aqsa Martyrs Brigade,276,liberation,Far-left,,https://en.wikipedia.org/wiki/Al-Aqsa_Martyrs%27_Brigades,,Sage Encyclopedia,AL AQSA MARTYRS BRIGADES
Al-Gama'at al-Islamiyya (IG),492,islamist,,,https://en.wikipedia.org/wiki/Al-Jama%27a_al-Islamiyya,,Sage Encyclopedia,GAMA’A AL ISLAMIYYA
Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood),115,islamist,,,https://en.wikipedia.org/wiki/Mokhtar_Belmokhtar#Masked_Brigade_(Those_who_Sign_with_Blood_Brigade),,,
Al-Naqshabandiya Army,125,islamist,liberation,,https://en.wikipedia.org/wiki/Army_of_the_Men_of_the_Naqshbandi_Order,,,
Al-Nusrah Front,1902,islamist,,,https://en.wikipedia.org/wiki/Al-Nusra_Front,,Sage Encyclopedia,Al Qaeda
Al-Qaida,3770,islamist,,,kushner,,Sage Encyclopedia,Al Qaeda
Al-Qaida in Iraq,4016,islamist,,,https://en.wikipedia.org/wiki/Tanzim_Qaidat_al-Jihad_fi_Bilad_al-Rafidayn,,Sage Encyclopedia,Al Qaeda
Al-Qaida in the Arabian Peninsula (AQAP),1689,islamist,,,https://en.wikipedia.org/wiki/Al-Qaeda_in_the_Arabian_Peninsula,,Sage Encyclopedia,Al Qaeda
Al-Qaida in the Islamic Maghreb (AQIM),619,islamist,,,https://en.wikipedia.org/wiki/Al-Qaeda_in_the_Islamic_Maghreb,,Sage Encyclopedia,Al Qaeda
Al-Shabaab,5621,islamist,liberation,,https://en.wikipedia.org/wiki/Al-Shabaab_(militant_group),,Sage Encyclopedia,AL SHABAB
Algerian Islamic Extremists,442,,,,,,,
Allied Democratic Forces (ADF),1223,islamist,liberation,,https://en.wikipedia.org/wiki/Allied_Democratic_Forces,,,
Ansar al-Din Front,206,islamist,,,https://en.wikipedia.org/wiki/Ansar_al-Din_Front,,,
Ansar al-Sharia (Libya),102,,,,https://en.wikipedia.org/wiki/Ansar_al-Islam,,,
Ansar al-Sunna,141,islamist,liberation,,https://en.wikipedia.org/wiki/Jamaat_Ansar_al-Sunna,,Sage Encyclopedia,ANSAR AL ISLAM
Anti-Balaka Militia,535,christian,,,https://en.wikipedia.org/wiki/Anti-balaka,,,
Anti-Government extremists,256,,,,,,,
Anti-Government Guerrillas,143,,,,,,,
Arakan Rohingya Salvation Army (ARSA),142,islamist,liberation,,https://en.wikipedia.org/wiki/Arakan_Rohingya_Salvation_Army,,,
Armed Islamic Group (GIA),1390,islamist,liberation,,https://en.wikipedia.org/wiki/Armed_Islamic_Group_of_Algeria,,Combs&Slann,Armed Islamic Group (GIA)
Asa'ib Ahl al-Haqq,116,islamist,,,https://en.wikipedia.org/wiki/Asaib_Ahl_al-Haq,,,
Azawad National Liberation Movement (MNLA),116,liberation,liberation,,https://en.wikipedia.org/wiki/National_Movement_for_the_Liberation_of_Azawad,,,
Baloch Liberation Army (BLA),256,liberation,liberation,,https://en.wikipedia.org/wiki/Balochistan_Liberation_Army,,,
Baloch Liberation Front (BLF),148,liberation,liberation,,https://en.wikipedia.org/wiki/Baluch_Liberation_Front,,,
Baloch Republican Army (BRA),137,liberation,liberation,,https://en.wikipedia.org/wiki/Baloch_Republican_Army,,,
Bangsamoro Islamic Freedom Movement (BIFM),130,islamist,liberation,,https://en.wikipedia.org/wiki/Bangsamoro_Islamic_Freedom_Fighters,,,
Barqa Province of the Islamic State,205,islamist,liberation,,https://en.wikipedia.org/wiki/Islamic_State_of_Iraq_and_the_Levant_in_Libya,,Sage Encyclopedia,known as the Islamic State of Iraq
Basque Fatherland and Freedom (ETA),727,liberation,Far-left,,https://en.wikipedia.org/wiki/ETA_(liberation_group),,ETA,
Bodo Militants,362,,,,,,,
Boko Haram,17903,islamist,liberation,,https://en.wikipedia.org/wiki/Boko_Haram,,Sage Encyclopedia,"Islamic State in West Africa(Wiki)-> ""known as the Islamic State""(SAGE)"
Caucasus Emirate,227,islamist,liberation,,https://en.wikipedia.org/wiki/Caucasus_Emirate,,Sage Encyclopedia,
Chechen Rebels,1338,,,,,,,
Christian extremists,304,,,,,,,
Communist Party of India - Maoist (CPI-Maoist),2118,Far-left,liberation,,https://en.wikipedia.org/wiki/Communist_Party_of_India_(Maoist),,,
Communist Party of Nepal- Maoist (CPN-M),610,Far-left,liberation,,https://en.wikipedia.org/wiki/Communist_Party_of_Nepal_(Maoist_Centre),,Sage Encyclopedia,Communist Party of Nepal
Communists,135,,,,,,,
Death Squad,809,,,,,,,
Deccan Mujahideen,184,islamist,liberation,,https://es.wikipedia.org/wiki/Muyahidines_del_Dec%C3%A1n,,Sage Encyclopedia,Mumbai Attack
Democratic Front for the Liberation of Rwanda (FDLR),414,ethnic,liberation,,https://en.wikipedia.org/wiki/Democratic_Forces_for_the_Liberation_of_Rwanda,,Sage Encyclopedia,
Dev Sol,118,Far-left,,,https://de.wikipedia.org/wiki/Devrimci_Sol#Aktivit%C3%A4ten_in_Deutschland,,Sage Encyclopedia,REVOLUTIONARY PEOPLE’S LIBERATION PARTY/FRONT
Dissident Military Mmbrs of Northern Tribal Group,150,,,,,,,
Donetsk People's Republic,796,liberation,,,https://en.wikipedia.org/wiki/Donetsk_People%27s_Republic,,,
Farabundo Marti National Liberation Front (FMLN),2323,Far-left,,,https://en.wikipedia.org/wiki/Farabundo_Mart%C3%AD_National_Liberation_Front,,kushner,Farabundo Marti National Liberation Front
Free Aceh Movement (GAM),117,liberation,,,https://en.wikipedia.org/wiki/Free_Aceh_Movement,,,
Free Syrian Army,216,liberation,,,https://en.wikipedia.org/wiki/Free_Syrian_Army#Religious_and_ethnic_character,,,
Front for the Liberation of Lebanon from Foreigners,238,,,,https://en.wikipedia.org/wiki/Front_for_the_Liberation_of_Lebanon_from_Foreigners,,,
Fulani extremists,2998,,,,,,,
Guerrilla Army of the Poor (EGP),205,,,,https://en.wikipedia.org/wiki/Guerrilla_Army_of_the_Poor,,,
Gunmen,387,,,,,,,
Hadramawt Province of the Islamic State,109,islamist,,,https://en.wikipedia.org/wiki/Al-Qaeda_in_the_Arabian_Peninsula,,Sage Encyclopedia,"William Long(Wiki)->LONG, WILLIAM ANDREW, MURDER OF (SAGE)"
Hamas (Islamic Resistance Movement),763,islamist,liberation,,https://en.wikipedia.org/wiki/Hamas,,Kushner,
Haqqani Network,445,islamist,liberation,,https://en.wikipedia.org/wiki/Haqqani_network,,,
Harkatul Jihad-e-Islami,226,islamist,,,https://en.wikipedia.org/wiki/Harkat-ul-Jihad_al-Islami,,Kushner,Harakat ul-Mujahideen 
Hay'at Tahrir al-Sham,177,islamist,liberation,,https://en.wikipedia.org/wiki/Tahrir_al-Sham,,,
Hezbollah,749,islamist,liberation,antisemitism,https://en.wikipedia.org/wiki/Hezbollah,,Sage Encyclopedia,
Hizbul Mujahideen (HM),228,islamist,islamist,,https://en.wikipedia.org/wiki/Hizbul_Mujahideen,,kushner,
Houthi extremists (Ansar Allah),1822,islamist,islamist,antisemitism,https://en.wikipedia.org/wiki/Houthis,,Sage Encyclopedia,hezbollah
Hutu extremists,2634,,,,,,,
Indian Mujahideen,132,islamist,,,https://en.wikipedia.org/wiki/Indian_Mujahideen,,,
Inkatha Freedom Party (IFP),182,Far-right,ethnic,,https://en.wikipedia.org/wiki/Inkatha_Freedom_Party,,,
Institutional Revolutionary Party (PRI),100,liberation,,,https://en.wikipedia.org/wiki/Institutional_Revolutionary_Party,,,
Irish Republican Army (IRA),1069,liberation,christian,,Sage Encyclopedia,,Combs&Slann,
Islambouli Brigades of al-Qaida,120,islamist,,,https://en.wikipedia.org/wiki/Khalid_Islambouli,,Sage Encyclopedia,Al Qaeda
Islamic Front (Syria),128,islamist,liberation,,https://en.wikipedia.org/wiki/Islamic_Front_(Syria),,,
Islamic Salvation Front (FIS),194,islamist,,,https://en.wikipedia.org/wiki/Islamic_Salvation_Front,,Sage Encyclopedia,
Islamic State in Egypt,142,islamist,liberation,,https://en.wikipedia.org/wiki/Islamic_State_of_Iraq_and_the_Levant,,Sage Encyclopedia,AL QAEDA IN IRAQ 
Islamic State of Iraq (ISI),1721,islamist,liberation,,https://en.wikipedia.org/wiki/Islamic_State_of_Iraq_and_the_Levant,,Sage Encyclopedia,AL QAEDA IN IRAQ 
Islamic State of Iraq and the Levant (ISIL),28022,islamist,liberation,,https://en.wikipedia.org/wiki/Islamic_State_of_Iraq_and_the_Levant,,Sage Encyclopedia,AL QAEDA IN IRAQ 
Islamist extremists,1042,,,,,,,
Issa and Gurgura Liberation Front,100,liberation,,,https://en.wikipedia.org/wiki/Issa_and_Gurgura_Liberation_Front,,,
Jaish-e-Islam,102,islamist,,,https://en.wikipedia.org/wiki/Lashkar-e-Islam,,,
Janjaweed,319,ethnic,liberation,,https://en.wikipedia.org/wiki/Janjaweed,,Sage Encyclopedia,
Jaysh al-Islam (Syria),144,islamist,,,https://en.wikipedia.org/wiki/Jaysh_al-Islam,,,
Jemaah Islamiya (JI),338,islamist,,,https://en.wikipedia.org/wiki/Jemaah_Islamiyah,,Sage Encyclopedia,BALI NIGHTCLUB BOMBING
Jihadi-inspired extremists,252,,,,,,,
Jundallah (Iran),161,islamist,liberation,,https://en.wikipedia.org/wiki/Jundallah_(Iran),,,
Jundallah (Pakistan),251,islamist,liberation,,https://en.wikipedia.org/wiki/Jundallah_(Pakistan),,,
Justice and Equality Movement (JEM),261,liberation,,,https://en.wikipedia.org/wiki/Justice_and_Equality_Movement,,,
Kamwina Nsapu Militia,178,liberation,,,https://en.wikipedia.org/wiki/Kamwina_Nsapu_rebellion,,,
Karen National Union,214,liberation,christian,,https://en.wikipedia.org/wiki/Karen_National_Union,,Sage Encyclopedia,ethnic Karen guerrillas
Kashmiri extremists,126,,,,,,,
Khalistan Commando Force,114,Sikh,liberation,,https://en.wikipedia.org/wiki/Khalistan_Commando_Force,,,
Khalistan Liberation Force,130,,,,https://en.wikipedia.org/wiki/Khalistan_Liberation_Force,,,
Khmer Rouge,336,Far-left,liberation,ethnic,https://en.wikipedia.org/wiki/Khmer_Rouge,,combs&slann,
Khorasan Chapter of the Islamic State,1745,islamist,,,https://en.wikipedia.org/wiki/Islamic_State_of_Iraq_and_the_Levant_%E2%80%93_Khorasan_Province,,Sage Encyclopedia,AL QAEDA IN IRAQ 
Kurdistan Freedom Hawks (TAK),139,liberation,liberation,ethnic,https://en.wikipedia.org/wiki/Kurdistan_Freedom_Hawks,,Sage Encyclopedia,freedom falcons
Kurdistan Workers' Party (PKK),2409,liberation,liberation,ethnic,Sage Encyclopedia,,Kushner,
Lashkar-e-Islam (Pakistan),232,islamist,,,https://en.wikipedia.org/wiki/Lashkar-e-Islam,,,
Lashkar-e-Jhangvi,1213,islamist,liberation,,https://en.wikipedia.org/wiki/Lashkar-e-Jhangvi,,,
Lashkar-e-Taiba (LeT),787,islamist,liberation,Far-right,https://en.wikipedia.org/wiki/Lashkar-e-Taiba,,Combs&Slann,
Left-Wing Guerrillas,159,,,,,,,
Liberation Tigers of Tamil Eelam (LTTE),6571,ethnic,liberation,Far-left,https://en.wikipedia.org/wiki/Liberation_Tigers_of_Tamil_Eelam,,Sage Encyclopedia,
Lord's Resistance Army (LRA),2922,christian,liberation,liberation,https://en.wikipedia.org/wiki/Lords_Resistance_Army,,Sage Encyclopedia,
M-19 (Movement of April 19),626,Far-left,liberation,,https://en.wikipedia.org/wiki/19th_of_April_Movement,,Sage Encyclopedia,MAY 19 COMMUNIST ORGANIZATION
Maoist Communist Center (MCC),193,Far-left,,,https://en.wikipedia.org/wiki/Maoist_Communist_Centre_of_India,,,
Maoists,1313,,,,,,,
Mayi Mayi,135,,,,https://en.wikipedia.org/wiki/Mai-Mai,,,
Militants,100,,,,,,,
Misrata Brigades,145,,,,,,,
Misurasata Indian Organization,119,,,,https://en.wikipedia.org/wiki/Nicaraguan_Indigenous_Organizations,,,
Moro Islamic Liberation Front (MILF),609,islamist,liberation,,https://en.wikipedia.org/wiki/Moro_Islamic_Liberation_Front,,Sage Encyclopedia,
Moro National Liberation Front (MNLF),411,islamist,liberation,,https://en.wikipedia.org/wiki/Moro_Islamic_Liberation_Front,,Sage Encyclopedia,Moro Islamic Liberation Front (MILF)
Movement for the Emancipation of the Niger Delta (MEND),278,,,,https://en.wikipedia.org/wiki/Movement_for_the_Emancipation_of_the_Niger_Delta,,,
Movement of Democratic Forces of Casamance,160,liberation,,,https://en.wikipedia.org/wiki/Movement_of_Democratic_Forces_of_Casamance,,,
Mozambique National Resistance Movement (MNR),2221,Far-right,liberation,,https://en.wikipedia.org/wiki/RENAMO,,,
Mujahedin-e Khalq (MEK),499,Far-left,liberation,islamist,https://en.wikipedia.org/wiki/People%27s_Mujahedin_of_Iran,,Sage Encyclopedia,MUJAHIDEEN-
Murle Tribe,368,ethnic,,,https://en.wikipedia.org/wiki/Murle_people#Massacres,,,
Muslim Brotherhood,200,islamist,Far-right,,https://en.wikipedia.org/wiki/Muslim_Brotherhood,,Sage Encyclopedia,"Hassan al Banna founded the Muslim Brotherhood,"
Muslim extremists,891,,,,,,,
Muslim Fundamentalists,122,,,,,,,
Muslim Militants,584,,,,,,,
Muslim Rebels,388,,,,,,,
Muslim liberations,143,,,,,,,
Muslims,355,,,,,,,
Muttahida Qami Movement (MQM),121,liberation,,,https://en.wikipedia.org/wiki/Muttahida_Qaumi_Movement,,,
Naga People,125,,,,,,,
Narco-Terrorists,442,,,,,,,
National Democratic Front of Bodoland (NDFB),494,ethnic,,,https://en.wikipedia.org/wiki/National_Democratic_Front_of_Boroland,,,
National Liberation Army of Colombia (ELN),1041,Far-left,liberation,liberation,https://en.wikipedia.org/wiki/National_Liberation_Army_(Colombia),,combs&slann,
National Liberation Front of Tripura (NLFT),206,christian,liberation,ethnic,https://en.wikipedia.org/wiki/National_Liberation_Front_of_Tripura,,,
National Resistance Movement (NRM),228,Far-right,liberation,,https://en.wikipedia.org/wiki/National_Resistance_Movement,,,
National Union for the Total Independence of Angola (UNITA),2065,christian,Far-right,liberation,https://en.wikipedia.org/wiki/UNITA,,,
Naxalites,403,Far-left,liberation,,https://en.wikipedia.org/wiki/Naxalite,,,Communist Party of India - Maoist (CPI-Maoist)
