Name des Bauwerks / Nom de l'ouvrage,Bauwerkstyp / Type d'ouvrage,Nationalstrasse Ni / Route nationale RNi,Koordinate X,Koordinate Y,Gemeinde,Kanton,Zustand im / Etat en 2017,Bemerkung
Brücke Rampe Sesselrain Ost,"Brücke, Viadukt",N3+,#N/A,#N/A,#N/A,#N/A,4,
"UNF Haldenstrasse, Brüttisellen","Brücke, Viadukt",N01,252623,689939,Wangen-Brüttisellen,Zürich,4,
"UNF Verbindungsstrasse, Verzw. Brütisellen","Brücke, Viadukt",N01,252498,689826,Wangen-Brüttisellen,Zürich,4,
Dürrbach Hegnauerstrasse (78),"Brücke, Viadukt",N15,250106,693192,Volketswil,Zürich,4,
Überf Bärenbohlstrasse (620),"Brücke, Viadukt",N1c,253980,681304,Zürich,Zürich,4,
Überf Eichrainweg (603),"Brücke, Viadukt",N1c,253939,683864,Zürich,Zürich,4,
Pont JCT Chexbres (758),"Brücke, Viadukt",,148667,548704,Chexbres,Vaud,4,
Pont sur Le Flon (Lausanne),"Brücke, Viadukt",N9+,154892,539030,Lausanne,Vaud,4,
PI Ch. des Daillettes,"Brücke, Viadukt",N9+,150560,544196,Bourg-en-Lavaux,Vaud,4,
PS Av. George de Maestral,"Brücke, Viadukt",N1+,131030,500694,Commugny,Vaud,4,
PS Ch. de Panlièvre,"Brücke, Viadukt",N1-,141024,507369,Duillier,Vaud,4,
PS Ch. de Ruyre,"Brücke, Viadukt",N01,143414,510673,Luins,Vaud,4,
PS Ch. des Iles,"Brücke, Viadukt",N1+,149403,524149,Saint-Prex,Vaud,4,
PS RC de Mely,"Brücke, Viadukt",212,144262,511953,Bursins,Vaud,4,
PS Rc des Coudres (Bogis),"Brücke, Viadukt",N1+,133755,502352,Bogis-Bossey,Vaud,4,
PS Rc Menant Au Bois-du-Nant (Arnex),"Brücke, Viadukt",N1-,136546,504645,Arnex-sur-Nyon,Vaud,4,
BRÜCKE Hang Rothwald,"Brücke, Viadukt",N9=,125266,646273,Ried-Brig,Valais,4,
BRÜCKE Meggeri 2,"Brücke, Viadukt",N9=,124254,646386,Ried-Brig,Valais,4,
DEMI PONT  EN GARIN  1,"Brücke, Viadukt",H21,91914.22,581477.1,Liddes,Valais,4,
DEMI PONT DE TORNAFOU 2,"Brücke, Viadukt",H21,91983.57,581393.05,Liddes,Valais,4,
PONT CFF + T9 Saxon - Fully,"Brücke, Viadukt",503,110022,578176,Saxon,Valais,4,
PONT Indivis rte de débord Nord,"Brücke, Viadukt",N9-,108133,574829,Fully,Valais,4,
PONT RC sur le Rhône à Saxon,"Brücke, Viadukt",N9-,110775,577664,Fully,Valais,4,
PONT SUR LE DURNAND,"Brücke, Viadukt",H21,102482.46,571089.03,Martigny-Combe,Valais,4,
PONT SUR LE TORRENT D'ALLEVES,"Brücke, Viadukt",H21,91276.69,582087.23,Liddes,Valais,4,
PONT sur Lizerne rte de débord  923,"Brücke, Viadukt",N9+,117370,587200,Ardon,Valais,4,
Sottopasso SC  Bissone - Campione (S-N),"Brücke, Viadukt",N2-,90120,718330,Bissone,Ticino,4,
Viadotto Ganne di S. Antonio,"Brücke, Viadukt",N2P,155850,686030,Airolo,Ticino,4,
"UEF Anschluss Reichenburg, Benken","Brücke, Viadukt",N03,227039,716595,Benken (SG),St. Gallen,4,
"Brücke Alter Rhein Nord, St. Margrethen","Brücke, Viadukt",N1-,258485,765930,St. Margrethen,St. Gallen,4,
"Brücke Alter Rhein Süd, St. Margrethen","Brücke, Viadukt",N1-,258448,765925,St. Margrethen,St. Gallen,4,
UEF Nord AS Egerkingen,"Brücke, Viadukt",N2-,241253,627735,Egerkingen,Solothurn,4,
"Boli - Brücke, Bergspur","Brücke, Viadukt",N4+,211980,682280,Arth,Schwyz,4,
"Boli - Brücke, Talspur","Brücke, Viadukt",N4+,211980,682280,Arth,Schwyz,4,
Eisenbetonbrücke bei Pr. 93,"Brücke, Viadukt",N4=,202526,689381,Morschach,Schwyz,4,
"Linden - Brücke, Bergspur","Brücke, Viadukt",N4+,211610,683250,Arth,Schwyz,4,
"Linden - Brücke, Talspur","Brücke, Viadukt",N4+,211610,683250,Arth,Schwyz,4,
"Mettlen - Brücke, Bergspur","Brücke, Viadukt",N4+,211740,682770,Arth,Schwyz,4,
"Mettlen - Brücke, Talspur","Brücke, Viadukt",N4+,211740,682770,Arth,Schwyz,4,
Dorfbachbrücke Hinterrhein,"Brücke, Viadukt",N13,154730,735025,Hinterrhein,Graubünden,4,
Lehnenbrücke Burgruine Splügen,"Brücke, Viadukt",N13,157890,745563,Splügen,Graubünden,4,
Räppierbachbrücke,"Brücke, Viadukt",N13,154765,735335,Hinterrhein,Graubünden,4,
Überführung Anschluss Untervaz,"Brücke, Viadukt",N13,198865,761707,Zizers,Graubünden,4,
Unterführung Unter Rüti,"Brücke, Viadukt",N13,158290,746070,Splügen,Graubünden,4,
Unterführung Zipfen,"Brücke, Viadukt",N13,157382,744705,Splügen,Graubünden,4,
Überführung Gierswiesen,"Brücke, Viadukt",N3+,219950,723900,Glarus Nord,Glarus,4,
Brücke Bienne-N Axe 19-12 B-J,"Brücke, Viadukt",N16,223120,586670,Biel/Bienne,Bern,4,
BRÜCKE Worblaufenstrasse,"Brücke, Viadukt",N6-,202115,602420,Bern,Bern,4,
Encorbellement Ruusu,"Brücke, Viadukt",N5=,219330,582750,Twann-Tüscherz,Bern,4,
Encorbellement sur Suze Péry,"Brücke, Viadukt",N16,226340,584734,Péry-La Heutte,Bern,4,
