Jahr,Lugano,Basel-Binningen,Genève-Cointrin,Luzern,Sion,Bern-Zollikofen,Zürich-Fluntern,St. Gallen
1960,18.73,16.8,17.37,16,17.23,15.4,15.97,14.6
1961,19.7,16.97,17.57,16.43,17.87,15.77,16.2,14.73
1962,20.2,17.37,18.17,16.6,18.67,16.37,16.67,14.9
1963,19.23,17.27,17.3,16.4,17.7,15.8,16.47,15.03
1964,20.13,18.37,18.9,17.5,18.87,17.03,17.47,15.87
1965,19.43,16.7,17,15.77,16.9,15.33,15.6,14.27
1966,19,16.63,17.67,15.83,17.37,15.6,15.57,14.27
1967,20.4,17.53,18.1,17.03,18.5,16.63,16.7,15.5
1968,18.63,16.7,17,15.8,17.47,15.23,15.77,14.37
1969,19.37,16.77,17.27,15.97,17.23,15.4,15.87,14.33
1970,19.9,17.8,18.47,16.9,18.33,16.67,16.8,15.6
1971,20.5,17.77,18.47,16.9,18.6,16.53,16.7,15.6
1972,19.23,16.5,17.07,15.67,17.3,15.2,15.5,14.27
1973,20.47,17.97,18.23,17.43,18.43,16.8,17.13,15.8
1974,20.47,17,17.5,16.63,17.83,16,16.3,14.8
1975,19.97,17.47,17.57,16.47,17.87,15.97,16.27,14.87
1976,20.5,18.9,18.97,17.8,18.9,17.23,17.37,15.87
1977,18.3,16.67,16.9,16.03,17.1,15.43,15.8,14.6
1978,19.43,16.3,16.63,15.53,16.5,14.83,15.3,13.9
1979,19.47,17,17.7,16.33,17.53,15.77,16.2,14.83
1980,19.03,16.5,16.53,15.97,16.7,15.17,15.5,14.3
1981,20.07,17.13,17.53,16.67,17.77,16.07,16.43,14.9
1982,20.8,18.37,18.57,17.6,18.53,16.8,17.4,16.07
1983,21.3,19.87,20.03,19.1,19.63,18.33,18.97,17.3
1984,20.37,17.53,18.13,16.97,17.73,16.3,16.57,14.9
1985,20.4,17.77,18.07,17.2,17.93,16.53,16.8,15.2
1986,20.37,17.97,18.57,17.33,18.17,16.53,16.7,15.2
1987,19.67,17.43,17.93,16.87,17.83,16.17,16.3,15.03
1988,20.27,17.87,18.53,17.63,18.63,16.67,16.93,15.57
1989,20.4,18.3,19.2,17.5,18.87,16.7,16.9,15.53
1990,20.8,18.27,18.77,17.77,18.73,16.93,17.33,16.13
1991,21.97,18.93,19.5,18.33,19.53,17.47,18.03,16.4
1992,20.67,19.4,19.4,18.6,19.37,17.7,18.37,17.33
1993,20.77,18.17,18.67,17.67,19.03,16.83,17,15.7
1994,22.27,20.13,20.37,19.4,20.1,18.7,19.13,17.83
1995,20.73,18.63,19.17,17.97,19.1,17.33,17.43,16
1996,20.57,18.03,18.3,17.47,18.8,16.5,16.93,15.63
1997,20.27,18.63,18.5,17.63,18.63,16.87,17.2,16.03
1998,21.4,18.73,19.63,18.57,19.67,17.73,17.97,16.8
1999,20.83,18.43,18.73,17.83,18.87,17.13,17.13,15.87
2000,21.03,18.47,19.07,18.03,19.2,17.13,17.43,16.47
2001,21.13,18.73,19.03,18.17,19,17.4,17.5,16.47
2002,20.93,18.93,19.37,18.6,19.43,17.53,18.2,16.9
2003,24.2,22.8,23.13,21.77,22.5,20.8,21.6,20.23
2004,21.4,18.97,19.13,18.07,19.43,17.07,17.63,16.4
2005,21.73,18.67,19.5,18.1,19.43,17.5,17.63,16.13
2006,21.9,19.57,20,18.8,19.87,18.03,18.3,17.03
2007,21.03,18.4,18.73,17.7,18.8,17.03,17.27,16.4
2008,21.03,18.83,19.27,18.2,19.63,17.57,17.8,16.47
2009,21.97,19.6,19.97,18.7,20.17,18.23,18.33,16.93
2010,21.87,19.3,19.47,18.4,19.73,18.1,18.03,16.63
2011,21.13,18.57,18.6,17.93,19.47,17.63,17.5,16.13
2012,22.7,19.4,19.87,18.93,20.53,18.17,18.3,17.03
2013,22.2,19.53,19.5,18.83,20.2,18.27,18.5,16.93
2014,20.17,18.6,18.5,17.8,19.27,17.1,17.33,15.9
2015,23.13,20.97,21.63,20.57,21.83,19.83,20.17,18.7
2016,21.63,19.57,19.63,18.73,20.4,18.2,18.27,16.9
2017,22.83,20.77,21.17,19.8,21.7,19.3,19.53,18.13
2018,22.97,21.2,21.23,20.57,22.07,19.53,20.17,18.3
