Datum,Tagesmaximum
6/19/1960,31
8/25/1960,30.2
6/25/1961,31.3
6/26/1961,30
7/2/1961,31.2
7/3/1961,31
7/12/1961,31.2
8/6/1961,30.1
8/29/1961,31
8/30/1961,31.3
9/1/1961,30.9
9/17/1961,30.5
7/10/1962,31.6
7/25/1962,32.2
7/26/1962,30.2
8/2/1962,31.9
8/12/1962,31.2
8/13/1962,34.5
8/14/1962,34.2
9/3/1962,32.6
6/22/1963,30
7/22/1963,30.2
7/23/1963,30.4
8/2/1963,30.9
6/12/1964,30.3
6/13/1964,30.7
7/14/1964,30.4
7/15/1964,31.7
7/16/1964,33.9
7/17/1964,32.6
7/18/1964,34.1
7/19/1964,30.8
7/20/1964,30.1
7/21/1964,34.3
7/26/1964,32.1
7/27/1964,31.1
7/31/1964,30.2
8/6/1964,31.7
8/17/1964,30.1
8/26/1964,30.1
8/27/1964,32.1
8/28/1964,31.8
6/25/1965,30.3
6/30/1965,31.2
7/13/1965,31.9
8/12/1966,32.1
8/13/1966,33
6/23/1967,31.1
6/24/1967,32.6
6/25/1967,31.2
7/13/1967,30.6
7/18/1967,32
7/19/1967,30.3
8/1/1967,30.8
8/2/1967,30.6
7/1/1968,32.9
7/2/1968,31.6
7/10/1968,31.2
5/13/1969,31.2
5/14/1969,30.6
7/16/1969,30.9
7/23/1969,31
7/24/1969,31.9
7/28/1969,30.6
8/5/1970,30.6
7/9/1971,30.5
7/10/1971,31.3
7/11/1971,32
7/25/1971,30.4
7/26/1971,30.4
7/27/1971,31
8/2/1971,31
8/6/1971,30.5
8/14/1971,30.9
8/18/1971,32.9
8/19/1971,31.5
7/9/1972,30.9
8/13/1972,30.4
6/27/1973,30.5
7/5/1973,30.9
8/6/1973,31.4
9/4/1973,30.4
7/30/1974,30.3
8/3/1974,31.3
8/13/1974,31
8/14/1974,30.5
8/15/1974,33.7
8/16/1974,35.9
8/17/1974,30.8
7/14/1975,31.9
8/2/1975,30.4
8/3/1975,31.7
8/4/1975,32
8/5/1975,30.8
8/6/1975,30
8/7/1975,31.4
8/8/1975,30.7
6/22/1976,30.3
6/23/1976,30.1
6/24/1976,30.5
6/25/1976,31.9
6/26/1976,31.5
6/27/1976,32.5
6/28/1976,32.3
6/29/1976,33
6/30/1976,33.1
7/1/1976,33.8
7/2/1976,33.6
7/3/1976,33
7/4/1976,32.8
7/5/1976,33.1
7/6/1976,31.7
7/7/1976,30.3
7/11/1976,30.6
7/15/1976,31.9
7/16/1976,34
7/17/1976,32.4
6/13/1977,30.5
7/29/1978,31
7/30/1978,31.4
7/29/1979,30.1
7/25/1980,30
8/2/1980,32.3
8/3/1980,30.4
8/5/1981,30.2
8/6/1981,30.9
7/2/1982,31.2
7/9/1982,32
7/11/1982,31.3
7/12/1982,30.8
7/13/1982,30
7/14/1982,30.4
8/12/1982,30.6
7/10/1983,30.4
7/16/1983,31.4
7/17/1983,32.6
7/18/1983,31.4
7/19/1983,31.1
7/20/1983,30.3
7/22/1983,31.5
7/23/1983,33.1
7/25/1983,32.4
7/26/1983,35.8
7/27/1983,35.8
7/28/1983,32.9
7/30/1983,32
7/31/1983,38.4
8/19/1983,30.2
7/8/1984,31.2
7/9/1984,33.6
7/10/1984,34.8
7/11/1984,33.5
7/30/1984,34.2
7/31/1984,31.3
8/3/1984,32.4
7/14/1985,31.6
7/25/1985,31.4
7/26/1985,35.5
7/28/1985,32.8
8/14/1985,35.5
6/22/1986,31.1
6/23/1986,31.2
6/27/1986,30.7
6/28/1986,30.3
7/28/1986,30.3
7/29/1986,31.7
7/31/1986,30.1
8/2/1986,30.6
8/3/1986,35.5
6/29/1987,31.1
6/30/1987,31.3
8/21/1987,30.3
8/22/1987,31.3
9/17/1987,30.8
7/23/1988,33.5
7/26/1988,31.6
8/14/1988,31.3
6/21/1989,30.1
7/6/1989,30.8
7/21/1989,31.1
7/23/1989,32.8
7/24/1989,31.9
8/15/1989,31
8/16/1989,34.3
8/21/1989,30.3
6/26/1990,30.5
7/21/1990,30.6
7/22/1990,30.8
7/27/1990,30.2
7/28/1990,34.1
8/2/1990,31.3
8/3/1990,30.7
8/4/1990,31.3
8/5/1990,32.7
8/11/1990,30.2
8/12/1990,31.7
8/13/1990,31.3
8/24/1990,30.2
7/5/1991,30.5
7/6/1991,30.2
7/7/1991,31.1
7/11/1991,32.5
7/12/1991,30.3
7/23/1991,31.8
7/30/1991,30.1
8/6/1991,30.6
8/7/1991,32.8
8/22/1991,31.7
7/20/1992,31.2
7/21/1992,30.5
7/30/1992,32.2
7/31/1992,31.8
8/2/1992,30.9
8/3/1992,31
8/6/1992,31.2
8/7/1992,32.6
8/8/1992,34.3
8/9/1992,33.4
8/18/1992,32.1
8/19/1992,31.6
8/20/1992,30.9
8/25/1992,30.7
8/26/1992,32.3
8/28/1992,33.7
6/9/1993,30.2
7/29/1993,30.1
7/30/1993,32.9
8/14/1993,31.6
8/21/1993,31.4
8/22/1993,30.6
6/24/1994,30.7
7/1/1994,30.6
7/2/1994,32.7
7/3/1994,33.7
7/4/1994,32.1
7/11/1994,30
7/12/1994,30.5
7/13/1994,31.8
7/17/1994,30.3
7/24/1994,31.8
7/26/1994,31.1
7/27/1994,32.5
7/28/1994,31.6
8/3/1994,32
8/4/1994,34.3
8/5/1994,34.2
8/6/1994,31.9
8/7/1994,30.9
8/9/1994,30.5
8/22/1994,30.9
6/20/1995,30.4
6/30/1995,30.4
7/9/1995,30.7
7/10/1995,31.6
7/20/1995,32.7
7/21/1995,33.8
7/22/1995,32
7/26/1995,31.4
8/1/1995,30
8/5/1995,31.4
6/6/1996,30.6
6/7/1996,31.9
6/11/1996,30.8
6/12/1996,30.5
6/10/1997,30.5
8/4/1997,30.1
8/5/1997,30.1
8/11/1997,30.1
8/23/1997,30.4
8/24/1997,31
8/25/1997,30.3
6/5/1998,32.6
6/6/1998,30.6
6/20/1998,30.6
6/21/1998,32.1
7/19/1998,31.3
7/20/1998,35.2
7/21/1998,30.4
7/23/1998,30.3
8/8/1998,32.3
8/9/1998,33
8/10/1998,33.8
8/11/1998,34.8
8/12/1998,33.3
8/16/1998,30.1
8/17/1998,30.7
5/29/1999,30.7
7/3/1999,32
7/4/1999,32.1
6/3/2000,30.4
6/19/2000,32.1
6/20/2000,32.4
6/21/2000,31.3
7/2/2000,32.8
8/14/2000,30.1
8/19/2000,30.5
8/20/2000,32.8
6/26/2001,31.2
7/27/2001,30
7/31/2001,31
8/2/2001,33.6
8/14/2001,31.6
8/15/2001,33.4
8/25/2001,30.7
8/26/2001,31.6
8/27/2001,30.6
6/14/2002,30.3
6/15/2002,30.6
6/17/2002,34.2
6/18/2002,34.5
6/19/2002,31.6
6/23/2002,30.6
7/29/2002,30.4
8/19/2002,30.9
6/4/2003,30.6
6/10/2003,32.7
6/11/2003,31.3
6/12/2003,34.9
6/14/2003,33.6
6/15/2003,30.3
6/17/2003,30.4
6/22/2003,33.9
6/23/2003,35.9
6/24/2003,32.3
6/25/2003,30.4
6/26/2003,31.7
6/29/2003,31.8
6/30/2003,33.9
7/11/2003,30.4
7/12/2003,30.5
7/13/2003,30.4
7/14/2003,32.4
7/15/2003,33.9
7/16/2003,30.7
7/19/2003,32.5
7/20/2003,36.3
7/22/2003,30.1
8/2/2003,31.7
8/3/2003,34.4
8/4/2003,35.6
8/5/2003,36.6
8/6/2003,35.7
8/7/2003,36.8
8/8/2003,37
8/9/2003,36.7
8/10/2003,36.9
8/11/2003,35.8
8/12/2003,36.7
8/13/2003,38.6
8/16/2003,31.4
8/17/2003,31.1
8/23/2003,30.5
8/24/2003,30.7
8/26/2003,30.5
8/27/2003,30.3
6/8/2004,30.1
6/9/2004,31.1
6/10/2004,31.2
7/17/2004,30.5
7/22/2004,30.9
7/31/2004,30
8/1/2004,32
8/2/2004,31.9
8/3/2004,31.1
8/7/2004,30.1
8/8/2004,31.3
8/12/2004,30.3
8/18/2004,30.1
5/27/2005,30.6
5/28/2005,30
5/29/2005,30.8
6/19/2005,30.3
6/20/2005,31.5
6/21/2005,32.4
6/22/2005,31
6/23/2005,32.1
6/24/2005,32.5
6/26/2005,30.8
6/27/2005,32.6
6/28/2005,34
6/29/2005,30
7/14/2005,30.1
7/15/2005,30.9
7/17/2005,30.3
7/27/2005,33.6
7/28/2005,34.6
6/14/2006,30.7
6/15/2006,30.1
6/18/2006,31
6/24/2006,30.4
6/25/2006,31.5
7/4/2006,32.1
7/5/2006,31.4
7/11/2006,32
7/12/2006,31.4
7/13/2006,31
7/17/2006,30
7/18/2006,32.3
7/19/2006,34.1
7/20/2006,32.8
7/21/2006,34.2
7/22/2006,31.1
7/23/2006,31.1
7/24/2006,33.4
7/25/2006,35.2
7/26/2006,31.2
7/27/2006,33.7
7/30/2006,30.3
7/14/2007,30.8
7/15/2007,33.5
7/16/2007,33.6
8/15/2007,33.1
6/22/2008,31.4
6/23/2008,30.5
6/25/2008,30.5
7/1/2008,31.3
7/2/2008,32.5
7/31/2008,32
5/24/2009,31.3
5/25/2009,32.3
7/1/2009,30.1
7/2/2009,30.8
7/21/2009,32.4
8/1/2009,30.3
8/16/2009,30.8
8/17/2009,32
8/19/2009,33
8/20/2009,34.6
8/24/2009,30.9
9/1/2009,31
6/10/2010,32.2
6/27/2010,30
6/28/2010,30.5
6/29/2010,30.4
7/1/2010,30.3
7/2/2010,32.6
7/3/2010,32.5
7/8/2010,31.8
7/9/2010,33.3
7/10/2010,34.9
7/11/2010,31.4
7/12/2010,32.9
7/14/2010,35.7
7/16/2010,31.3
7/20/2010,31.2
7/21/2010,32.6
5/30/2011,31
6/27/2011,34.1
6/28/2011,33.7
7/12/2011,33.7
8/18/2011,31
8/21/2011,33.6
8/22/2011,35.1
8/23/2011,33.7
8/24/2011,32.5
8/26/2011,30.8
9/3/2011,30.9
9/10/2011,31.9
5/11/2012,30.6
6/28/2012,31.2
6/29/2012,33
7/25/2012,30.3
7/26/2012,32.4
7/27/2012,34.4
8/1/2012,31.6
8/15/2012,34
8/18/2012,32.2
8/19/2012,34
8/20/2012,32.9
8/21/2012,32.6
6/17/2013,34.5
6/18/2013,32.9
6/19/2013,33.6
7/21/2013,31.2
7/22/2013,33.3
7/23/2013,32.1
7/25/2013,30
7/26/2013,33
7/27/2013,37.3
7/28/2013,30.2
8/1/2013,32.2
8/2/2013,34.9
8/5/2013,31.9
6/7/2014,31.8
6/8/2014,32.6
6/9/2014,35.5
6/10/2014,33.1
6/11/2014,30.9
7/17/2014,31
7/18/2014,33
7/19/2014,33.3
6/5/2015,32.6
6/6/2015,31.3
6/30/2015,30.6
7/1/2015,33.7
7/2/2015,35.5
7/3/2015,35.7
7/4/2015,35.9
7/5/2015,36.5
7/7/2015,35.7
7/11/2015,31
7/15/2015,30.9
7/16/2015,33.8
7/17/2015,35
7/20/2015,31.3
7/21/2015,32.9
7/22/2015,33.2
7/24/2015,31.3
8/3/2015,32
8/5/2015,32.3
8/6/2015,35.3
8/7/2015,37
8/8/2015,31.3
8/12/2015,32.4
8/13/2015,31.5
8/27/2015,31.7
8/29/2015,31.8
8/30/2015,33
8/31/2015,33.2
6/23/2016,33.2
6/24/2016,31.6
7/10/2016,31.6
7/18/2016,30
7/19/2016,32.1
7/20/2016,34.6
8/24/2016,31.2
8/25/2016,32.2
8/26/2016,33.6
8/27/2016,33.8
8/28/2016,31.9
9/13/2016,30
5/27/2017,30.5
5/28/2017,31.2
5/29/2017,31.3
6/11/2017,30.8
6/15/2017,30.4
6/19/2017,31.7
6/20/2017,32.7
6/21/2017,33
6/22/2017,34.3
6/23/2017,30.4
6/26/2017,31.6
7/5/2017,31.5
7/6/2017,34
7/7/2017,33.5
7/8/2017,33.9
7/17/2017,30.2
7/18/2017,32.7
7/19/2017,33.4
7/21/2017,30.1
8/1/2017,30.2
8/2/2017,30.6
8/3/2017,31.7
8/15/2017,30
8/26/2017,31.1
8/29/2017,32
8/30/2017,31
6/30/2018,31.5
7/1/2018,30.7
7/2/2018,30.2
7/14/2018,30
7/24/2018,32.2
7/25/2018,33.1
7/26/2018,33
7/27/2018,33
