Datum,Tagesmaximum
6/19/1960,30
7/3/1961,30.8
6/23/1962,30.4
6/24/1962,30.9
7/25/1962,31
8/13/1962,30.2
8/14/1962,31.3
9/12/1962,30.2
7/15/1964,30.4
7/16/1964,31.4
7/17/1964,32
7/18/1964,32.4
7/19/1964,31.4
7/20/1964,30.3
7/21/1964,31.1
8/7/1964,30.6
8/28/1964,30.2
6/25/1965,31
6/26/1965,30.2
6/30/1965,31.1
8/13/1966,30.7
7/19/1967,30.7
8/1/1967,30.7
6/29/1968,30
7/1/1968,30.5
7/2/1968,30.8
7/17/1969,30
7/24/1969,30.3
8/6/1970,31
7/9/1971,30.7
7/10/1971,31.4
7/11/1971,32
7/12/1971,30.3
7/26/1971,30.1
7/27/1971,31.9
7/31/1971,30.9
8/2/1971,30.4
8/18/1971,30.4
8/19/1971,31.4
7/9/1972,30.8
7/5/1973,30.2
8/6/1973,30.4
7/12/1974,30.8
8/15/1974,31.5
8/16/1974,32.1
8/17/1974,31.5
7/8/1975,30.2
7/14/1975,30.8
8/3/1975,30.4
8/4/1975,30.4
6/30/1976,30.9
7/1/1976,30.8
7/2/1976,31.2
7/3/1976,30.8
7/5/1976,31.4
7/6/1976,30.8
7/15/1976,30
7/16/1976,32.1
7/17/1976,31.3
7/29/1979,30.2
8/2/1980,30.8
8/3/1980,30.1
7/9/1982,30
7/11/1982,31.2
8/12/1982,30.3
7/12/1983,30
7/17/1983,32.3
7/18/1983,30.9
7/19/1983,33
7/20/1983,31.4
7/22/1983,31.2
7/23/1983,33.7
7/25/1983,31.2
7/26/1983,35.2
7/27/1983,34.4
7/28/1983,32.8
7/29/1983,30.6
7/30/1983,31.8
7/31/1983,35.4
8/1/1983,30.6
7/9/1984,30.8
7/10/1984,32.1
7/11/1984,34.2
7/30/1984,30.3
7/31/1984,30.7
7/14/1985,31.5
7/25/1985,30.5
7/26/1985,33.4
8/14/1985,31.3
6/22/1986,30.2
6/23/1986,30
6/28/1986,30.5
7/29/1986,30.4
7/31/1986,30.3
8/2/1986,30.3
8/3/1986,32.8
6/30/1987,30.8
7/23/1988,32.4
8/16/1989,30.6
6/29/1990,30.4
7/21/1990,30.5
7/22/1990,31.1
7/28/1990,33.1
8/2/1990,30.1
8/4/1990,30.6
8/5/1990,32
7/6/1991,30.5
7/11/1991,31.5
7/12/1991,31.9
8/7/1991,32.3
7/19/1992,30.1
7/20/1992,31.9
7/30/1992,31.9
7/31/1992,30.9
8/3/1992,31.7
8/7/1992,31.4
8/8/1992,31.8
8/9/1992,31.8
8/19/1992,30.6
8/28/1992,31.4
7/30/1993,31.6
8/22/1993,30.4
6/29/1994,30.3
7/1/1994,30.3
7/2/1994,32
7/3/1994,33.6
7/4/1994,33.4
7/17/1994,31.1
7/26/1994,30
7/27/1994,30.7
7/28/1994,30.5
8/3/1994,30
8/4/1994,32.1
8/5/1994,32.5
8/6/1994,31.1
7/9/1995,30.2
7/10/1995,31.4
7/20/1995,30.7
7/21/1995,33.2
7/22/1995,33.4
7/26/1995,32
8/5/1995,30.4
6/7/1996,30.4
8/5/1997,30.1
6/5/1998,31.5
6/6/1998,30.7
6/21/1998,31.6
7/20/1998,33.7
7/21/1998,30.9
7/23/1998,30.6
8/9/1998,32.4
8/10/1998,32.8
8/11/1998,34
8/12/1998,33.4
8/16/1998,30.6
8/17/1998,30.1
5/29/1999,30
7/3/1999,31.4
7/4/1999,31.6
6/20/2000,30.7
8/20/2000,31.3
6/26/2001,30.3
7/6/2001,30.8
7/31/2001,30
8/2/2001,31.4
8/15/2001,30.9
8/27/2001,31.4
6/14/2002,30.2
6/15/2002,30.6
6/16/2002,30.1
6/17/2002,32.9
6/18/2002,33.7
6/19/2002,32.1
6/20/2002,31.2
6/22/2002,30.7
6/23/2002,33.2
6/10/2003,31.1
6/11/2003,30.7
6/12/2003,32.7
6/14/2003,30.6
6/22/2003,30.1
6/23/2003,34.3
6/24/2003,32.5
6/25/2003,32.2
6/30/2003,31.9
7/12/2003,30
7/14/2003,30.2
7/15/2003,31.3
7/16/2003,32.9
7/20/2003,32.9
8/3/2003,31.8
8/4/2003,33.5
8/5/2003,34.1
8/6/2003,34
8/7/2003,34.9
8/8/2003,34.6
8/9/2003,33.8
8/10/2003,34.8
8/11/2003,35.2
8/12/2003,34.6
8/13/2003,35.8
8/17/2003,31.3
6/10/2004,30.2
7/22/2004,30.1
8/1/2004,30.8
8/2/2004,30.7
5/28/2005,30
5/29/2005,30.4
6/20/2005,30.1
6/21/2005,30.8
6/22/2005,31.7
6/23/2005,30.1
6/24/2005,32.6
6/26/2005,30.3
6/27/2005,32.1
6/28/2005,33.8
7/15/2005,31.5
7/27/2005,31.1
7/28/2005,32.5
6/14/2006,30.1
6/15/2006,30.8
7/4/2006,31.5
7/5/2006,31.3
7/11/2006,31.7
7/12/2006,32.2
7/13/2006,30.1
7/14/2006,31
7/18/2006,31.1
7/19/2006,32.7
7/20/2006,32
7/21/2006,33.5
7/22/2006,31.5
7/23/2006,30.6
7/24/2006,32.5
7/25/2006,33.9
7/27/2006,32.9
7/30/2006,30.3
7/15/2007,31.8
7/16/2007,33
8/6/2007,30.3
8/15/2007,30.4
6/22/2008,31.9
6/23/2008,31.3
6/25/2008,31.1
5/24/2009,31.8
5/25/2009,32
8/17/2009,30.6
8/19/2009,30.9
8/20/2009,31.4
7/2/2010,31.2
7/3/2010,30.9
7/9/2010,31.3
7/10/2010,32.3
7/11/2010,30.9
7/12/2010,31.8
7/14/2010,32.5
7/16/2010,30.5
7/21/2010,31.2
6/27/2011,31.3
6/28/2011,32.5
7/12/2011,31
8/19/2011,31
8/21/2011,30.8
8/22/2011,32.6
8/23/2011,32.2
8/24/2011,31.2
8/26/2011,32.7
6/18/2012,30
6/29/2012,32
6/30/2012,30.6
7/26/2012,30.6
7/27/2012,32.6
8/1/2012,30
8/15/2012,31.3
8/19/2012,31.7
8/20/2012,33.2
8/21/2012,30.3
6/17/2013,33.9
6/18/2013,34
6/19/2013,31.7
7/22/2013,30.7
7/23/2013,31.5
7/25/2013,30.1
7/26/2013,32.6
7/27/2013,34.9
7/28/2013,31.4
8/1/2013,30.3
8/2/2013,33.1
8/5/2013,31.1
8/6/2013,30
6/7/2014,30.4
6/8/2014,31.9
6/9/2014,34.3
6/10/2014,32.1
7/17/2014,30
7/18/2014,31.2
7/19/2014,31.4
6/5/2015,30.7
6/6/2015,30.7
6/30/2015,30.5
7/1/2015,32.2
7/2/2015,33.8
7/3/2015,33.8
7/4/2015,34.5
7/5/2015,34.6
