Datum,Tagesmaximum
6/25/1967,31
9/17/1975,31.4
6/13/1977,30
7/26/1983,32.6
7/27/1983,31.9
7/28/1983,30
7/31/1983,31.2
7/11/1984,33.2
7/21/1995,30.4
7/22/1995,30.6
7/20/1998,30.2
8/11/1998,30.7
8/12/1998,30.9
8/20/2000,30.4
6/18/2002,30.8
6/12/2003,30.4
6/23/2003,31.6
6/30/2003,30.3
7/16/2003,30.6
8/5/2003,30.8
8/8/2003,30.4
8/9/2003,30.8
8/10/2003,31.3
8/12/2003,30.3
8/13/2003,33.2
7/21/2006,30.4
7/22/2006,30.3
7/10/2010,30.2
7/14/2010,30.3
8/26/2011,30.3
6/17/2013,30.6
6/18/2013,30.9
7/27/2013,30.5
7/28/2013,33.3
7/3/2015,30.1
7/4/2015,31.7
7/5/2015,31.6
7/7/2015,31.2
8/7/2015,31.5
7/31/2018,30.2
8/1/2018,30.2
