Year,summer
1960,15.4
1961,15.77
1962,16.37
1963,15.8
1964,17.03
1965,15.33
1966,15.6
1967,16.63
1968,15.23
1969,15.4
1970,16.67
1971,16.53
1972,15.2
1973,16.8
1974,16
1975,15.97
1976,17.23
1977,15.43
1978,14.83
1979,15.77
1980,15.17
1981,16.07
1982,16.8
1983,18.33
1984,16.3
1985,16.53
1986,16.53
1987,16.17
1988,16.67
1989,16.7
1990,16.93
1991,17.47
1992,17.7
1993,16.83
1994,18.7
1995,17.33
1996,16.5
1997,16.87
1998,17.73
1999,17.13
2000,17.13
2001,17.4
2002,17.53
2003,20.8
2004,17.07
2005,17.5
2006,18.03
2007,17.03
2008,17.57
2009,18.23
2010,18.1
2011,17.63
2012,18.17
2013,18.27
2014,17.1
2015,19.83
2016,18.2
2017,19.3
2018,19.53
