Year,summer
1960,18.73
1961,19.7
1962,20.2
1963,19.23
1964,20.13
1965,19.43
1966,19
1967,20.4
1968,18.63
1969,19.37
1970,19.9
1971,20.5
1972,19.23
1973,20.47
1974,20.47
1975,19.97
1976,20.5
1977,18.3
1978,19.43
1979,19.47
1980,19.03
1981,20.07
1982,20.8
1983,21.3
1984,20.37
1985,20.4
1986,20.37
1987,19.67
1988,20.27
1989,20.4
1990,20.8
1991,21.97
1992,20.67
1993,20.77
1994,22.27
1995,20.73
1996,20.57
1997,20.27
1998,21.4
1999,20.83
2000,21.03
2001,21.13
2002,20.93
2003,24.2
2004,21.4
2005,21.73
2006,21.9
2007,21.03
2008,21.03
2009,21.97
2010,21.87
2011,21.13
2012,22.7
2013,22.2
2014,20.17
2015,23.13
2016,21.63
2017,22.83
2018,22.97
