Year,summer
1960,16
1961,16.43
1962,16.6
1963,16.4
1964,17.5
1965,15.77
1966,15.83
1967,17.03
1968,15.8
1969,15.97
1970,16.9
1971,16.9
1972,15.67
1973,17.43
1974,16.63
1975,16.47
1976,17.8
1977,16.03
1978,15.53
1979,16.33
1980,15.97
1981,16.67
1982,17.6
1983,19.1
1984,16.97
1985,17.2
1986,17.33
1987,16.87
1988,17.63
1989,17.5
1990,17.77
1991,18.33
1992,18.6
1993,17.67
1994,19.4
1995,17.97
1996,17.47
1997,17.63
1998,18.57
1999,17.83
2000,18.03
2001,18.17
2002,18.6
2003,21.77
2004,18.07
2005,18.1
2006,18.8
2007,17.7
2008,18.2
2009,18.7
2010,18.4
2011,17.93
2012,18.93
2013,18.83
2014,17.8
2015,20.57
2016,18.73
2017,19.8
2018,20.57
