Datum,Tagesmaximum
7/25/1962,31.3
8/2/1962,31.4
8/13/1962,30.9
8/14/1962,31.6
9/3/1962,30.8
6/22/1963,30
7/16/1964,31.1
7/17/1964,31.7
7/18/1964,32.1
7/19/1964,31.4
7/20/1964,30.1
7/21/1964,30.5
7/26/1964,30.4
8/28/1964,30
6/25/1965,31.8
6/30/1965,30
8/12/1966,30.5
8/13/1966,31.7
7/18/1967,30.8
7/19/1967,30.7
6/28/1968,30.4
6/30/1968,30.4
7/1/1968,30.5
7/2/1968,30.9
8/6/1970,31.4
7/11/1971,30.9
7/27/1971,30
8/15/1974,31.1
8/16/1974,32.5
8/17/1974,31
7/14/1975,30.4
8/4/1975,30.4
7/1/1976,30.1
7/2/1976,30.7
7/3/1976,30.1
7/16/1976,31
7/29/1979,31.7
8/2/1980,30.3
8/5/1981,30.7
8/6/1981,30.9
7/18/1983,30.4
7/19/1983,31.3
7/20/1983,30.4
7/22/1983,32.3
7/23/1983,32
7/25/1983,30.9
7/26/1983,34.4
7/27/1983,33.6
7/28/1983,32.7
7/29/1983,31
7/30/1983,31.4
7/31/1983,34.6
7/10/1984,30.6
7/30/1984,30.4
8/3/1984,30.2
7/14/1985,30.1
7/25/1985,30.4
7/26/1985,31.7
8/14/1985,30.8
6/28/1986,30.7
7/29/1986,30.1
7/30/1986,30.6
8/2/1986,30.6
8/3/1986,31.7
6/29/1987,30.2
6/30/1987,31.4
8/14/1987,30.2
8/17/1987,30.1
8/21/1987,30.1
8/22/1987,31.6
9/13/1987,31.1
9/14/1987,31.4
7/22/1988,30.1
7/23/1988,31.1
7/26/1988,30.1
7/21/1989,30
8/16/1989,31.2
7/21/1990,30.6
7/22/1990,31.6
7/28/1990,31.9
8/4/1990,31
8/5/1990,32.2
8/12/1990,30.4
7/11/1991,30.3
7/12/1991,30.1
7/23/1991,30.1
8/7/1991,31.2
8/22/1991,30
7/30/1992,31.6
7/31/1992,30.2
8/2/1992,30.4
8/3/1992,31.7
8/6/1992,30.1
8/7/1992,32.2
8/8/1992,32.7
8/9/1992,31.9
8/18/1992,30.8
8/19/1992,32
8/20/1992,30.4
8/26/1992,30.7
8/28/1992,30.6
7/4/1993,31.9
7/30/1993,30.5
8/14/1993,30.6
8/22/1993,31.3
7/2/1994,31
7/3/1994,32
7/4/1994,31.9
7/17/1994,30.7
7/26/1994,30
7/27/1994,30.7
8/3/1994,30.7
8/4/1994,33
8/5/1994,33.2
8/6/1994,31.2
8/7/1994,30.8
7/9/1995,30.1
7/10/1995,31.2
7/20/1995,31.6
7/21/1995,33.1
7/22/1995,32.2
7/26/1995,32.2
8/5/1995,30.9
8/1/1996,30.3
7/19/1998,32.4
7/20/1998,32.5
7/23/1998,30.1
7/26/1998,30.6
8/8/1998,30.6
8/9/1998,32.7
8/10/1998,33.3
8/11/1998,33.9
8/12/1998,34
8/16/1998,30.3
8/17/1998,30
7/3/1999,30.5
7/4/1999,30.5
8/20/2000,30.6
6/26/2001,30
8/2/2001,30.5
6/15/2002,30.1
6/17/2002,32.4
6/18/2002,32.4
6/19/2002,31
6/22/2002,30
6/23/2002,31.8
6/11/2003,30.4
6/12/2003,31.4
6/14/2003,30.4
6/22/2003,31.4
6/23/2003,32.5
6/24/2003,30.6
6/25/2003,31.5
6/29/2003,30.2
6/30/2003,32.1
7/14/2003,30.2
7/15/2003,33.1
7/16/2003,30.5
7/19/2003,31.1
7/20/2003,34
7/26/2003,30.2
8/3/2003,32
8/4/2003,33.7
8/5/2003,34.9
8/6/2003,34.8
8/7/2003,34.8
8/8/2003,34.5
8/9/2003,35.4
8/10/2003,35
8/11/2003,34.9
8/12/2003,34.8
8/13/2003,36.8
8/16/2003,30.8
8/24/2003,30.1
8/27/2003,30
8/2/2004,30.1
6/22/2005,31.3
6/23/2005,30.4
6/24/2005,31.6
6/27/2005,32.3
6/28/2005,33.3
7/15/2005,30.7
7/16/2005,31.1
7/17/2005,30.9
7/27/2005,32.1
7/28/2005,33.2
7/29/2005,30.7
6/24/2006,30
7/4/2006,30.1
7/5/2006,30
7/11/2006,30.1
7/12/2006,30.6
7/13/2006,30
7/18/2006,30.9
7/19/2006,32.3
7/20/2006,31.9
7/21/2006,32.9
7/22/2006,31.5
7/23/2006,30.2
7/24/2006,32.2
7/25/2006,33.4
7/27/2006,33.2
7/30/2006,30.1
7/15/2007,30.4
7/16/2007,30.6
6/22/2008,31.3
6/23/2008,30.4
5/24/2009,30.7
5/25/2009,31.4
8/16/2009,30
8/17/2009,30.5
8/18/2009,30.5
8/19/2009,32.9
8/20/2009,33.2
8/24/2009,30.6
7/2/2010,30.7
7/8/2010,30
7/9/2010,31.5
7/10/2010,31.7
7/11/2010,30.1
7/12/2010,31.7
7/14/2010,32.9
7/16/2010,31
7/20/2010,30.3
7/21/2010,31.5
6/27/2011,30.5
6/28/2011,31.5
7/12/2011,30
8/20/2011,30.5
8/21/2011,32
8/22/2011,32.9
8/23/2011,30.7
8/24/2011,30.3
6/29/2012,30.1
7/26/2012,30.7
7/27/2012,32.4
8/15/2012,30.3
8/18/2012,31.2
8/19/2012,33
8/20/2012,33.5
8/21/2012,31.4
8/22/2012,30.9
6/17/2013,31.4
6/18/2013,32.1
6/19/2013,31.1
7/22/2013,30.6
7/23/2013,30.1
7/26/2013,32.2
7/27/2013,34.1
7/28/2013,30.4
8/1/2013,30.2
8/2/2013,31.5
8/5/2013,30.7
6/8/2014,30.2
6/9/2014,31.3
6/10/2014,30
7/18/2014,30.1
7/19/2014,30.1
6/5/2015,30.3
6/6/2015,30
7/1/2015,31.6
7/2/2015,33.2
7/3/2015,33.8
7/4/2015,34.2
7/5/2015,34.6
7/6/2015,30.6
7/7/2015,36.8
7/11/2015,31
7/15/2015,30.7
7/16/2015,34.3
7/17/2015,33.9
7/19/2015,30.8
7/20/2015,30.6
7/21/2015,33.3
7/22/2015,33.3
7/24/2015,31.6
8/6/2015,32.8
8/7/2015,34.9
8/8/2015,30.8
8/12/2015,31
8/13/2015,31.7
8/29/2015,30.5
8/30/2015,31
8/31/2015,30.1
