Datum,Tagesmaximum
6/19/1960,32
6/22/1960,30.5
6/22/1961,30.4
6/24/1961,32.2
6/25/1961,32
6/26/1961,30.2
7/2/1961,31.7
7/3/1961,30.1
7/12/1961,30.3
7/26/1961,30.1
8/5/1961,30.5
8/6/1961,31.5
6/22/1962,30
6/23/1962,32.7
6/24/1962,32.6
7/10/1962,32.4
7/20/1962,31.5
7/24/1962,30.1
7/25/1962,35.2
7/26/1962,31.9
7/27/1962,32.2
8/1/1962,32.4
8/2/1962,33.7
8/4/1962,31.1
8/5/1962,31.3
8/6/1962,32.4
8/12/1962,32.2
8/13/1962,33.1
8/14/1962,34.6
8/20/1962,30.8
8/24/1962,31
9/2/1962,32.2
9/3/1962,33.1
9/11/1962,31.2
9/12/1962,31.3
7/24/1963,30.9
6/13/1964,30.4
7/15/1964,30.2
7/16/1964,31.5
7/17/1964,33.1
7/18/1964,33.5
7/19/1964,32.7
7/20/1964,32.9
7/21/1964,33.8
7/26/1964,31.9
7/27/1964,30.6
7/31/1964,31.4
8/6/1964,32
8/17/1964,30.4
8/27/1964,30.4
8/28/1964,32.3
6/19/1965,30.6
6/24/1965,30.6
6/25/1965,32.8
6/26/1965,30
6/30/1965,31.9
8/6/1965,30.6
6/16/1966,30.8
6/17/1966,32.5
7/4/1966,32.2
8/11/1966,31.8
8/12/1966,32
8/13/1966,34
8/14/1966,30.3
9/8/1966,31.5
9/9/1966,31.8
6/23/1967,30.3
6/24/1967,30.6
6/25/1967,30.6
7/1/1967,31.1
7/2/1967,30.6
7/13/1967,31.7
7/18/1967,31.3
7/19/1967,33.3
7/20/1967,32.6
7/21/1967,30.4
7/22/1967,31.6
7/31/1967,32.4
8/2/1967,32.4
6/28/1968,31.6
6/29/1968,32.4
6/30/1968,31.3
7/1/1968,30.6
7/2/1968,30.6
7/5/1968,30.3
7/7/1968,30.3
7/8/1968,31.2
7/9/1968,32
7/10/1968,32.6
7/16/1969,30.3
7/17/1969,31.9
7/23/1969,30.6
7/24/1969,32
7/28/1969,31
8/5/1969,30
8/7/1969,30.2
8/13/1969,30.1
6/27/1970,30
7/13/1970,32
7/14/1970,31.2
7/23/1970,32.4
7/24/1970,33
7/28/1970,32.2
8/3/1970,30.1
8/4/1970,30.7
8/5/1970,32.7
8/6/1970,33.1
8/7/1970,32.9
8/13/1970,32.2
9/10/1970,30.1
7/9/1971,30.3
7/10/1971,34.8
7/11/1971,30.5
7/12/1971,30.6
7/16/1971,30.7
7/17/1971,31.5
7/24/1971,30.2
7/25/1971,31.2
7/26/1971,31.7
7/27/1971,33.4
7/30/1971,30.8
7/31/1971,30
8/1/1971,31.9
8/2/1971,31.1
8/3/1971,31
8/6/1971,30.1
8/10/1971,32
8/13/1971,30
8/14/1971,33.5
8/18/1971,31.3
8/19/1971,32.5
7/8/1972,31.4
7/9/1972,30
8/6/1972,30.9
8/7/1972,30.2
8/10/1972,31.3
8/11/1972,31.5
7/2/1973,30.2
7/3/1973,30.3
7/5/1973,30
8/6/1973,30.9
8/19/1973,30.8
8/20/1973,30.8
7/12/1974,30.8
8/2/1974,30.8
8/3/1974,30.3
8/13/1974,31.6
8/14/1974,30
8/15/1974,31.9
8/16/1974,32.7
8/17/1974,33.3
6/12/1975,30.1
7/14/1975,33.5
7/15/1975,31.7
8/2/1975,30.4
8/3/1975,30.4
8/7/1975,30.3
6/15/1976,30.4
6/20/1976,30.2
6/22/1976,30.6
6/24/1976,32.7
6/25/1976,31.4
6/26/1976,30.4
6/27/1976,31.8
6/28/1976,30.3
6/29/1976,30.8
6/30/1976,32.3
7/1/1976,32.4
7/2/1976,33.1
7/3/1976,32.1
7/4/1976,31.2
7/5/1976,30.1
7/6/1976,30.4
7/11/1976,31.9
7/15/1976,32.4
7/16/1976,35.6
7/17/1976,31.6
7/17/1978,31
7/30/1978,31.1
7/18/1979,30.5
7/19/1979,30.9
7/28/1979,32
7/29/1979,33.3
7/30/1979,31.7
8/5/1979,30.5
8/6/1979,31.3
8/7/1979,31.1
8/14/1979,31.7
8/2/1980,30.2
8/3/1980,31.5
8/7/1980,30.8
8/21/1980,30.4
7/30/1981,30.6
8/5/1981,30.9
8/6/1981,32.4
8/15/1981,30.4
8/16/1981,30.7
7/6/1982,31.2
7/9/1982,32.5
7/11/1982,30.7
7/12/1982,30.5
7/13/1982,30.5
7/14/1982,31
7/15/1982,30.8
8/12/1982,30.8
6/5/1983,30.7
7/10/1983,31.3
7/12/1983,30.2
7/13/1983,30.2
7/16/1983,30.6
7/17/1983,32.4
7/18/1983,32.9
7/19/1983,32.8
7/20/1983,34.5
7/21/1983,32.1
7/22/1983,33.9
7/23/1983,32.9
7/24/1983,32.3
7/25/1983,31.4
7/26/1983,35
7/27/1983,35.3
7/28/1983,34.6
7/29/1983,34.3
7/30/1983,33.1
7/31/1983,35.1
8/15/1983,30.4
7/8/1984,30.4
7/9/1984,34.1
7/10/1984,34.9
7/11/1984,31.9
7/21/1984,30
7/22/1984,33
7/23/1984,34.8
7/29/1984,30.7
7/30/1984,33.3
7/31/1984,30
8/3/1984,33.8
8/21/1984,30.1
9/2/1984,30.3
7/13/1985,30.1
7/14/1985,31.4
7/23/1985,31.1
7/24/1985,30.3
7/25/1985,31.8
7/26/1985,34.1
8/14/1985,32.3
8/19/1985,30.3
8/24/1985,31.2
6/22/1986,31.2
6/27/1986,30.8
6/28/1986,30.9
6/29/1986,30.5
7/2/1986,30.6
7/5/1986,31.4
7/17/1986,30.3
7/22/1986,30.9
7/28/1986,31.6
7/29/1986,33.1
7/30/1986,33.8
7/31/1986,31.6
8/1/1986,30.4
8/2/1986,33.7
8/3/1986,34.8
8/6/1986,30.5
8/7/1986,30.5
8/15/1986,30.6
8/16/1986,30.7
8/17/1986,32
8/22/1986,30.5
6/29/1987,31.1
6/30/1987,31
7/6/1987,30.3
7/12/1987,30.4
