Datum,Tagesmaximum
6/25/1962,30.5
9/13/1962,31
6/21/1963,30
7/17/1964,32.2
6/26/1965,31
6/28/1965,33.3
9/6/1970,30.9
6/18/1973,30.9
7/2/1974,30.9
8/6/1974,30
8/15/1974,30.1
8/16/1974,30.4
8/17/1974,30.7
8/18/1974,30.7
7/9/1976,30.6
7/10/1976,32.6
7/17/1976,30.4
7/28/1976,30
8/6/1980,30.2
7/7/1982,34
7/13/1983,32.6
7/19/1983,31
7/20/1983,31.7
7/21/1983,37.1
7/23/1983,31.1
7/26/1983,31.1
7/27/1983,31.6
7/28/1983,32
7/29/1983,36.7
7/30/1983,31.7
7/31/1983,31.2
8/1/1983,30.6
8/13/1983,30.3
9/25/1983,30.8
6/15/1984,31
6/22/1984,32.4
6/23/1984,31.8
6/26/1984,30.8
7/11/1984,30.3
7/12/1984,31.1
7/13/1984,30
7/14/1984,31.2
7/23/1984,30.5
7/24/1984,34.6
7/28/1984,30.8
8/1/1984,31
8/2/1984,30.9
8/3/1984,30.1
8/4/1984,31.2
7/2/1985,30.3
7/25/1985,30
7/29/1986,30
7/9/1987,30.1
7/23/1988,30.2
8/15/1988,30.1
8/16/1988,30.4
8/17/1988,30.5
9/6/1988,30.8
7/26/1989,32.1
7/17/1990,30.9
7/18/1990,31.1
7/22/1990,30
7/23/1990,30.4
8/2/1990,31.3
8/3/1990,30.1
8/21/1990,31.3
7/6/1991,30.5
7/8/1991,31
7/11/1991,30
7/12/1991,31.9
7/13/1991,31.4
7/15/1991,31
8/3/1991,32.3
8/5/1991,30.1
8/9/1991,30.6
8/10/1991,30.3
8/11/1991,30.9
8/12/1991,30.3
7/28/1992,30.6
8/2/1992,30.1
8/3/1992,30
8/4/1992,30.2
8/6/1992,30.7
8/7/1992,31.2
8/8/1992,31.7
8/9/1992,30.6
8/19/1992,30.5
8/20/1992,31.1
8/6/1993,31
8/17/1993,30.8
8/18/1993,30.2
6/30/1994,30.7
7/1/1994,30.4
7/3/1994,30.7
7/4/1994,31.2
7/5/1994,31.5
7/15/1994,31.6
7/17/1994,30.2
7/25/1994,30.2
7/26/1994,30.3
