Datum,Tagesmaximum
7/2/1961,30.2
7/12/1961,30.5
7/25/1962,31.3
8/2/1962,30.7
8/13/1962,30.6
8/14/1962,31.6
6/22/1963,30.6
7/16/1964,31.5
7/17/1964,31.7
7/18/1964,32.3
7/19/1964,31.5
7/20/1964,30.8
7/21/1964,31.4
7/27/1964,30.7
6/25/1965,31.1
6/30/1965,30.9
8/12/1966,30.8
8/13/1966,32.3
5/28/1967,30.1
6/24/1967,31.1
6/25/1967,31.1
7/19/1967,30.2
8/1/1967,30
7/1/1968,30.7
7/24/1969,30.3
8/6/1970,31.2
7/10/1971,30
7/11/1971,30.2
7/12/1971,30.3
7/27/1971,30.6
7/9/1972,30.5
8/15/1974,30.9
8/16/1974,32.1
8/17/1974,30.4
7/14/1975,30.5
6/30/1976,30.1
7/1/1976,30.4
7/2/1976,30.6
7/3/1976,30
7/5/1976,31
7/16/1976,31.2
7/17/1976,30.5
7/29/1979,30.2
8/2/1980,30.3
7/9/1982,30
7/17/1983,31.6
7/18/1983,31
7/19/1983,31.8
7/20/1983,30.1
7/22/1983,31.4
7/23/1983,32.1
7/25/1983,30.5
7/26/1983,33.9
7/27/1983,35.3
7/28/1983,33
7/30/1983,31.1
7/31/1983,35.8
7/9/1984,30.8
7/10/1984,31.8
7/11/1984,34.7
7/30/1984,31.5
7/31/1984,31.4
8/3/1984,30.2
7/14/1985,30.8
7/25/1985,30.1
7/26/1985,32.2
8/14/1985,31.6
8/3/1986,32.3
6/29/1987,30.2
6/30/1987,30.8
7/23/1988,31.6
8/16/1989,30.8
7/21/1990,30.2
7/22/1990,30.5
7/28/1990,32.8
8/4/1990,30.3
8/5/1990,31.4
8/12/1990,31.3
8/13/1990,30.8
7/11/1991,31.3
7/12/1991,30.6
7/23/1991,30.9
8/6/1991,30
8/7/1991,33.1
8/22/1991,31.2
7/20/1992,30.3
7/30/1992,31.3
7/31/1992,30.7
8/2/1992,30.5
8/3/1992,31.6
8/6/1992,30
8/7/1992,31.8
8/8/1992,32.5
8/9/1992,32.1
8/18/1992,30.5
8/19/1992,30.8
8/20/1992,30.8
8/26/1992,30.8
8/28/1992,32.3
7/30/1993,30.8
8/22/1993,30.3
7/2/1994,31.3
7/3/1994,32.9
7/4/1994,32.3
7/27/1994,30.9
7/28/1994,31.5
7/31/1994,30.9
8/3/1994,31
8/4/1994,32.8
8/5/1994,33.3
8/6/1994,32.1
8/7/1994,31.2
7/10/1995,30.9
7/20/1995,31.1
7/21/1995,32.7
7/22/1995,32.5
7/26/1995,31.2
6/7/1996,30.5
6/5/1998,31.1
6/6/1998,30.9
6/21/1998,31.2
7/20/1998,33.4
7/21/1998,30
7/23/1998,30.1
8/8/1998,30.2
8/9/1998,32.4
8/10/1998,32.2
8/11/1998,33.2
8/12/1998,33.4
8/16/1998,30.2
8/17/1998,30.6
7/3/1999,31
7/4/1999,30.3
6/20/2000,31
6/21/2000,30.1
8/20/2000,31.8
8/2/2001,31
8/15/2001,30.4
6/15/2002,30.3
6/17/2002,32.9
6/18/2002,34.1
6/19/2002,32.3
6/20/2002,31.1
6/22/2002,30.2
6/23/2002,32.3
6/4/2003,30.1
6/10/2003,30.7
6/11/2003,30.5
6/12/2003,32.6
6/14/2003,31.3
6/22/2003,32.1
6/23/2003,34.7
6/24/2003,32.1
6/25/2003,31.8
6/26/2003,30
6/30/2003,33.6
7/15/2003,31.1
7/16/2003,32.2
7/20/2003,33
8/3/2003,31.5
8/4/2003,32.8
8/5/2003,34.2
8/6/2003,33.7
8/7/2003,34.4
8/8/2003,34
8/9/2003,34.1
8/10/2003,34.4
8/11/2003,34.3
8/12/2003,34.4
8/13/2003,36
8/16/2003,30
8/17/2003,30.8
6/21/2005,30
6/22/2005,30.6
6/23/2005,30.4
6/24/2005,32.6
6/27/2005,31.3
6/28/2005,32.5
7/15/2005,30.2
