time,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,djf,mam,jja,son,winter,summer,year
1864,-7.1,-4.52,0.04,2.11,7.43,9.48,12.37,10.95,8.59,3.5,-0.51,-4.47,NA,3.19,10.93,3.86,NA,8.49,3.16
1865,-3.47,-6.25,-5.91,7.03,10.09,10.98,13.99,11.16,11.9,5.19,1.26,-3.07,-4.73,3.74,12.04,6.12,-2.85,10.86,4.41
1866,-1.31,-0.42,-1,4.11,4.95,12.02,12.25,9.98,9.7,5.34,-0.2,-0.49,-1.6,2.69,11.42,4.95,0.11,8.84,4.58
1867,-3.87,0.56,-0.13,3.49,7.74,10.57,11.29,12.93,10.43,2.92,-1.43,-5.8,-1.27,3.7,11.6,3.97,0.2,9.41,4.06
1868,-5.46,-1.53,-2.3,2.33,12.04,11.97,12.89,12.5,11.12,4.76,-1.98,1.27,-4.26,4.02,12.45,4.63,-2.27,10.47,4.8
1869,-4.62,1.28,-4.25,4.53,8.92,8.26,14.82,10.86,10.35,2.3,0.09,-4.18,-0.69,3.07,11.31,4.25,-0.59,9.62,4.03
1870,-5.47,-4.23,-2.59,2.81,8.89,11.41,14.4,9.84,8.16,4.06,-0.14,-6.81,-4.62,3.04,11.88,4.03,-2.35,9.25,3.36
1871,-7.82,-1.96,0.02,3.53,6.66,7.27,13.14,12.6,11.33,3.31,-2.85,-8.3,-5.53,3.41,11,3.93,-2.11,9.09,3.08
1872,-3.22,-2.09,0.47,3.95,6.07,10.08,13.45,10.87,10.18,5.33,1.78,-0.77,-4.54,3.5,11.47,5.76,-2.11,9.1,4.67
1873,-2.19,-3.85,1.66,1.62,5.1,10.54,14.52,13.55,8.67,5.45,0.65,-2.88,-2.27,2.8,12.87,4.93,0.33,9,4.41
1874,-3.14,-4.07,-1.29,4.59,3.96,11.29,15.01,10.91,10.99,5.71,-2.12,-6.34,-3.36,2.42,12.4,4.86,-0.88,9.46,3.79
1875,-1.77,-6.47,-2.14,2.9,9.49,11.38,11.44,13.57,10.64,3.8,-1.14,-5.52,-4.86,3.42,12.13,4.43,-2.19,9.9,3.85
1876,-4.41,-2.37,-0.88,2.92,4.41,10.52,13.58,13.1,7.9,7.25,-1.2,-0.09,-4.1,2.15,12.4,4.65,-1.75,8.74,4.23
1877,-1.64,-1.79,-2.32,2.56,4.95,13.39,11.83,13.51,7.28,2.7,1.72,-3.45,-1.17,1.73,12.91,3.9,0.04,8.92,4.06
1878,-5.82,-1.76,-2.24,3.13,8.27,10.2,11.91,12.16,9.43,5.45,-2,-6.36,-3.68,3.05,11.42,4.3,-1.48,9.18,3.53
1879,-4.1,-2.59,0.08,0.93,3.42,10.83,9.79,14.02,9.31,3.99,-3.14,-8.4,-4.35,1.48,11.55,3.39,-1.59,8.05,2.85
1880,-6.41,-2.06,2.18,3.73,6.21,8.91,13.68,11.13,9.65,5.41,1.14,0.44,-5.62,4.04,11.24,5.4,-2.31,8.89,4.5
1881,-6.82,-1.95,1.12,2.7,6.42,9.91,15.24,12.71,7.46,1.16,2.86,-2.92,-2.78,3.41,12.62,3.83,-0.11,9.07,3.99
1882,-2.01,-2.38,1.67,2.8,7.56,9.55,10.95,10.29,7.41,5.1,0.09,-2.14,-2.44,4.01,10.26,4.2,-0.27,8.09,4.07
1883,-3.2,-1.1,-4.36,1.89,7.32,9.84,10.9,11.64,8.15,3.85,0.22,-3.65,-2.15,1.62,10.79,4.07,-0.94,8.29,3.46
1884,-1.74,-1.28,0.8,2.47,8.5,7.4,13.19,12.63,9.4,3.26,-1.66,-2.54,-2.22,3.92,11.07,3.67,-0.3,8.93,4.2
1885,-6.02,-0.03,-0.49,3.8,4.85,12.3,13.75,11.8,8.54,2.58,1.21,-3.11,-2.86,2.72,12.62,4.11,-1.25,9.17,4.1
1886,-5.24,-5.25,-1.85,4.35,7.55,8.78,13.09,12.12,11.24,6.04,0.56,-3.82,-4.53,3.35,11.33,5.95,-1.94,9.52,3.97
1887,-5.76,-4.93,-2.2,2.47,4.55,11.89,14.59,12.08,8.27,0.75,-0.77,-5.41,-4.83,1.6,12.85,2.75,-1.68,8.97,2.96
1888,-5.32,-5.26,-2.34,0.99,8.05,10.8,10.02,10.81,9.45,2.39,1.16,-1.85,-5.33,2.23,10.54,4.33,-3.06,8.35,3.24
1889,-4.78,-6.14,-3.6,1.32,8.49,11.67,11.69,11.08,7.48,3.86,0.66,-5.47,-4.26,2.07,11.48,4,-2.14,8.62,3.02
1890,-1.3,-5.66,-0.78,2.3,7.95,9.53,10.72,11.45,8.27,2.97,-0.96,-6.74,-4.14,3.16,10.57,3.42,-1.45,8.37,3.15
1891,-8.52,-4.02,-1.61,0.49,6.76,10.47,11.27,10.57,9.82,5.89,-0.24,-1.93,-6.43,1.88,10.77,5.16,-3.15,8.23,3.25
1892,-4.41,-2.62,-3.41,3.22,7.32,10.89,12.04,13.38,9.76,3.8,2.08,-4.81,-2.99,2.38,12.1,5.22,-1.12,9.44,3.94
1893,-8.48,-2.44,0.74,6.33,6.99,10.81,12.32,13.31,9.25,6.37,-0.69,-3.32,-5.24,4.69,12.15,4.98,-1.52,9.84,4.27
