Year,summer
1960,16.8
1961,16.97
1962,17.37
1963,17.27
1964,18.37
1965,16.7
1966,16.63
1967,17.53
1968,16.7
1969,16.77
1970,17.8
1971,17.77
1972,16.5
1973,17.97
1974,17
1975,17.47
1976,18.9
1977,16.67
1978,16.3
1979,17
1980,16.5
1981,17.13
1982,18.37
1983,19.87
1984,17.53
1985,17.77
1986,17.97
1987,17.43
1988,17.87
1989,18.3
1990,18.27
1991,18.93
1992,19.4
1993,18.17
1994,20.13
1995,18.63
1996,18.03
1997,18.63
1998,18.73
1999,18.43
2000,18.47
2001,18.73
2002,18.93
2003,22.8
2004,18.97
2005,18.67
2006,19.57
2007,18.4
2008,18.83
2009,19.6
2010,19.3
2011,18.57
2012,19.4
2013,19.53
2014,18.6
2015,20.97
2016,19.57
2017,20.77
2018,21.2
