Year,summer
1960,17.23
1961,17.87
1962,18.67
1963,17.7
1964,18.87
1965,16.9
1966,17.37
1967,18.5
1968,17.47
1969,17.23
1970,18.33
1971,18.6
1972,17.3
1973,18.43
1974,17.83
1975,17.87
1976,18.9
1977,17.1
1978,16.5
1979,17.53
1980,16.7
1981,17.77
1982,18.53
1983,19.63
1984,17.73
1985,17.93
1986,18.17
1987,17.83
1988,18.63
1989,18.87
1990,18.73
1991,19.53
1992,19.37
1993,19.03
1994,20.1
1995,19.1
1996,18.8
1997,18.63
1998,19.67
1999,18.87
2000,19.2
2001,19
2002,19.43
2003,22.5
2004,19.43
2005,19.43
2006,19.87
2007,18.8
2008,19.63
2009,20.17
2010,19.73
2011,19.47
2012,20.53
2013,20.2
2014,19.27
2015,21.83
2016,20.4
2017,21.7
2018,22.07
