Year,summer
1960,14.6
1961,14.73
1962,14.9
1963,15.03
1964,15.87
1965,14.27
1966,14.27
1967,15.5
1968,14.37
1969,14.33
1970,15.6
1971,15.6
1972,14.27
1973,15.8
1974,14.8
1975,14.87
1976,15.87
1977,14.6
1978,13.9
1979,14.83
1980,14.3
1981,14.9
1982,16.07
1983,17.3
1984,14.9
1985,15.2
1986,15.2
1987,15.03
1988,15.57
1989,15.53
1990,16.13
1991,16.4
1992,17.33
1993,15.7
1994,17.83
1995,16
1996,15.63
1997,16.03
1998,16.8
1999,15.87
2000,16.47
2001,16.47
2002,16.9
2003,20.23
2004,16.4
2005,16.13
2006,17.03
2007,16.4
2008,16.47
2009,16.93
2010,16.63
2011,16.13
2012,17.03
2013,16.93
2014,15.9
2015,18.7
2016,16.9
2017,18.13
2018,18.3
