Year,summer
1960,15.97
1961,16.2
1962,16.67
1963,16.47
1964,17.47
1965,15.6
1966,15.57
1967,16.7
1968,15.77
1969,15.87
1970,16.8
1971,16.7
1972,15.5
1973,17.13
1974,16.3
1975,16.27
1976,17.37
1977,15.8
1978,15.3
1979,16.2
1980,15.5
1981,16.43
1982,17.4
1983,18.97
1984,16.57
1985,16.8
1986,16.7
1987,16.3
1988,16.93
1989,16.9
1990,17.33
1991,18.03
1992,18.37
1993,17
1994,19.13
1995,17.43
1996,16.93
1997,17.2
1998,17.97
1999,17.13
2000,17.43
2001,17.5
2002,18.2
2003,21.6
2004,17.63
2005,17.63
2006,18.3
2007,17.27
2008,17.8
2009,18.33
2010,18.03
2011,17.5
2012,18.3
2013,18.5
2014,17.33
2015,20.17
2016,18.27
2017,19.53
2018,20.17
