kt,ktabk,pop
Aargau,AG,678207
Appenzell-Auss.,AR,55234
Appenzell-Inn.,AI,16145
Basel-Landschaft,BL,288132
Basel-Stadt,BS,194766
Bern,BE,1034977
Freiburg,FR,318714
Genf,GE,499480
Glarus,GL,40403
Graubünden,GR,198379
Jura,JU,73419
Luzern,LU,409557
Neuenburg,NE,176850
Nidwalden,NW,43223
Obwalden,OW,37841
Schaffhausen,SH,81991
Schwyz,SZ,159165
Solothurn,SO,273194
St. Gallen,SG,507697
Tessin,TI,353343
Thurgau,TG,276472
Uri,UR,36433
Waadt,VD,799145
Wallis,VS,343955
Zug,ZG,126837
Zürich,ZH,1520968
