fall_dt,gemeinde,Gemeindename,kat_cum,kat_cum_fix,wave,gemeinde_wave
2020-10-16,1,Aeugst am Albis,0-2.4,0-3,1,1_1
2020-10-16,1,Aeugst am Albis,2.4-6.06,3-7,2,1_2
2020-10-16,10,Obfelden,2.4-6.06,0-3,1,10_1
2020-10-16,10,Obfelden,2.4-6.06,3-7,2,10_2
2020-10-16,100,Stadel,0-2.4,0-3,1,100_1
2020-10-16,100,Stadel,0-2.4,0-3,2,100_2
2020-10-16,1001,Doppleschwand,2.4-6.06,0-3,2,1001_2
2020-10-16,1002,Entlebuch,0-2.4,0-3,1,1002_1
2020-10-16,1002,Entlebuch,0-2.4,0-3,2,1002_2
2020-10-16,1004,Flühli,0-2.4,0-3,1,1004_1
2020-10-16,1004,Flühli,2.4-6.06,3-7,2,1004_2
2020-10-16,1005,Hasle (LU),0-2.4,0-3,1,1005_1
2020-10-16,1005,Hasle (LU),0-2.4,0-3,2,1005_2
2020-10-16,1007,Romoos,0-2.4,0-3,2,1007_2
2020-10-16,1008,Schüpfheim,0-2.4,0-3,1,1008_1
2020-10-16,1008,Schüpfheim,0-2.4,0-3,2,1008_2
2020-10-16,1009,Werthenstein,0-2.4,0-3,1,1009_1
2020-10-16,1009,Werthenstein,6.06-11.67,5-10,2,1009_2
2020-10-16,101,Steinmaur,2.4-6.06,0-3,1,101_1
2020-10-16,101,Steinmaur,0-2.4,0-3,2,101_2
2020-10-16,1010,Escholzmatt-Marbach,0-2.4,0-3,1,1010_1
2020-10-16,1010,Escholzmatt-Marbach,0-2.4,0-3,2,1010_2
2020-10-16,102,Weiach,0-2.4,0-3,1,102_1
2020-10-16,102,Weiach,0-2.4,0-3,2,102_2
2020-10-16,1021,Aesch (LU),0-2.4,0-3,1,1021_1
2020-10-16,1021,Aesch (LU),2.4-6.06,3-7,2,1021_2
2020-10-16,1022,Altwis,0-2.4,0-3,1,1022_1
2020-10-16,1022,Altwis,0-2.4,0-3,2,1022_2
2020-10-16,1023,Ballwil,0-2.4,0-3,1,1023_1
2020-10-16,1023,Ballwil,2.4-6.06,0-3,2,1023_2
2020-10-16,1024,Emmen,0-2.4,0-3,1,1024_1
2020-10-16,1024,Emmen,2.4-6.06,3-7,2,1024_2
2020-10-16,1025,Ermensee,0-2.4,0-3,1,1025_1
2020-10-16,1025,Ermensee,0-2.4,0-3,2,1025_2
2020-10-16,1026,Eschenbach (LU),2.4-6.06,3-7,1,1026_1
2020-10-16,1026,Eschenbach (LU),2.4-6.06,3-7,2,1026_2
2020-10-16,1030,Hitzkirch,0-2.4,0-3,1,1030_1
2020-10-16,1030,Hitzkirch,0-2.4,0-3,2,1030_2
2020-10-16,1031,Hochdorf,0-2.4,0-3,1,1031_1
2020-10-16,1031,Hochdorf,2.4-6.06,3-7,2,1031_2
2020-10-16,1032,Hohenrain,0-2.4,0-3,1,1032_1
2020-10-16,1032,Hohenrain,2.4-6.06,0-3,2,1032_2
2020-10-16,1033,Inwil,0-2.4,0-3,1,1033_1
2020-10-16,1033,Inwil,2.4-6.06,3-7,2,1033_2
2020-10-16,1037,Rain,0-2.4,0-3,1,1037_1
2020-10-16,1037,Rain,2.4-6.06,3-7,2,1037_2
2020-10-16,1039,Römerswil,0-2.4,0-3,1,1039_1
2020-10-16,1039,Römerswil,0-2.4,0-3,2,1039_2
2020-10-16,1040,Rothenburg,0-2.4,0-3,1,1040_1
2020-10-16,1040,Rothenburg,0-2.4,0-3,2,1040_2
2020-10-16,1041,Schongau,0-2.4,0-3,1,1041_1
2020-10-16,1041,Schongau,0-2.4,0-3,2,1041_2
2020-10-16,1051,Adligenswil,0-2.4,0-3,1,1051_1
2020-10-16,1051,Adligenswil,2.4-6.06,0-3,2,1051_2
2020-10-16,1052,Buchrain,0-2.4,0-3,1,1052_1
2020-10-16,1052,Buchrain,0-2.4,0-3,2,1052_2
2020-10-16,1053,Dierikon,0-2.4,0-3,1,1053_1
2020-10-16,1053,Dierikon,2.4-6.06,3-7,2,1053_2
2020-10-16,1054,Ebikon,0-2.4,0-3,1,1054_1
2020-10-16,1054,Ebikon,2.4-6.06,3-7,2,1054_2
2020-10-16,1055,Gisikon,0-2.4,0-3,1,1055_1
2020-10-16,1055,Gisikon,0-2.4,0-3,2,1055_2
2020-10-16,1056,Greppen,0-2.4,0-3,1,1056_1
2020-10-16,1056,Greppen,2.4-6.06,0-3,2,1056_2
2020-10-16,1057,Honau,2.4-6.06,3-7,2,1057_2
2020-10-16,1058,Horw,2.4-6.06,0-3,1,1058_1
2020-10-16,1058,Horw,0-2.4,0-3,2,1058_2
2020-10-16,1059,Kriens,0-2.4,0-3,1,1059_1
2020-10-16,1059,Kriens,2.4-6.06,0-3,2,1059_2
2020-10-16,1061,Luzern,0-2.4,0-3,1,1061_1
2020-10-16,1061,Luzern,2.4-6.06,0-3,2,1061_2
2020-10-16,1062,Malters,0-2.4,0-3,1,1062_1
2020-10-16,1062,Malters,6.06-11.67,5-10,2,1062_2
2020-10-16,1063,Meggen,0-2.4,0-3,1,1063_1
2020-10-16,1063,Meggen,2.4-6.06,3-7,2,1063_2
2020-10-16,1064,Meierskappel,0-2.4,0-3,1,1064_1
2020-10-16,1064,Meierskappel,2.4-6.06,3-7,2,1064_2
2020-10-16,1065,Root,0-2.4,0-3,1,1065_1
2020-10-16,1065,Root,2.4-6.06,3-7,2,1065_2
2020-10-16,1066,Schwarzenberg,2.4-6.06,3-7,1,1066_1
2020-10-16,1066,Schwarzenberg,0-2.4,0-3,2,1066_2
